#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.45529     1.45529           0
           2     1.45716     1.45623 0.000660286
           3     1.46141     1.45795  0.00147757
           4     1.46924     1.46078  0.00268239
           5     1.48308     1.46524   0.0045304
           6     1.50866     1.47247  0.00760891
           7     1.54097     1.48226   0.0111633
           8     1.57581     1.49395   0.0146651
           9     1.60321     1.50609   0.0173471
          10     1.63518       1.519   0.0198426
          11     1.66516     1.53229   0.0220428
          12     1.66727     1.54354   0.0228967
          13     1.66335     1.55275   0.0229153
          14     1.69638     1.56301   0.0234628
          15     1.70907     1.57275   0.0238335
          16     1.70983     1.58132   0.0238342
          17      1.7154      1.5892   0.0237013
          18     1.73055     1.59706   0.0236496
          19     1.72501     1.60379    0.023344
          20     1.74384     1.61079   0.0232033
          21      1.7423     1.61706   0.0229278
          22     1.77054     1.62403   0.0229225
          23     1.78894      1.6312     0.02302
          24     1.80033     1.63825   0.0231143
          25     1.83342     1.64606   0.0234712
          26     1.81343     1.65249   0.0234346
          27     1.82371     1.65883   0.0234089
          28     1.78561     1.66336   0.0230066
          29     1.77455      1.6672   0.0225305
          30     1.77112     1.67066   0.0220442
          31     1.75942     1.67352   0.0215182
          32     1.78011     1.67685    0.021102
          33     1.76219     1.67944   0.0206204
          34     1.79632     1.68288   0.0202984
          35     1.78794     1.68588   0.0199392
          36     1.78829     1.68873   0.0195872
          37     1.77581     1.69108   0.0191987
          38     1.81768     1.69441   0.0189804
          39     1.80066     1.69713   0.0186882
          40     1.80399     1.69981   0.0184109
          41     1.83492      1.7031   0.0182544
          42     1.81386     1.70574   0.0180093
          43     1.80746      1.7081   0.0177451
          44     1.80434     1.71029   0.0174761
          45     1.80412     1.71238   0.0172117
          46     1.78707       1.714   0.0169139
          47      1.7909     1.71564    0.016633
          48     1.79422     1.71727   0.0163668
          49      1.7655     1.71826   0.0160624
          50     1.80364     1.71997   0.0158317
          51     1.78157     1.72117   0.0155673
          52     1.79716     1.72263   0.0153363
          53     1.79111     1.72393   0.0151013
          54     1.80612     1.72545   0.0148981
          55     1.82538     1.72727   0.0147376
          56     1.79036     1.72839   0.0145175
          57     1.78266     1.72934    0.014294
          58     1.76937     1.73003   0.0140642
          59     1.74361     1.73026   0.0138277
          60     1.74188     1.73046   0.0135986
          61     1.72025     1.73029   0.0133767
          62     1.71578     1.73006    0.013163
          63     1.75344     1.73043   0.0129593
          64     1.74751     1.73069   0.0127595
          65      1.7499     1.73099   0.0125666
          66     1.73721     1.73108   0.0123766
          67     1.72629     1.73101   0.0121921
          68     1.71968     1.73085   0.0120139
          69      1.7021     1.73043    0.011847
