#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0321464  -0.0321464           0
           2  -0.0342632  -0.0332048 0.000748421
           3  -0.0388253  -0.0350783  0.00160902
           4  -0.0468342  -0.0380173  0.00281682
           5  -0.0607945  -0.0425727  0.00465616
           6     -0.0865  -0.0498939  0.00772802
           7   -0.118738  -0.0597288   0.0112598
           8   -0.153874  -0.0714969   0.0147731
           9   -0.181073   -0.083672   0.0174415
          10   -0.213014  -0.0966062   0.0199241
          11     -0.2429   -0.109906   0.0221104
          12   -0.245064   -0.121169   0.0229581
          13   -0.241216   -0.130403   0.0229743
          14    -0.27426   -0.140679   0.0235192
          15   -0.286726   -0.150415   0.0238817
          16   -0.287781   -0.159001   0.0238825
          17   -0.293143   -0.166891   0.0237455
          18   -0.308271   -0.174746   0.0236897
          19    -0.30297   -0.181494   0.0233844
          20   -0.321584   -0.188499   0.0232406
          21   -0.320076   -0.194764   0.0229629
          22   -0.348535   -0.201754   0.0229583
          23   -0.366496   -0.208917   0.0230504
          24   -0.378475   -0.215982   0.0231473
          25   -0.411265   -0.223793   0.0235025
          26   -0.391235   -0.230233   0.0234643
          27   -0.401389   -0.236572   0.0234359
          28   -0.363331   -0.241099    0.023032
          29   -0.352245   -0.244932   0.0225545
          30      -0.349   -0.248401   0.0220678
          31   -0.337279   -0.251268   0.0215414
          32   -0.357899     -0.2546   0.0211244
          33   -0.340229   -0.257195    0.020643
          34   -0.374072   -0.260632     0.02032
          35   -0.365826   -0.263638   0.0199605
          36    -0.36616   -0.266486   0.0196081
          37   -0.353831   -0.268847   0.0192198
          38   -0.395548   -0.272181    0.019001
          39   -0.378621    -0.27491   0.0187088
          40   -0.381865   -0.277584   0.0184311
          41   -0.412857   -0.280883   0.0182745
          42   -0.391732   -0.283522    0.018029
          43   -0.385239   -0.285888   0.0177642
          44   -0.382181   -0.288076   0.0174948
          45   -0.381996   -0.290164     0.01723
          46   -0.364806   -0.291786   0.0169317
          47   -0.368878   -0.293426   0.0166507
          48   -0.372047   -0.295064   0.0163842
          49   -0.343438   -0.296052   0.0160795
          50   -0.381393   -0.297758   0.0158483
          51   -0.359431   -0.298968   0.0155836
          52   -0.375173   -0.300433   0.0153527
          53   -0.368986   -0.301727   0.0151174
          54   -0.384008    -0.30325    0.014914
          55   -0.403393   -0.305071   0.0147536
          56   -0.367998   -0.306195   0.0145329
          57   -0.360537   -0.307148   0.0143091
          58   -0.347185   -0.307839   0.0140791
          59    -0.32141   -0.308069   0.0138423
          60   -0.319682   -0.308262    0.013613
          61   -0.297988   -0.308094   0.0133908
          62   -0.293542   -0.307859   0.0131769
          63   -0.331622   -0.308236   0.0129732
          64    -0.32538   -0.308504   0.0127732
          65   -0.327758     -0.3088   0.0125801
          66   -0.314961   -0.308894   0.0123899
          67   -0.304082   -0.308822   0.0122052
          68   -0.297524   -0.308656   0.0120268
          69   -0.279929   -0.308239   0.0118597
          70   -0.299796   -0.308119   0.0116909
          71   -0.303564   -0.308055   0.0115264
          72   -0.313852   -0.308135   0.0113666
          73   -0.318524   -0.308277   0.0112118
          74   -0.336252   -0.308655   0.0110666
          75   -0.354438   -0.309266   0.0109359
          76   -0.322496    -0.30944   0.0107934
          77   -0.342867   -0.309874    0.010662
          78   -0.338496   -0.310241   0.0105316
          79   -0.366996   -0.310959   0.0104227
          80   -0.360958   -0.311584   0.0103112
          81   -0.376483   -0.312386    0.010215
          82   -0.370993     -0.3131   0.0101154
          83   -0.383426   -0.313948   0.0100289
          84   -0.376344    -0.31469    0.009937
          85   -0.365306   -0.315286  0.00983792
          86   -0.373103   -0.315958  0.00974647
          87   -0.335239    -0.31618  0.00963696
          88   -0.337868   -0.316426   0.0095306
          89   -0.363603   -0.316956  0.00943824
          90    -0.36077   -0.317443  0.00934592
          91   -0.353925   -0.317844  0.00925181
          92   -0.380022    -0.31852   0.0091759
          93   -0.372126   -0.319096  0.00909532
          94   -0.362499   -0.319558  0.00901028
          95   -0.410653   -0.320517  0.00896631
          96   -0.386882   -0.321208  0.00889952
          97   -0.376081   -0.321774  0.00882573
          98   -0.413981   -0.322715  0.00878568
          99   -0.415074   -0.323648  0.00874633
         100   -0.382768   -0.324239  0.00867883
         101   -0.413283   -0.325121  0.00863756
         102   -0.391881   -0.325775  0.00857764
         103   -0.359942   -0.326107  0.00850077
         104   -0.348409   -0.326321  0.00842174
         105   -0.335777   -0.326411  0.00834201
         106    -0.33134   -0.326458  0.00826344
         107   -0.329233   -0.326484  0.00818626
         108   -0.347051   -0.326674  0.00811267
         109   -0.384559   -0.327205  0.00805561
         110   -0.363887   -0.327539  0.00798927
         111   -0.372073    -0.32794  0.00792737
         112   -0.353737    -0.32817  0.00785993
