#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0484801   0.0484801           0
           2   0.0485404   0.0485102 2.13205e-05
           3   0.0486778   0.0485661 4.77745e-05
           4   0.0489314   0.0486574 8.68408e-05
           5   0.0493805    0.048802 0.000146818
           6   0.0502123   0.0490371 0.000246992
           7   0.0513084   0.0493615 0.000367507
           8   0.0525084   0.0497549 0.000488671
           9   0.0534447   0.0501649 0.000581456
          10   0.0544666    0.050595 0.000663622
          11   0.0554043   0.0510323 0.000733303
          12   0.0555014   0.0514047 0.000760916
          13   0.0553853   0.0517109 0.000761503
          14   0.0563979   0.0520457 0.000777228
          15    0.056889   0.0523686  0.00078964
          16   0.0570007   0.0526581 0.000791581
          17   0.0571408   0.0529218 0.000787714
          18   0.0576049   0.0531819 0.000785746
          19   0.0574242   0.0534052 0.000775465
          20   0.0579873   0.0536343 0.000769791
          21   0.0579852   0.0538415 0.000760504
          22   0.0588858   0.0540708 0.000759714
          23   0.0595132   0.0543074 0.000762644
          24   0.0599621    0.054543 0.000766399
          25   0.0610548   0.0548035 0.000778748
          26   0.0604513   0.0550207 0.000778503
          27   0.0606585   0.0552295 0.000777168
          28   0.0593915   0.0553782 0.000763494
          29   0.0589871   0.0555026  0.00074724
          30     0.05884   0.0556139 0.000730566
          31   0.0584868   0.0557065 0.000712854
          32   0.0591755   0.0558149 0.000698771
          33   0.0586997   0.0559024 0.000683042
          34   0.0597979   0.0560169 0.000672494
          35      0.0596   0.0561193 0.000661026
          36   0.0595718   0.0562152 0.000649584
          37   0.0591076   0.0562934 0.000636714
          38   0.0604101   0.0564017 0.000629107
          39   0.0600171   0.0564944 0.000619768
          40   0.0601405   0.0565856  0.00061094
          41   0.0609896    0.056693 0.000605409
          42   0.0603083   0.0567791 0.000597082
          43   0.0601587   0.0568577 0.000588347
          44   0.0600718   0.0569307 0.000579492
          45   0.0600032    0.056999 0.000570623
          46   0.0594791   0.0570529 0.000560759
          47   0.0596066   0.0571072 0.000551454
          48   0.0597502   0.0571623 0.000542708
          49   0.0588778   0.0571973  0.00053276
          50   0.0599695   0.0572528 0.000524982
          51   0.0592835   0.0572926 0.000516196
          52   0.0597771   0.0573404 0.000508476
          53   0.0596342   0.0573836  0.00050072
          54    0.060152   0.0574349 0.000494065
          55    0.060779   0.0574957 0.000488809
          56   0.0597465   0.0575359  0.00048173
          57   0.0594641   0.0575697 0.000474465
          58   0.0588928   0.0575925 0.000466833
          59   0.0580001   0.0575994 0.000458971
          60   0.0579282   0.0576049 0.000451354
          61   0.0573123   0.0576001 0.000443981
          62   0.0572164   0.0575939 0.000436863
          63   0.0584001   0.0576067 0.000430116
