#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42315     1.42315           0
           2      1.4229     1.42302 8.81345e-05
           3     1.42258     1.42288 0.000132914
           4      1.4224     1.42276 0.000142949
           5     1.42229     1.42266 0.000142246
           6     1.42216     1.42258 0.000141399
           7     1.42224     1.42253 0.000129366
           8     1.42194     1.42246 0.000132802
           9     1.42214     1.42242 0.000122704
          10     1.42217      1.4224 0.000112968
          11     1.42226     1.42238   0.0001034
          12      1.4222     1.42237 9.58656e-05
          13     1.42213     1.42235 9.02125e-05
          14     1.42212     1.42233 8.52518e-05
          15     1.42234     1.42233 7.95697e-05
          16     1.42205     1.42232 7.65478e-05
          17     1.42225     1.42231   7.213e-05
          18     1.42228     1.42231 6.81503e-05
          19     1.42204      1.4223  6.6069e-05
          20     1.42226     1.42229 6.27903e-05
          21     1.42222     1.42229 5.98993e-05
          22       1.422     1.42228 5.85692e-05
          23     1.42244     1.42229 5.64716e-05
          24     1.42186     1.42227 5.68362e-05
          25     1.42216     1.42226 5.47279e-05
          26     1.42219     1.42226  5.2691e-05
          27     1.42232     1.42226  5.0787e-05
          28     1.42228     1.42226 4.89778e-05
          29     1.42231     1.42226  4.7314e-05
          30     1.42212     1.42226 4.59729e-05
          31     1.42214     1.42226 4.46414e-05
          32     1.42221     1.42225 4.32665e-05
          33     1.42196     1.42225  4.2859e-05
          34     1.42225     1.42225 4.15986e-05
          35     1.42211     1.42224 4.05793e-05
          36     1.42213     1.42224 3.95637e-05
          37     1.42198     1.42223 3.91087e-05
          38     1.42213     1.42223 3.81768e-05
          39     1.42204     1.42222 3.75206e-05
          40     1.42212     1.42222   3.667e-05
          41     1.42206     1.42222 3.59827e-05
          42     1.42213     1.42222 3.51857e-05
          43     1.42222     1.42222 3.43674e-05
          44     1.42216     1.42221 3.36117e-05
          45     1.42212     1.42221 3.29271e-05
          46     1.42226     1.42221 3.22303e-05
          47     1.42202     1.42221 3.18098e-05
          48     1.42217     1.42221 3.11571e-05
          49     1.42206     1.42221 3.06734e-05
          50     1.42225     1.42221 3.00722e-05
          51     1.42214     1.42221 2.95081e-05
          52     1.42199      1.4222 2.92283e-05
          53     1.42213      1.4222 2.87104e-05
          54     1.42211      1.4222 2.82223e-05
          55     1.42198     1.42219  2.7981e-05
          56     1.42236      1.4222 2.76437e-05
          57     1.42212      1.4222 2.71901e-05
          58     1.42219      1.4222 2.67215e-05
          59      1.4222      1.4222 2.62688e-05
          60     1.42219      1.4222  2.5831e-05
          61     1.42226      1.4222 2.54304e-05
          62     1.42224      1.4222 2.50282e-05
          63     1.42181     1.42219  2.5365e-05
          64     1.42213     1.42219 2.49859e-05
          65     1.42215     1.42219 2.46112e-05
          66     1.42225     1.42219 2.42529e-05
          67     1.42221     1.42219 2.38929e-05
          68     1.42216     1.42219 2.35466e-05
          69     1.42217     1.42219 2.32075e-05
          70     1.42221     1.42219 2.28774e-05
          71     1.42221     1.42219 2.25569e-05
          72     1.42211     1.42219 2.22734e-05
          73     1.42212     1.42219 2.19869e-05
