#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0459352   0.0459352           0
           2   0.0498683   0.0479017  0.00139057
           3   0.0504617    0.048755  0.00115967
           4   0.0519643   0.0495573  0.00111322
           5   0.0475568   0.0491572  0.00095979
           6   0.0499371   0.0492872 0.000808579
           7   0.0555971   0.0501886   0.0010848
           8   0.0486652   0.0499982 0.000965773
           9   0.0506135   0.0500666 0.000860881
          10   0.0507047   0.0501304 0.000777155
          11   0.0501052   0.0501281 0.000706508
          12    0.051584   0.0502494 0.000657967
          13   0.0545929   0.0505835 0.000686966
          14   0.0493374   0.0504945 0.000643638
          15   0.0484288   0.0503568 0.000615284
          16   0.0477412   0.0501933 0.000598151
          17   0.0504992   0.0502113 0.000563237
          18   0.0502188   0.0502117 0.000531946
          19   0.0536168   0.0503909 0.000533283
          20   0.0525088   0.0504968 0.000517025
          21   0.0509797   0.0505198 0.000492916
          22   0.0467645   0.0503491 0.000499192
          23   0.0476583   0.0502321 0.000491006
          24   0.0539062   0.0503852 0.000493835
          25   0.0484076   0.0503061 0.000480376
          26   0.0527049   0.0503984 0.000470676
          27   0.0517563   0.0504487 0.000455923
          28    0.049448   0.0504129 0.000441038
          29   0.0542298   0.0505446 0.000445036
          30   0.0504937   0.0505429 0.000430205
          31   0.0533876   0.0506346 0.000426002
          32   0.0515571   0.0506635 0.000413664
          33   0.0540511   0.0507661  0.00041367
          34   0.0521914    0.050808 0.000403622
          35   0.0496731   0.0507756  0.00039339
          36    0.050777   0.0507756 0.000382463
          37   0.0518812   0.0508055 0.000373291
          38   0.0520301   0.0508378 0.000364856
          39   0.0510607   0.0508435 0.000355546
          40   0.0511256   0.0508505 0.000346727
          41   0.0517365   0.0508721 0.000338943
          42   0.0524791   0.0509104 0.000333025
          43   0.0495764   0.0508794 0.000326722
          44    0.047113   0.0507938  0.00033032
          45   0.0545384    0.050877 0.000333296
          46    0.046562   0.0507832 0.000338994
          47   0.0529559   0.0508294 0.000334918
          48   0.0493186   0.0507979 0.000329416
          49   0.0510399   0.0508029 0.000322731
          50   0.0514616    0.050816 0.000316545
