#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.98424     2.98424           0
           2     2.97911     2.98167  0.00181335
           3     2.96828     2.97721  0.00384078
           4       2.951     2.97065  0.00636328
           5     2.92604     2.96173  0.00946629
           6     2.89163     2.95005   0.0132663
           7     2.84554     2.93512   0.0178981
           8     2.78518     2.91638   0.0235079
           9     2.70797     2.89322   0.0302205
          10       2.612      2.8651   0.0380985
          11     2.49711     2.83164   0.0470846
          12      2.3659     2.79283   0.0569538
          13     2.22402     2.74908   0.0673136
          14      2.0792     2.70123   0.0776714
          15     1.93948     2.65045   0.0875347
          16     1.81206     2.59805   0.0964808
          17     1.70332     2.54542    0.104176
          18      1.6189     2.49394    0.110375
          19     1.56296     2.44494    0.114928
          20      1.5364     2.39952    0.117818
          21     1.53509     2.35835    0.119182
          22     1.55047     2.32163    0.119288
          23     1.57269     2.28907    0.118462
          24     1.59414     2.26011    0.117012
          25     1.61107     2.23415    0.115175
          26     1.62307     2.21065    0.113118
          27     1.63159      2.1892    0.110943
          28     1.63841     2.16953    0.108711
          29     1.64449     2.15143    0.106459
          30     1.64986     2.13471    0.104215
          31     1.65416     2.11921       0.102
          32     1.65755     2.10478   0.0998271
          33     1.66115     2.09134    0.097703
          34     1.66621     2.07883   0.0956262
          35     1.67264     2.06723   0.0935956
          36     1.67838     2.05642   0.0916168
          37     1.68054     2.04627   0.0897022
          38     1.67742     2.03656   0.0878652
          39     1.66953     2.02715   0.0861148
          40     1.65911     2.01795    0.084452
          41     1.64891     2.00895   0.0828705
          42     1.64123     2.00019   0.0813585
          43     1.63768     1.99176   0.0799021
          44     1.63956     1.98376    0.078486
          45     1.64828      1.9763   0.0770951
          46     1.66472     1.96953   0.0757161
          47     1.68799     1.96354   0.0743417
          48     1.71485     1.95836   0.0729733
          49     1.74072     1.95391    0.071619
          50     1.76181     1.95007   0.0702896
          51      1.7763     1.94667    0.068994
          52     1.78437     1.94354   0.0677377
          53     1.78738      1.9406   0.0665237
          54      1.7869     1.93775   0.0653526
          55     1.78429     1.93496   0.0642239
          56     1.78035      1.9322   0.0631364
          57     1.77535     1.92945   0.0620887
          58     1.76901     1.92668   0.0610798
          59     1.76073     1.92387   0.0601093
          60     1.74985     1.92097   0.0591774
          61     1.73611     1.91794   0.0582848
          62     1.71992     1.91475   0.0574321
          63     1.70228     1.91137   0.0566195
          64     1.68418     1.90782    0.055846
          65     1.66602      1.9041   0.0551105
          66     1.64761     1.90022   0.0544124
          67      1.6288     1.89617   0.0537508
          68     1.61035     1.89196   0.0531245
          69     1.59421     1.88765   0.0525295
          70      1.5829     1.88329   0.0519592
          71     1.57847       1.879   0.0514044
          72     1.58168     1.87487   0.0508561
          73     1.59191     1.87099   0.0503069
          74     1.60736     1.86743   0.0497531
          75     1.62558     1.86421   0.0491941
          76     1.64414     1.86131    0.048632
          77      1.6611     1.85871   0.0480698
          78     1.67516     1.85636   0.0475111
          79     1.68532     1.85419    0.046959
          80     1.69052     1.85215   0.0464166
          81     1.68958     1.85014   0.0458869
          82     1.68207     1.84809    0.045373
          83     1.66947     1.84594   0.0448774
          84     1.65564     1.84367   0.0444003
          85     1.64518     1.84134   0.0439393
          86     1.64022       1.839   0.0434906
          87      1.6389      1.8367   0.0430514
          88     1.63724     1.83443   0.0426218
          89     1.63239     1.83216   0.0422034
          90     1.62408     1.82985   0.0417977
          91     1.61389     1.82748   0.0414057
          92     1.60381     1.82505    0.041027
          93     1.59511     1.82257   0.0406602
          94     1.58856     1.82008   0.0403038
          95     1.58502     1.81761   0.0399555
          96     1.58546     1.81519   0.0396124
          97     1.58977     1.81287   0.0392721
          98     1.59584     1.81065   0.0389338
          99     1.60035     1.80853   0.0385984
         100     1.60037     1.80645   0.0382685
         101     1.59431     1.80435   0.0379472
         102     1.58196     1.80217   0.0376377
         103     1.56452     1.79986    0.037343
         104      1.5445      1.7974   0.0370646
         105     1.52488     1.79481   0.0368023
         106     1.50765      1.7921   0.0365547
         107     1.49316     1.78931   0.0363197
         108      1.4812     1.78645   0.0360952
         109     1.47244     1.78357   0.0358789
         110     1.46866     1.78071   0.0356667
         111     1.47166     1.77793   0.0354539
         112     1.48217     1.77528   0.0352356
         113      1.4995     1.77284   0.0350082
         114     1.52198     1.77064   0.0347702
         115     1.54762      1.7687   0.0345219
         116      1.5747     1.76703   0.0342648
         117     1.60226     1.76562   0.0340008
         118      1.6301     1.76448   0.0337321
         119     1.65826     1.76358   0.0334604
         120     1.68603     1.76294   0.0331878
         121     1.71154     1.76251   0.0329163
         122     1.73243     1.76226   0.0326474
         123     1.74709     1.76214   0.0323822
         124      1.7554     1.76209   0.0321211
         125     1.75877     1.76206   0.0318641
         126     1.75927     1.76204   0.0316112
