#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36371    -6.36371           0
           2    -6.35804    -6.36087  0.00200744
           3    -6.34642    -6.35606   0.0041552
           4    -6.32708    -6.34881  0.00700456
           5    -6.29912    -6.33887    0.010508
           6     -6.2603    -6.32578   0.0148193
           7    -6.20904     -6.3091   0.0199932
           8    -6.14436    -6.28851   0.0260213
           9    -6.06189    -6.26333   0.0331445
          10    -5.96331    -6.23333   0.0412302
          11    -5.84621    -6.19813   0.0503073
          12    -5.71394    -6.15779   0.0601583
          13    -5.57171     -6.1127   0.0704254
          14    -5.42778    -6.06378   0.0806166
          15    -5.28936    -6.01215   0.0902725
          16    -5.16444    -5.95917   0.0989645
          17    -5.05857    -5.90619    0.106382
          18    -4.97743     -5.8546     0.11229
          19    -4.92574    -5.80571    0.116537
          20    -4.90207    -5.76053    0.119147
          21    -4.90328    -5.71971    0.120263
          22    -4.92008    -5.68336    0.120164
          23    -4.94352    -5.65119    0.119167
          24    -4.96488     -5.6226    0.117582
          25    -4.98156    -5.59695    0.115641
          26    -4.99369    -5.57375    0.113497
          27    -5.00203    -5.55258    0.111251
          28    -5.00813    -5.53313    0.108964
          29     -5.0143    -5.51524    0.106665
          30    -5.01938    -5.49871    0.104383
          31    -5.02375    -5.48339    0.102134
          32    -5.02706    -5.46913   0.0999326
          33    -5.03178    -5.45588   0.0977792
          34    -5.03803    -5.44359   0.0956726
          35    -5.04432    -5.43218   0.0936167
          36    -5.04976    -5.42156   0.0916169
          37    -5.05071    -5.41154   0.0896874
          38    -5.04623    -5.40192   0.0878409
          39    -5.03704    -5.39257   0.0860854
          40    -5.02576     -5.3834   0.0844202
          41    -5.01583    -5.37443   0.0828359
          42    -5.00806    -5.36571   0.0813216
          43    -5.00447    -5.35731   0.0798631
          44     -5.0067    -5.34934   0.0784446
          45    -5.01556    -5.34192   0.0770512
          46    -5.03288     -5.3352   0.0756685
          47    -5.05646    -5.32927   0.0742906
          48    -5.08406    -5.32416   0.0729183
          49    -5.11033     -5.3198   0.0715607
          50    -5.13146    -5.31603   0.0702285
          51     -5.1449    -5.31268   0.0689316
          52    -5.15295    -5.30961   0.0676744
          53    -5.15502    -5.30669   0.0664603
          54    -5.15402    -5.30386   0.0652897
          55    -5.15091    -5.30108   0.0641618
          56    -5.14616    -5.29831   0.0630757
          57    -5.14151    -5.29556    0.062029
          58    -5.13448    -5.29279   0.0610217
