#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.53418     1.53418           0
           2     1.53185     1.53301 0.000823847
           3     1.52687     1.53096  0.00175864
           4      1.5189     1.52795  0.00292694
           5     1.50729     1.52382  0.00437468
           6     1.49117     1.51838  0.00616114
           7     1.46941     1.51138  0.00835647
           8     1.44066     1.50254   0.0110381
           9     1.40365     1.49155   0.0142686
          10     1.35733     1.47813   0.0180845
          11     1.30162     1.46208   0.0224579
          12     1.23777     1.44339   0.0272785
          13     1.16856     1.42225   0.0323511
          14     1.09782     1.39908    0.037431
          15     1.02953     1.37444   0.0422728
          16    0.967254     1.34899   0.0466667
          17    0.914168     1.32341   0.0504465
          18    0.873068     1.29839   0.0534895
          19    0.846025     1.27458   0.0557217
          20    0.833527     1.25253   0.0571331
          21    0.833513     1.23258   0.0577918
          22    0.841735     1.21481   0.0578311
          23    0.853272     1.19909   0.0574133
          24    0.864348     1.18515     0.05669
          25     0.87309     1.17266   0.0557796
          26    0.879299     1.16138   0.0547636
          27    0.883724      1.1511   0.0536922
          28    0.887263     1.14167   0.0525949
          29    0.890396     1.13301   0.0514901
          30    0.893154     1.12501   0.0503906
          31    0.895353     1.11761   0.0493067
          32    0.897077     1.11071   0.0482451
          33    0.898869     1.10429   0.0472083
          34    0.901381     1.09833   0.0461955
          35    0.904598     1.09279    0.045206
          36     0.90747     1.08764   0.0442424
          37     0.90857      1.0828   0.0433106
          38    0.907035     1.07818   0.0424171
          39    0.903111     1.07369   0.0415664
          40    0.897917      1.0693   0.0407588
          41    0.892817     1.06499   0.0399913
          42    0.888979      1.0608   0.0392581
          43    0.887194     1.05676   0.0385522
          44     0.88811     1.05293   0.0378661
          45     0.89243     1.04936   0.0371922
          46    0.900586     1.04613    0.036524
          47     0.91216     1.04328    0.035858
          48    0.925517     1.04083   0.0351948
          49    0.938387     1.03873   0.0345385
          50    0.948866     1.03694   0.0338945
          51    0.956061     1.03535    0.033267
          52    0.960038      1.0339   0.0326587
          53    0.961494     1.03254   0.0320711
          54     0.96121     1.03122   0.0315044
          55    0.959859     1.02992   0.0309583
          56     0.95786     1.02863   0.0304322
          57    0.955317     1.02735   0.0299255
          58    0.952129     1.02605   0.0294376
          59    0.947973     1.02473   0.0289684
          60    0.942536     1.02336   0.0285179
          61    0.935675     1.02192   0.0280866
          62    0.927596      1.0204   0.0276748
          63    0.918802     1.01878   0.0272824
          64    0.909776     1.01708   0.0269093
          65    0.900736     1.01529   0.0265548
          66    0.891565     1.01342   0.0262185
          67     0.88219     1.01146   0.0259002
          68    0.872999     1.00942   0.0255993
          69    0.864933     1.00733   0.0253138
          70    0.859253     1.00521   0.0250404
          71    0.856977     1.00312   0.0247746
          72    0.858503     1.00112   0.0245118
          73    0.863528    0.999231   0.0242483
          74    0.871143      0.9975   0.0239824
          75    0.880154    0.995936   0.0237136
          76    0.889329    0.994533    0.023443
          77    0.897704    0.993275   0.0231723
          78    0.904646    0.992139    0.022903
          79    0.909642    0.991095   0.0226369
          80    0.912176    0.990108   0.0223754
          81    0.911664     0.98914   0.0221201
          82    0.907876    0.988149   0.0218726
          83    0.901549    0.987105   0.0216339
          84    0.894589    0.986004   0.0214044
          85    0.889321    0.984867   0.0211828
          86    0.886824    0.983727   0.0209671
          87    0.886159    0.982605   0.0207561
          88    0.885332      0.9815   0.0205496
          89    0.882928    0.980392   0.0203486
          90    0.878786    0.979263   0.0201537
          91    0.873706    0.978103   0.0199656
          92    0.868658    0.976914    0.019784
          93    0.864291    0.975703   0.0196083
          94    0.860994    0.974482   0.0194377
          95    0.859196    0.973269   0.0192709
          96     0.85941    0.972083   0.0191066
          97     0.86156    0.970943   0.0189436
          98    0.864622    0.969858   0.0187813
          99    0.866926    0.968819   0.0186204
         100       0.867    0.967801    0.018462
         101    0.864063    0.966773   0.0183077
         102    0.857989    0.965707   0.0181593
         103    0.849384    0.964578   0.0180181
         104    0.839489    0.963375   0.0178849
         105    0.829775    0.962102   0.0177598
         106    0.821274    0.960774   0.0176419
         107    0.814129    0.959403   0.0175301
         108    0.808216    0.958003   0.0174236
         109    0.803861    0.956589   0.0173211
         110    0.801955    0.955184   0.0172206
         111    0.803394    0.953816   0.0171196
         112    0.808535    0.952519   0.0170159
         113    0.817066     0.95132   0.0169074
         114    0.828125     0.95024   0.0167936
         115    0.840716    0.949287   0.0166746
         116    0.854023    0.948466    0.016551
         117    0.867545    0.947774    0.016424
         118    0.881204     0.94721   0.0162945
         119    0.895033    0.946772   0.0161635
         120    0.908699    0.946454   0.0160319
         121     0.92126    0.946246   0.0159008
         122    0.931563    0.946126   0.0157709
         123    0.938793    0.946066   0.0156428
         124    0.942887    0.946041   0.0155167
         125    0.944519    0.946028   0.0153925
         126    0.944768    0.946018   0.0152704
         127    0.944481    0.946006   0.0151501
         128    0.944007    0.945991   0.0150318
         129    0.943251    0.945969   0.0149153
         130    0.942088     0.94594   0.0148006
         131    0.940753      0.9459   0.0146876
         132    0.939804    0.945854   0.0145764
         133    0.939586    0.945807   0.0144669
         134    0.939857    0.945762    0.014359
         135    0.939966    0.945719   0.0142527
         136    0.939387    0.945673    0.014148
         137    0.938117    0.945618   0.0140448
         138    0.936754    0.945553   0.0139432
         139    0.936161    0.945486   0.0138431
         140    0.937093    0.945426   0.0137443
         141     0.93984    0.945386   0.0136469
         142    0.944039    0.945377   0.0135508
         143    0.948765      0.9454   0.0134561
         144    0.952691    0.945451   0.0133627
         145      0.9546    0.945514   0.0132707
         146    0.953759    0.945571   0.0131799
         147    0.950156    0.945602   0.0130903
         148    0.944429    0.945594   0.0130019
         149    0.937751    0.945541   0.0129147
         150    0.931591    0.945448   0.0128289
         151    0.927295    0.945328   0.0127445
         152    0.925773    0.945199   0.0126613
         153    0.926972     0.94508   0.0125792
         154    0.929865    0.944981   0.0124979
         155    0.932942    0.944904   0.0124175
         156    0.935013     0.94484    0.012338
         157    0.935622    0.944782   0.0122596
         158    0.934912    0.944719   0.0121822
         159    0.933441    0.944648   0.0121057
         160     0.93198    0.944569   0.0120303
         161     0.93137    0.944487   0.0119559
         162    0.932232    0.944411   0.0118823
         163    0.934672    0.944352   0.0118096
         164    0.938195    0.944314   0.0117376
         165    0.942002      0.9443   0.0116665
         166    0.945358    0.944307   0.0115962
         167    0.947979    0.944329   0.0115268
         168    0.949991    0.944362   0.0114582
         169    0.951848    0.944407   0.0113905
         170    0.953916    0.944462   0.0113237
         171    0.956454    0.944533   0.0112577
         172    0.959522     0.94462   0.0111925
         173    0.963032    0.944726   0.0111284
         174    0.966654    0.944852   0.0110651
         175    0.969792    0.944995   0.0110028
         176     0.97174    0.945147   0.0109413
         177     0.97179    0.945297   0.0108806
         178     0.96946    0.945433   0.0108203
         179    0.964564     0.94554   0.0107604
         180    0.957191    0.945605   0.0107008
         181    0.947422    0.945615   0.0106417
         182    0.935193    0.945557   0.0105833
         183    0.920146    0.945418   0.0105264
         184    0.901748    0.945181   0.0104719
         185     0.87964    0.944827   0.0104213
         186    0.854155    0.944339   0.0103766
         187    0.827013    0.943712   0.0103401
         188    0.801535    0.942956   0.0103127
         189     0.78186    0.942103   0.0102933
         190     0.77108    0.941203   0.0102784
         191     0.76985    0.940306   0.0102637
         192    0.777031    0.939456   0.0102454
         193    0.791038    0.938687   0.0102211
         194    0.810254    0.938025   0.0101899
         195    0.833011    0.937486   0.0101518
         196    0.857683    0.937079   0.0101082
         197    0.882517    0.936802   0.0100607
         198    0.905408    0.936643   0.0100111
         199    0.924135    0.936581  0.00996101
         200    0.937081    0.936583   0.0099112
         201    0.943685    0.936618  0.00986196
         202    0.944469    0.936657  0.00981321
         203    0.940561    0.936677  0.00976489
         204    0.933104    0.936659  0.00971704
         205    0.922806    0.936591  0.00966987
         206    0.910075    0.936463  0.00962379
         207    0.895657    0.936266  0.00957931
         208    0.881031       0.936  0.00953694
         209    0.868478    0.935677  0.00949678
         210    0.860445    0.935319  0.00945831
         211    0.858732    0.934956  0.00942045
         212    0.863751     0.93462    0.009382
         213    0.874372    0.934337  0.00934221
         214     0.88836    0.934122  0.00930103
         215    0.903228    0.933978  0.00925888
         216    0.917003      0.9339  0.00921634
         217    0.928582    0.933875  0.00917391
         218    0.937518    0.933892  0.00913184
         219    0.943805    0.933937  0.00909025
         220    0.947687       0.934  0.00904915
         221    0.949411     0.93407  0.00900847
         222    0.949107    0.934137  0.00896815
         223    0.946783    0.934194  0.00892811
         224     0.94235     0.93423  0.00888833
         225    0.935771    0.934237  0.00884883
         226     0.92731    0.934207  0.00880972
         227    0.917491    0.934133  0.00877122
         228    0.907092    0.934014  0.00873355
         229    0.896784    0.933852  0.00869693
         230    0.886967    0.933648  0.00866151
         231    0.877897    0.933407  0.00862737
         232     0.87008    0.933134   0.0085945
         233    0.864331    0.932838  0.00856269
         234    0.861448    0.932533  0.00853153
         235    0.861804    0.932232  0.00850053
         236    0.864901    0.931947   0.0084693
         237     0.86948    0.931683  0.00843766
         238    0.873956    0.931441   0.0084057
         239    0.877212    0.931214  0.00837359
         240    0.879222    0.930997   0.0083415
         241    0.880806    0.930789  0.00830949
         242    0.882877    0.930591  0.00827751
         243    0.885847    0.930407  0.00824549
         244    0.889554     0.93024   0.0082134
         245    0.893655     0.93009  0.00818123
         246    0.897866    0.929959  0.00814902
         247    0.902144    0.929847  0.00811681
         248    0.906455    0.929752  0.00808463
         249    0.910697    0.929676  0.00805252
         250    0.914569    0.929615  0.00802054
         251    0.917601    0.929567  0.00798873
         252    0.919362    0.929527  0.00795713
         253    0.919595    0.929488  0.00792577
         254      0.9183    0.929444  0.00789469
         255    0.915764     0.92939  0.00786392
         256    0.912529    0.929324  0.00783347
         257    0.909216    0.929246  0.00780338
         258    0.906482    0.929158  0.00777364
         259    0.904966    0.929064  0.00774418
         260    0.905082    0.928972  0.00771495
         261    0.906847    0.928887  0.00768585
         262    0.909765    0.928814  0.00765687
         263    0.912933    0.928754  0.00762799
         264     0.91534    0.928703  0.00759927
         265    0.916302    0.928656  0.00757073
         266    0.915672    0.928607  0.00754243
         267    0.913842    0.928552  0.00751438
         268    0.911562    0.928489  0.00748661
         269    0.909652    0.928419  0.00745911
         270    0.908681    0.928346  0.00743184
         271    0.909066    0.928275  0.00740476
         272    0.911051    0.928211   0.0073778
         273    0.914882    0.928162  0.00735094
         274    0.920884    0.928136  0.00732416
         275    0.929289     0.92814  0.00729753
         276    0.939997    0.928183  0.00727121
         277    0.952243     0.92827  0.00724548
         278    0.964542      0.9284   0.0072206
         279    0.974996    0.928567  0.00719665
         280    0.981759    0.928757  0.00717345
         281    0.983482    0.928952  0.00715057
         282    0.979739    0.929132  0.00712748
         283    0.971029     0.92928  0.00710383
         284    0.958735    0.929384  0.00707957
         285    0.944728    0.929438  0.00705494
         286    0.930977    0.929443  0.00703027
         287    0.919148    0.929407  0.00700587
         288     0.91039    0.929341  0.00698185
         289    0.905211    0.929258  0.00695819
         290    0.903511    0.929169  0.00693476
         291    0.904741    0.929085  0.00691144
         292    0.908131    0.929013  0.00688815
         293     0.91266    0.928957  0.00686486
         294    0.917222    0.928917  0.00684163
         295    0.920691     0.92889  0.00681849
         296    0.922195    0.928867   0.0067955
         297     0.92123    0.928841  0.00677266
         298    0.917881    0.928804  0.00675004
         299    0.912891    0.928751  0.00672767
         300     0.90749     0.92868  0.00670562
         301    0.902941    0.928595  0.00668389
         302    0.900173    0.928501  0.00666242
         303    0.899421    0.928405  0.00664112
         304    0.900091    0.928312  0.00661993
         305    0.900908    0.928222  0.00659883
         306    0.900336    0.928131   0.0065779
         307    0.897274     0.92803  0.00655724
         308    0.891686    0.927912  0.00653701
         309    0.884888    0.927773  0.00651734
         310    0.878874    0.927615  0.00649822
         311     0.87501    0.927446  0.00647953
         312     0.87337    0.927273  0.00646108
         313    0.873209      0.9271  0.00644274
         314    0.873905    0.926931  0.00642445
         315    0.875345    0.926767  0.00640614
         316    0.877851    0.926612  0.00638774
         317    0.881879    0.926471  0.00636915
         318    0.887634    0.926349  0.00635029
         319     0.89481     0.92625  0.00633115
         320    0.902646    0.926176   0.0063118
         321    0.910149    0.926126  0.00629233
         322    0.916473    0.926096  0.00627286
         323    0.921138    0.926081  0.00625346
         324    0.924172    0.926075  0.00623416
         325    0.925987    0.926075  0.00621498
         326    0.927207    0.926078  0.00619592
         327    0.928362    0.926085  0.00617697
         328    0.929713    0.926096  0.00615815
         329    0.931276    0.926112  0.00613945
         330    0.932935    0.926133  0.00612089
         331    0.934502    0.926158  0.00610245
         332    0.935837    0.926187  0.00608413
         333    0.936714    0.926219  0.00606595
         334    0.936771     0.92625  0.00604787
         335    0.935568    0.926278  0.00602988
         336    0.932702    0.926297  0.00601196
         337    0.928053    0.926302  0.00599412
         338    0.921929     0.92629   0.0059764
         339    0.915172    0.926257  0.00595886
         340    0.909233    0.926207  0.00594155
         341    0.905816    0.926147  0.00592443
         342    0.906072    0.926088  0.00590739
         343    0.909702     0.92604  0.00589036
         344    0.914765    0.926008  0.00587333
         345    0.918624    0.925986  0.00585635
         346    0.919229    0.925967  0.00583945
         347    0.916005    0.925938   0.0058227
         348    0.910007    0.925892  0.00580614
         349    0.903381    0.925828  0.00578987
         350    0.898265    0.925749  0.00577386
         351    0.895802    0.925664  0.00575804
         352       0.896    0.925579   0.0057423
         353     0.89821    0.925502  0.00572655
         354    0.901726    0.925435  0.00571077
         355    0.905987     0.92538  0.00569495
         356    0.910407    0.925338  0.00567911
         357     0.91418    0.925307  0.00566328
         358    0.916481    0.925282  0.00564752
         359    0.916673    0.925258  0.00563184
         360    0.914441    0.925228  0.00561627
         361    0.909879    0.925185  0.00560088
         362    0.903177    0.925125  0.00558574
         363    0.894566     0.92504  0.00557098
         364    0.884355    0.924929   0.0055568
         365    0.873054    0.924786  0.00554339
         366     0.86147    0.924613  0.00553094
         367    0.850522    0.924412  0.00551956
         368    0.841239    0.924186  0.00550918
         369    0.834508    0.923943  0.00549961
         370    0.831061    0.923692  0.00549047
         371    0.831239    0.923442  0.00548133
         372    0.834889    0.923204  0.00547176
         373    0.841359    0.922985  0.00546149
         374    0.849579    0.922789  0.00545041
         375    0.858243    0.922616  0.00543859
         376    0.866129    0.922466   0.0054262
         377    0.872258    0.922333  0.00541344
         378    0.875915     0.92221  0.00540051
         379    0.876567     0.92209  0.00538761
         380    0.873965    0.921963  0.00537492
         381    0.868193    0.921822  0.00536266
         382    0.859982     0.92166  0.00535107
         383     0.85065    0.921475  0.00534031
         384    0.841693    0.921267  0.00533044
         385     0.83412    0.921041   0.0053214
         386    0.828012      0.9208  0.00531307
         387    0.822707    0.920546  0.00530538
         388     0.81728     0.92028  0.00529838
         389    0.811111    0.919999  0.00529219
         390    0.804176    0.919702  0.00528694
         391    0.797145    0.919389   0.0052827
         392    0.791228    0.919062  0.00527934
         393    0.787816    0.918728  0.00527645
         394    0.788017    0.918396  0.00527348
         395    0.792438    0.918077  0.00526976
         396    0.801044    0.917782  0.00526474
         397    0.813031    0.917518  0.00525808
         398    0.826945     0.91729  0.00524979
         399    0.840981    0.917099  0.00524012
         400     0.85325     0.91694  0.00522945
         401    0.862088    0.916803   0.0052182
         402    0.866297    0.916677  0.00520673
         403    0.865236    0.916549  0.00519537
         404    0.859017    0.916407  0.00518447
         405    0.848582     0.91624  0.00517437
         406    0.835779    0.916041  0.00516542
         407    0.823116    0.915813  0.00515777
         408    0.813282    0.915562  0.00515125
         409    0.808359      0.9153  0.00514532
         410    0.809173    0.915041  0.00513927
         411    0.815124    0.914798  0.00513252
         412    0.824659    0.914579  0.00512472
         413    0.835884    0.914388  0.00511585
         414    0.847261    0.914226  0.00510606
         415    0.857863     0.91409  0.00509556
         416    0.867455    0.913978  0.00508455
         417    0.876143    0.913888  0.00507317
         418    0.884071    0.913816  0.00506153
         419    0.891018    0.913762  0.00504974
         420     0.89632     0.91372  0.00503789
         421    0.898954    0.913685  0.00502605
         422    0.897987    0.913648  0.00501427
         423    0.893148      0.9136  0.00500265
         424    0.885377    0.913533   0.0049913
         425    0.876983    0.913447  0.00498029
         426    0.871148    0.913348  0.00496959
         427    0.870631    0.913248  0.00495896
         428      0.8764    0.913162  0.00494812
         429    0.887075    0.913101  0.00493696
         430    0.899826     0.91307  0.00492558
         431    0.912027    0.913068  0.00491415
         432    0.922181    0.913089  0.00490282
         433    0.929774    0.913127  0.00489165
         434    0.934773    0.913177  0.00488063
         435    0.937213    0.913232  0.00486972
         436      0.9373    0.913287  0.00485887
         437     0.93556    0.913338  0.00484802
         438      0.9327    0.913383  0.00483715
         439    0.929363    0.913419  0.00482627
         440    0.925996    0.913448  0.00481538
         441    0.922918    0.913469  0.00480451
         442    0.920502    0.913485  0.00479367
         443    0.919142    0.913498  0.00478286
         444    0.918876     0.91351  0.00477211
         445    0.919139    0.913523   0.0047614
         446    0.918901    0.913535  0.00475074
         447     0.91709    0.913543  0.00474012
         448    0.912864    0.913541  0.00472954
         449    0.905684    0.913524  0.00471904
         450    0.895066    0.913483  0.00470873
         451    0.880661     0.91341  0.00469885
         452     0.86291    0.913298  0.00468978
         453    0.844034    0.913145  0.00468192
         454    0.828245    0.912958  0.00467534
         455    0.819834    0.912753  0.00466954
         456    0.819968     0.91255  0.00466374
         457    0.825723     0.91236   0.0046574
         458    0.832511    0.912186  0.00465049
         459    0.837007    0.912022  0.00464324
         460    0.838116    0.911861  0.00463593
         461    0.836593    0.911698  0.00462875
         462    0.834252     0.91153  0.00462176
         463    0.833248    0.911361  0.00461487
         464    0.835479    0.911198  0.00460782
         465    0.841931    0.911049  0.00460032
         466    0.852192    0.910922  0.00459218
         467     0.86464    0.910823  0.00458342
         468     0.87717    0.910751  0.00457419
         469    0.888149    0.910703  0.00456469
         470    0.897031    0.910674  0.00455507
         471    0.904355    0.910661  0.00454542
         472    0.911201    0.910662  0.00453579
         473    0.918476    0.910678  0.00452623
         474    0.926464    0.910712   0.0045168
         475    0.934725    0.910762  0.00450758
         476    0.942361    0.910829   0.0044986
         477    0.948377    0.910907  0.00448985
         478    0.952086    0.910993  0.00448129
         479    0.953331    0.911082   0.0044728
         480      0.9525    0.911168  0.00446432
         481    0.950318     0.91125  0.00445578
         482    0.947327    0.911324  0.00444716
         483    0.943566    0.911391  0.00443845
         484     0.93862    0.911447  0.00442964
         485     0.93209     0.91149  0.00442071
         486    0.924282    0.911516  0.00441169
         487    0.916254    0.911526  0.00440265
         488     0.90938    0.911522  0.00439363
         489    0.904316    0.911507  0.00438467
         490     0.90054    0.911485  0.00437578
