#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37948    -3.37948           0
           2    -3.37893     -3.3792 0.000194089
           3    -3.37814    -3.37885 0.000315934
           4    -3.37608    -3.37816  0.00064432
           5    -3.37308    -3.37714  0.00104429
           6    -3.36867    -3.37573  0.00155548
           7     -3.3635    -3.37398  0.00209647
           8    -3.35918    -3.37213  0.00252247
           9    -3.35393    -3.37011  0.00294368
          10    -3.35131    -3.36823  0.00319383
          11     -3.3491    -3.36649  0.00334374
          12    -3.34804    -3.36495  0.00340015
          13     -3.3477    -3.36363  0.00338784
          14    -3.34857    -3.36255  0.00331205
          15    -3.34989    -3.36171  0.00319706
          16    -3.35238    -3.36112   0.0030499
          17    -3.35525    -3.36078  0.00288999
          18    -3.35854    -3.36065  0.00273212
          19    -3.36278    -3.36076  0.00259061
          20    -3.36567    -3.36101  0.00247265
          21    -3.36819    -3.36135  0.00237841
          22    -3.36961    -3.36173  0.00229973
          23    -3.37083    -3.36212  0.00223356
          24    -3.37074    -3.36248  0.00216918
          25     -3.3705     -3.3628  0.00210597
          26    -3.37062     -3.3631  0.00204634
          27    -3.37044    -3.36338  0.00198851
          28    -3.36972     -3.3636  0.00193036
          29    -3.36981    -3.36382  0.00187564
          30    -3.36952    -3.36401  0.00182274
          31    -3.36959    -3.36419  0.00177283
          32     -3.3695    -3.36435   0.0017252
          33    -3.37063    -3.36454  0.00168337
          34    -3.37182    -3.36476  0.00164741
          35    -3.37168    -3.36495  0.00161216
          36    -3.37138    -3.36513  0.00157724
          37    -3.37018    -3.36527  0.00154049
          38    -3.36881    -3.36536  0.00150276
          39    -3.36751    -3.36542  0.00146524
          40    -3.36666    -3.36545  0.00142893
          41    -3.36692    -3.36548  0.00139453
          42    -3.36683    -3.36552   0.0013617
          43    -3.36679    -3.36555  0.00133035
          44    -3.36713    -3.36558   0.0013006
          45    -3.36728    -3.36562  0.00127225
          46    -3.36816    -3.36568  0.00124579
          47    -3.36847    -3.36573   0.0012207
          48    -3.36921    -3.36581  0.00119742
          49    -3.36961    -3.36588  0.00117549
          50    -3.36965    -3.36596  0.00115439
          51     -3.3686    -3.36601  0.00113292
          52    -3.36858    -3.36606  0.00111221
          53    -3.36765    -3.36609  0.00109162
          54    -3.36712    -3.36611  0.00107157
          55    -3.36663    -3.36612  0.00105213
          56    -3.36581    -3.36611  0.00103336
          57    -3.36616    -3.36611  0.00101523
          58    -3.36547     -3.3661 0.000997786
          59    -3.36503    -3.36609  0.00098104
          60    -3.36437    -3.36606 0.000965107
          61    -3.36355    -3.36602 0.000950162
          62    -3.36288    -3.36597 0.000936179
          63      -3.362     -3.3659 0.000923434
          64    -3.36215    -3.36584 0.000910861
          65    -3.36178    -3.36578 0.000898991
          66    -3.36183    -3.36572 0.000887363
          67    -3.36214    -3.36567 0.000875725
          68    -3.36115     -3.3656 0.000865365
          69    -3.36096    -3.36553 0.000855438
          70    -3.36111    -3.36547 0.000845544
          71    -3.36199    -3.36542 0.000835057
          72    -3.36268    -3.36538 0.000824326
          73     -3.3627    -3.36535 0.000813857
          74    -3.36319    -3.36532 0.000803378
          75    -3.36246    -3.36528 0.000793572
          76    -3.36177    -3.36523 0.000784472
          77    -3.36147    -3.36518 0.000775806
          78    -3.36038    -3.36512 0.000768297
          79    -3.36039    -3.36506 0.000760901
          80    -3.35992      -3.365   0.0007541
          81    -3.35953    -3.36493 0.000747803
          82    -3.35914    -3.36486 0.000742007
          83    -3.35855    -3.36479 0.000736949
          84    -3.35965    -3.36472 0.000730709
          85    -3.36071    -3.36468 0.000723637
          86    -3.36138    -3.36464 0.000716234
          87    -3.36197    -3.36461 0.000708656
          88    -3.36235    -3.36458 0.000701068
          89    -3.36157    -3.36455 0.000694009
          90    -3.36055     -3.3645  0.00068772
          91     -3.3592    -3.36445 0.000682624
          92    -3.35845    -3.36438 0.000678306
          93    -3.35845    -3.36432 0.000673999
          94    -3.35835    -3.36425 0.000669815
          95    -3.35863    -3.36419 0.000665374
          96    -3.35808    -3.36413  0.00066148
          97    -3.35821    -3.36407 0.000657473
          98      -3.358    -3.36401 0.000653677
          99    -3.35801    -3.36395 0.000649874
         100     -3.3584    -3.36389 0.000645737
         101    -3.35799    -3.36383 0.000641984
         102     -3.3582    -3.36378 0.000638061
         103    -3.35785    -3.36372 0.000634452
         104    -3.35764    -3.36366 0.000631036
         105    -3.35869    -3.36361 0.000626797
         106     -3.3583    -3.36356 0.000622888
         107    -3.35798    -3.36351  0.00061925
         108    -3.35823    -3.36346 0.000615444
         109    -3.35898    -3.36342 0.000611169
         110    -3.35938    -3.36339 0.000606717
         111     -3.3603    -3.36336 0.000601887
         112     -3.3615    -3.36334  0.00059674
         113    -3.36125    -3.36332 0.000591747
         114    -3.36182    -3.36331 0.000586703
         115    -3.36344    -3.36331 0.000581602
         116    -3.36388    -3.36332 0.000576609
         117    -3.36463    -3.36333  0.00057179
         118    -3.36548    -3.36334 0.000567236
         119    -3.36617    -3.36337 0.000562967
         120    -3.36628    -3.36339 0.000558797
         121    -3.36628    -3.36342 0.000554688
         122    -3.36585    -3.36344 0.000550499
         123    -3.36477    -3.36345  0.00054613
         124    -3.36363    -3.36345 0.000541728
         125    -3.36406    -3.36345 0.000537416
         126    -3.36381    -3.36346 0.000533158
         127    -3.36415    -3.36346 0.000528988
         128    -3.36443    -3.36347 0.000524909
         129    -3.36412    -3.36347 0.000520864
         130    -3.36396    -3.36348 0.000516871
         131    -3.36428    -3.36348 0.000512961
         132    -3.36362    -3.36349 0.000509076
         133    -3.36291    -3.36348 0.000505267
         134    -3.36305    -3.36348 0.000501507
         135     -3.3626    -3.36347 0.000497834
         136    -3.36167    -3.36346  0.00049435
         137    -3.36201    -3.36345 0.000490855
         138    -3.36255    -3.36344  0.00048734
         139    -3.36318    -3.36344 0.000483838
         140    -3.36295    -3.36344 0.000480394
         141    -3.36264    -3.36343 0.000477021
         142    -3.36326    -3.36343 0.000473663
