#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65202     1.65202           0
           2     1.69047     1.67124   0.0135959
           3     1.65273     1.66507   0.0103709
           4     1.64491     1.66003  0.00891914
           5     1.63705     1.65543  0.00823523
           6     1.66506     1.65704  0.00701733
           7     1.65568     1.65685  0.00601754
           8     1.61681     1.65184  0.00704537
           9     1.66204     1.65297  0.00635295
          10     1.69681     1.65736  0.00706998
          11     1.64704     1.65642  0.00648915
          12     1.68272     1.65861   0.0063076
          13     1.67485     1.65986  0.00594483
          14     1.67461     1.66091  0.00561281
          15      1.6453     1.65987   0.0053343
          16     1.66285     1.66006  0.00500415
          17     1.65303     1.65965  0.00472685
          18     1.65341      1.6593  0.00447693
          19     1.65267     1.65895  0.00425489
          20     1.67618     1.65981  0.00412847
          21     1.65963      1.6598  0.00393188
          22     1.61716     1.65786  0.00420391
          23     1.68606     1.65909  0.00419611
          24     1.66477     1.65933  0.00402795
          25     1.62951     1.65813  0.00403957
          26     1.66433     1.65837  0.00389122
          27     1.68619      1.6594  0.00388107
          28     1.64906     1.65903     0.00376
          29     1.65863     1.65902  0.00363037
          30     1.66316     1.65916  0.00351198
          31     1.67749     1.65975  0.00344811
          32     1.66495     1.65991  0.00334419
          33     1.64726     1.65953  0.00326474
          34     1.62168     1.65842  0.00335311
          35     1.62513     1.65746  0.00338948
          36     1.67444     1.65794  0.00332798
          37     1.66043       1.658  0.00323872
          38     1.67601     1.65848  0.00318796
          39     1.63651     1.65791   0.0031556
          40     1.64062     1.65748  0.00310619
          41     1.65876     1.65751  0.00303058
          42     1.62341      1.6567  0.00306527
          43     1.68003     1.65724  0.00304162
          44     1.67523     1.65765  0.00299983
          45     1.64903     1.65746  0.00293928
          46     1.66686     1.65766  0.00288248
          47      1.6454      1.6574  0.00283293
          48     1.64592     1.65716    0.002784
          49     1.65306     1.65708  0.00272844
          50     1.67396     1.65742  0.00269468
