#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.74479     1.74479           0
           2     1.79195     1.76837   0.0166729
           3     1.80074     1.77916   0.0141837
           4     1.78732      1.7812   0.0107834
           5     1.78801     1.78256  0.00871235
           6     1.83459     1.79123   0.0107407
           7     1.83741     1.79783   0.0110479
           8     1.82357     1.80105   0.0101247
           9     1.86351     1.80799   0.0111269
          10     1.88106     1.81529   0.0121794
          11     1.82962      1.8166   0.0111416
          12     1.80783     1.81587    0.010237
          13     1.80928     1.81536  0.00946209
          14      1.8019      1.8144  0.00883494
          15     1.79243     1.81293  0.00836647
          16     1.75587     1.80937   0.0085701
          17      1.7698     1.80704  0.00837601
          18     1.76981     1.80497  0.00816202
          19      1.8635     1.80805   0.0082934
          20     1.85466     1.81038  0.00819958
          21     1.83827     1.81171  0.00791597
          22     1.79612       1.811  0.00758779
          23     1.83651     1.81211  0.00733848
          24     1.83219     1.81295  0.00708024
          25     1.81217     1.81292   0.0067971
          26     1.82642     1.81344  0.00655547
          27     1.76963     1.81181  0.00651037
          28     1.76724     1.81022  0.00646956
          29     1.83704     1.81115  0.00631223
          30     1.86249     1.81286  0.00632956
          31     1.85306     1.81415  0.00625685
          32     1.89299     1.81662  0.00652837
          33     1.85683     1.81784  0.00644327
          34     1.81576     1.81778  0.00625405
          35     1.80899     1.81752   0.0060804
          36     1.83384     1.81798  0.00592836
          37     1.83545     1.81845  0.00578691
          38     1.84441     1.81913  0.00567481
          39     1.84376     1.81976  0.00556431
          40     1.80051     1.81928  0.00544598
          41     1.79093     1.81859  0.00535688
          42     1.83295     1.81893  0.00524023
          43     1.81084     1.81875  0.00512174
          44      1.8084     1.81851  0.00501073
          45      1.8554     1.81933  0.00496599
          46     1.81106     1.81915  0.00486128
          47      1.8045     1.81884  0.00476783
          48     1.79735     1.81839  0.00468947
          49      1.7945      1.8179  0.00461903
          50        1.78     1.81715  0.00458844
