#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.322447   -0.322447           0
           2   -0.369571   -0.346009   0.0166609
           3   -0.378391   -0.356803    0.014179
           4   -0.365024   -0.358858   0.0107822
           5   -0.365798   -0.360246  0.00871463
           6   -0.412406    -0.36894   0.0107572
           7   -0.415122   -0.375537   0.0110601
           8   -0.401259   -0.378752   0.0101342
           9   -0.441333   -0.385706   0.0111411
          10   -0.458865   -0.393022   0.0121947
          11   -0.407363   -0.394325   0.0111556
          12   -0.385647   -0.393602   0.0102493
          13   -0.386947    -0.39309  0.00947371
          14   -0.379532   -0.392122  0.00884638
          15   -0.370105   -0.390654   0.0083775
          16    -0.33361   -0.387089  0.00857907
          17   -0.347509   -0.384761  0.00838438
          18   -0.347517   -0.382692   0.0081699
          19   -0.441333   -0.385778  0.00830243
          20   -0.432454   -0.388112  0.00820878
          21   -0.415948   -0.389437  0.00792418
          22   -0.373795   -0.388726  0.00759582
          23   -0.414222   -0.389835  0.00734601
          24   -0.409959   -0.390673  0.00708762
          25    -0.38988   -0.390642  0.00680418
          26    -0.40418   -0.391162  0.00656238
          27   -0.347273   -0.389537  0.00651754
          28   -0.345059   -0.387948  0.00647546
          29   -0.414945   -0.388879  0.00631872
          30    -0.44041   -0.390597  0.00633727
          31   -0.431071   -0.391902   0.0062659
          32   -0.471022   -0.394375  0.00653974
          33   -0.434656   -0.395596  0.00645447
          34   -0.393611   -0.395537   0.0062649
          35   -0.386733   -0.395286  0.00609095
          36   -0.411512   -0.395736  0.00593841
          37   -0.413161   -0.396207  0.00579655
          38     -0.4221   -0.396889  0.00568392
          39   -0.421448   -0.397518  0.00557295
          40   -0.378314   -0.397038  0.00545427
          41   -0.368703   -0.396347  0.00536485
          42   -0.410703   -0.396689  0.00524799
          43   -0.388642   -0.396502  0.00512928
          44   -0.386284    -0.39627  0.00501796
          45   -0.433301   -0.397093  0.00497347
          46   -0.388945   -0.396915   0.0048685
          47    -0.38219   -0.396602  0.00477499
          48   -0.375061   -0.396153  0.00469655
          49   -0.372219   -0.395665  0.00462603
          50   -0.357716   -0.394906  0.00459535
