#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42234     1.42234           0
           2     1.42238     1.42236 1.20151e-05
           3     1.42235     1.42236 8.43715e-06
           4      1.4223     1.42234 1.45873e-05
           5     1.42221     1.42232 2.60004e-05
           6     1.42218     1.42229 2.99202e-05
           7     1.42229     1.42229 2.56595e-05
           8     1.42231     1.42229 2.25927e-05
           9     1.42218     1.42228 2.36135e-05
          10     1.42219     1.42227 2.28601e-05
          11     1.42225     1.42227 2.08465e-05
          12     1.42219     1.42226 2.02718e-05
          13     1.42234     1.42227  1.9473e-05
          14     1.42237     1.42228 1.92767e-05
          15     1.42232     1.42228 1.82462e-05
          16     1.42226     1.42228 1.71502e-05
          17     1.42229     1.42228 1.61677e-05
          18     1.42229     1.42228  1.5292e-05
          19     1.42217     1.42227 1.55885e-05
          20      1.4222     1.42227 1.52027e-05
          21     1.42233     1.42227 1.47143e-05
          22     1.42233     1.42228 1.42556e-05
          23     1.42229     1.42228 1.36447e-05
          24     1.42223     1.42227  1.3201e-05
          25     1.42229     1.42228 1.26963e-05
          26     1.42224     1.42227 1.22984e-05
          27     1.42235     1.42228 1.22027e-05
          28     1.42218     1.42227 1.22423e-05
          29      1.4221     1.42227 1.32476e-05
          30     1.42208     1.42226 1.42539e-05
          31     1.42199     1.42225 1.61883e-05
          32     1.42197     1.42224 1.79362e-05
          33     1.42218     1.42224 1.75042e-05
          34     1.42215     1.42224 1.71997e-05
          35     1.42226     1.42224  1.6717e-05
          36     1.42232     1.42224 1.64219e-05
          37     1.42229     1.42224 1.60273e-05
          38     1.42231     1.42224 1.57049e-05
          39     1.42231     1.42225 1.53849e-05
          40     1.42219     1.42224 1.50549e-05
          41     1.42223     1.42224 1.46936e-05
          42     1.42224     1.42224 1.43438e-05
          43      1.4222     1.42224 1.40422e-05
          44     1.42211     1.42224 1.40394e-05
          45      1.4221     1.42224 1.40789e-05
          46     1.42212     1.42223 1.40108e-05
          47     1.42231     1.42224 1.38031e-05
          48     1.42229     1.42224 1.35654e-05
          49     1.42229     1.42224 1.33241e-05
          50     1.42228     1.42224 1.30855e-05
