#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10134     1.10134           0
           2     1.12698     1.11416  0.00906394
           3     1.10182     1.11005  0.00691395
           4     1.09661     1.10669   0.0059461
           5     1.09136     1.10362  0.00549015
           6     1.11004     1.10469  0.00467822
           7     1.10379     1.10456  0.00401169
           8     1.07787     1.10123  0.00469692
           9     1.10802     1.10198   0.0042353
          10     1.13121      1.1049  0.00471332
          11     1.09803     1.10428   0.0043261
          12     1.12181     1.10574  0.00420507
          13     1.11657     1.10657  0.00396322
          14     1.11641     1.10728  0.00374188
          15     1.09687     1.10658   0.0035562
          16     1.10857     1.10671   0.0033361
          17     1.10202     1.10643  0.00315124
          18     1.10227      1.1062  0.00298462
          19     1.10178     1.10597  0.00283659
          20     1.11746     1.10654  0.00275231
          21     1.10642     1.10654  0.00262126
          22     1.07811     1.10524   0.0028026
          23     1.12404     1.10606  0.00279741
          24     1.10985     1.10622   0.0026853
          25     1.08634     1.10542  0.00269305
          26     1.10955     1.10558  0.00259415
          27     1.12412     1.10627  0.00258738
          28     1.09937     1.10602  0.00250667
          29     1.10576     1.10601  0.00242025
          30     1.10877     1.10611  0.00234132
          31     1.11833      1.1065  0.00229874
          32     1.10997     1.10661  0.00222946
          33     1.09818     1.10635   0.0021765
          34     1.08112     1.10561  0.00223541
          35     1.08342     1.10498  0.00225966
          36      1.1163     1.10529  0.00221866
          37     1.10695     1.10534  0.00215915
          38     1.11734     1.10565  0.00212531
          39       1.091     1.10528  0.00210373
          40     1.09375     1.10499  0.00207079
          41     1.10584     1.10501  0.00202039
          42     1.08227     1.10447  0.00204351
          43     1.12002     1.10483  0.00202775
          44     1.11682      1.1051  0.00199989
          45     1.09935     1.10497  0.00195952
          46     1.11124     1.10511  0.00192165
          47     1.09693     1.10494  0.00188862
          48     1.09728     1.10478    0.001856
          49     1.10204     1.10472  0.00181896
          50     1.11597     1.10495  0.00179645
