#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.36135    -3.36135           0
           2     -3.3654    -3.36338  0.00143153
           3    -3.36274    -3.36317 0.000969989
           4    -3.36342    -3.36323 0.000729604
           5    -3.36307     -3.3632 0.000584368
           6    -3.36224    -3.36304 0.000508396
           7    -3.36238    -3.36294 0.000444397
           8    -3.36159    -3.36277 0.000420082
           9    -3.36388     -3.3629 0.000390847
          10    -3.36594     -3.3632 0.000455001
          11    -3.36387    -3.36326 0.000417732
          12    -3.36498    -3.36341 0.000406718
          13    -3.36272    -3.36335 0.000378814
          14    -3.36595    -3.36354 0.000394416
          15    -3.36503    -3.36364 0.000380489
          16    -3.36281    -3.36359 0.000360245
          17    -3.36363    -3.36359 0.000339065
          18    -3.36357    -3.36359  0.00032023
          19    -3.36482    -3.36365 0.000309887
          20    -3.36328    -3.36363 0.000294939
          21    -3.36226    -3.36357 0.000288051
          22    -3.36293    -3.36354 0.000276409
          23     -3.3636    -3.36354 0.000264402
          24    -3.36444    -3.36358 0.000256026
          25    -3.36529    -3.36365 0.000254737
          26    -3.36475    -3.36369 0.000248433
          27    -3.36298    -3.36366  0.00024063
          28    -3.36267    -3.36363 0.000234637
          29    -3.36146    -3.36355 0.000238144
          30    -3.36512    -3.36361  0.00023586
          31    -3.36377    -3.36361 0.000228311
          32    -3.36312     -3.3636 0.000221692
          33    -3.36408    -3.36361 0.000215459
          34    -3.36121    -3.36354 0.000220433
          35    -3.36257    -3.36351 0.000215863
          36    -3.36388    -3.36352 0.000210102
          37    -3.36393    -3.36353 0.000204709
          38    -3.36548    -3.36358 0.000205624
          39    -3.36303    -3.36357 0.000200846
          40    -3.36352    -3.36357 0.000195829
          41    -3.36323    -3.36356 0.000191229
          42    -3.36137    -3.36351 0.000193689
          43    -3.36247    -3.36348 0.000190698
          44    -3.36321    -3.36348 0.000186466
          45    -3.36231    -3.36345 0.000184113
          46    -3.36352    -3.36345 0.000180116
          47    -3.36185    -3.36342 0.000179472
          48    -3.36268     -3.3634   0.0001764
          49    -3.36507    -3.36344  0.00017606
          50     -3.3623    -3.36342 0.000174013
