#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.802428    0.802428           0
           2     0.80512    0.803774 0.000951726
           3    0.806227    0.804592 0.000920878
           4    0.806037    0.804953 0.000758256
           5    0.804649    0.804892  0.00060904
           6    0.804228    0.804782 0.000517507
           7    0.802402    0.804442 0.000543871
           8    0.805975    0.804633 0.000508522
           9    0.804745    0.804646 0.000452172
          10    0.804087     0.80459 0.000410391
          11    0.803376    0.804479  0.00038764
          12    0.804357    0.804469 0.000355471
          13     0.80235    0.804306 0.000363584
          14    0.803918    0.804279 0.000338669
          15    0.803359    0.804217 0.000321587
          16    0.802128    0.804087 0.000326914
          17    0.807019    0.804259 0.000350234
          18    0.806553    0.804387 0.000353201
          19    0.803542    0.804342   0.0003374
          20    0.803226    0.804286 0.000325113
          21    0.806647    0.804399 0.000328483
          22    0.805381    0.804443 0.000316574
          23    0.801561    0.804318 0.000326675
          24    0.810272    0.804566 0.000396225
          25    0.802268    0.804474 0.000390891
          26    0.804424    0.804472 0.000375862
          27    0.805925    0.804526 0.000365771
          28    0.805315    0.804554 0.000353791
          29    0.802112     0.80447 0.000351473
          30    0.802661     0.80441 0.000344894
          31    0.806558    0.804479  0.00034066
          32    0.803513    0.804449  0.00033135
          33    0.804932    0.804463 0.000321631
          34    0.799743    0.804325 0.000340827
          35    0.806778    0.804395 0.000338221
          36    0.804188    0.804389 0.000328874
          37    0.803384    0.804362 0.000321105
          38    0.802513    0.804313 0.000316319
          39    0.801727    0.804247 0.000315081
          40    0.803521    0.804229 0.000307726
          41    0.805129    0.804251 0.000301003
          42     0.80304    0.804222 0.000295213
          43    0.806215    0.804268 0.000291965
          44    0.800687    0.804187 0.000296457
          45    0.805909    0.804225  0.00029233
          46    0.807706    0.804301 0.000295607
          47    0.805319    0.804322  0.00029011
          48    0.808142    0.804402 0.000294779
          49    0.804408    0.804402 0.000288763
          50    0.806548    0.804445  0.00028616
