#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44798    -5.44798           0
           2    -5.44829    -5.44814 0.000107068
           3     -5.4482    -5.44816 7.38038e-05
           4    -5.44845    -5.44823  8.4802e-05
           5    -5.44684    -5.44795 0.000257855
           6    -5.44887    -5.44811   0.0002557
           7    -5.44796    -5.44808 0.000220045
           8    -5.44839    -5.44812 0.000195733
           9    -5.44833    -5.44815 0.000175375
          10    -5.44789    -5.44812 0.000159667
          11    -5.44727    -5.44804 0.000162712
          12    -5.44774    -5.44802 0.000151164
          13    -5.44729    -5.44796 0.000149465
          14    -5.44884    -5.44802 0.000151314
          15    -5.44828    -5.44804 0.000142199
          16    -5.44875    -5.44809 0.000140043
          17     -5.4491    -5.44815 0.000143922
          18    -5.44856    -5.44817 0.000137783
          19    -5.44814    -5.44817  0.00013054
          20    -5.44809    -5.44816  0.00012407
          21    -5.44958    -5.44823 0.000135273
          22    -5.44826    -5.44823 0.000129132
          23    -5.44827    -5.44823 0.000123528
          24    -5.44917    -5.44827  0.00012444
          25    -5.44815    -5.44827 0.000119556
          26    -5.44809    -5.44826 0.000115163
          27    -5.44805    -5.44825  0.00011117
          28    -5.44905    -5.44828 0.000110737
          29    -5.44833    -5.44828 0.000106933
          30    -5.44916    -5.44831 0.000107265
          31    -5.44771    -5.44829  0.00010555
          32    -5.44748    -5.44827 0.000105258
          33    -5.44818    -5.44827 0.000102099
          34     -5.4489    -5.44828 0.000100764
          35    -5.44869     -5.4483 9.85391e-05
          36    -5.44891    -5.44831 9.72653e-05
          37    -5.44811    -5.44831 9.47835e-05
          38    -5.44767    -5.44829 9.37413e-05
          39    -5.44704    -5.44826 9.66481e-05
          40    -5.44773    -5.44825 9.51349e-05
          41    -5.44842    -5.44825 9.29111e-05
          42    -5.44749    -5.44823 9.24199e-05
          43    -5.44755    -5.44822  9.1602e-05
          44    -5.44797    -5.44821 8.96943e-05
          45    -5.44814    -5.44821 8.77149e-05
          46    -5.44888    -5.44822 8.70087e-05
          47    -5.44882    -5.44824 8.60662e-05
          48    -5.44934    -5.44826 8.73059e-05
          49    -5.44823    -5.44826 8.55255e-05
          50    -5.44836    -5.44826  8.3839e-05
