#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.970196    0.970196           0
           2    0.971441    0.970818 0.000440191
           3    0.974273     0.97197 0.000985049
           4    0.979492     0.97385  0.00178826
           5     0.98872    0.976824  0.00302026
           6     1.00577    0.981649   0.0050726
           7     1.02732    0.988173  0.00744221
           8     1.05054    0.995969  0.00977672
           9     1.06881     1.00406   0.0115648
          10     1.09012     1.01267   0.0132284
          11      1.1101     1.02153   0.0146952
          12     1.11151     1.02902   0.0152645
          13      1.1089     1.03517   0.0152768
          14     1.13092     1.04201   0.0156419
          15     1.13938      1.0485    0.015889
          16     1.13989     1.05421   0.0158894
          17      1.1436     1.05947   0.0158008
          18      1.1537      1.0647   0.0157664
          19        1.15     1.06919   0.0155626
          20     1.16256     1.07386   0.0154689
          21     1.16153     1.07804   0.0152852
          22     1.18036     1.08269   0.0152817
          23     1.19263     1.08747   0.0153466
          24     1.20022     1.09217   0.0154095
          25     1.22228     1.09737   0.0156475
          26     1.20895     1.10166   0.0156231
          27     1.21581     1.10589   0.0156059
          28     1.19041     1.10891   0.0153377
          29     1.18304     1.11146   0.0150203
          30     1.18075     1.11377   0.0146961
          31     1.17295     1.11568   0.0143455
          32     1.18674      1.1179    0.014068
          33     1.17479     1.11963   0.0137469
          34     1.19755     1.12192   0.0135323
          35     1.19196     1.12392   0.0132928
          36      1.1922     1.12582   0.0130582
          37     1.18387     1.12739   0.0127992
          38     1.21178     1.12961   0.0126536
          39     1.20044     1.13142   0.0124588
          40     1.20266      1.1332   0.0122739
          41     1.22328      1.1354   0.0121696
          42     1.20924     1.13716   0.0120062
          43     1.20497     1.13874   0.0118301
          44     1.20289     1.14019   0.0116507
          45     1.20275     1.14158   0.0114744
          46     1.19138     1.14267   0.0112759
          47     1.19393     1.14376   0.0110887
          48     1.19615     1.14485   0.0109112
          49       1.177      1.1455   0.0107083
          50     1.20243     1.14664   0.0105544
          51     1.18772     1.14745   0.0103782
          52     1.19811     1.14842   0.0102242
          53     1.19408     1.14928   0.0100675
          54     1.20408      1.1503   0.0099321
          55     1.21692     1.15151  0.00982509
          56     1.19357     1.15226  0.00967831
          57     1.18844      1.1529  0.00952931
          58     1.17958     1.15336  0.00937611
          59     1.16241     1.15351  0.00921845
          60     1.16125     1.15364  0.00906571
          61     1.14683     1.15353  0.00891778
          62     1.14385     1.15337  0.00877531
          63     1.16896     1.15362   0.0086395
          64     1.16501      1.1538  0.00850634
          65      1.1666     1.15399  0.00837776
          66     1.15814     1.15406  0.00825106
          67     1.15086     1.15401  0.00812805
          68     1.14645      1.1539  0.00800928
          69     1.13473     1.15362  0.00789801
          70       1.148     1.15354  0.00778559
          71     1.15052      1.1535  0.00767605
          72     1.15731     1.15355  0.00756962
          73     1.16043     1.15364  0.00746652
          74     1.17217     1.15389  0.00736981
          75     1.18445      1.1543   0.0072828
          76     1.16315     1.15442   0.0071879
          77     1.17659     1.15471  0.00710032
          78     1.17374     1.15495  0.00701348
          79     1.19266     1.15543  0.00694093
          80      1.1888     1.15584  0.00686669
          81     1.19902     1.15638  0.00680257
          82      1.1953     1.15685  0.00673616
          83     1.20386     1.15742  0.00667877
          84     1.19892     1.15791  0.00661751
          85     1.19172     1.15831   0.0065516
          86     1.19673     1.15876  0.00649063
          87     1.17174     1.15891  0.00641774
          88     1.17323     1.15907  0.00634688
          89     1.19052     1.15942  0.00628539
          90     1.18861     1.15975  0.00622391
          91     1.18396     1.16001   0.0061612
          92     1.20155     1.16046  0.00611075
          93      1.1962     1.16085  0.00605711
          94     1.18963     1.16115  0.00600041
          95     1.22189     1.16179  0.00597121
          96     1.20605     1.16226  0.00592678
          97     1.19879     1.16263  0.00587763
          98     1.22401     1.16326  0.00585093
          99     1.22489     1.16388  0.00582486
         100     1.20335     1.16428  0.00577997
         101     1.22354     1.16486  0.00575245
         102     1.20942      1.1653  0.00571261
         103     1.18827     1.16552   0.0056615
         104     1.18036     1.16566  0.00560886
         105     1.17202     1.16573  0.00555577
         106     1.16913     1.16576  0.00550345
         107      1.1675     1.16577  0.00545204
         108     1.17951      1.1659  0.00540304
         109     1.20442     1.16625  0.00536502
         110     1.19077     1.16648  0.00532087
         111     1.19619     1.16674  0.00527966
         112     1.18404      1.1669  0.00523478
         113     1.16909     1.16692  0.00518849
         114      1.1718     1.16696  0.00514315
         115     1.17467     1.16703  0.00509887
         116      1.2122     1.16742  0.00506976
         117     1.21349     1.16781   0.0050417
         118     1.20898     1.16816  0.00501103
         119     1.21637     1.16857  0.00498527
         120     1.21683     1.16897  0.00495992
         121     1.22164      1.1694    0.004938
         122     1.21871     1.16981  0.00491403
         123     1.22517     1.17026  0.00489464
         124     1.22173     1.17067  0.00487274
         125     1.20447     1.17094  0.00484126
         126     1.20609     1.17122  0.00481086
         127     1.23239      1.1717  0.00479703
         128     1.20979       1.172  0.00476877
         129     1.24181     1.17254  0.00476241
         130      1.2154     1.17287  0.00473718
         131     1.22073     1.17324  0.00471508
         132     1.20768      1.1735  0.00468657
         133     1.21278     1.17379  0.00466064
         134     1.21448      1.1741  0.00463573
         135     1.22598     1.17448   0.0046173
         136     1.23839     1.17495  0.00460719
         137     1.25867     1.17556  0.00461391
         138     1.24402     1.17606  0.00460707
         139     1.24887     1.17658  0.00460361
         140     1.23666     1.17701  0.00459068
         141     1.22371     1.17734  0.00457006
         142      1.2067     1.17755  0.00454254
         143     1.20989     1.17778   0.0045164
         144      1.2263     1.17811   0.0044976
         145     1.24524     1.17858  0.00449034
         146     1.24863     1.17906  0.00448515
         147     1.23463     1.17943  0.00447054
         148     1.24761     1.17989  0.00446401
         149     1.21201     1.18011  0.00443924
         150     1.19176     1.18019  0.00441033
         151     1.19413     1.18028  0.00438209
         152      1.1943     1.18037  0.00435423
         153     1.21634     1.18061  0.00433211
         154     1.24451     1.18102  0.00432381
         155      1.2359     1.18138  0.00431039
         156     1.26501     1.18191  0.00431597
         157     1.24395     1.18231  0.00430653
         158     1.22158     1.18256  0.00428644
         159     1.22093      1.1828  0.00426627
         160     1.18648     1.18282  0.00423967
         161     1.18024      1.1828  0.00421336
         162     1.16023     1.18266  0.00418966
         163      1.1613     1.18253    0.004166
         164     1.18002     1.18252  0.00414063
         165     1.17256     1.18246  0.00411597
         166     1.17777     1.18243  0.00409128
         167     1.19906     1.18253  0.00406799
         168     1.21356     1.18271  0.00404797
         169     1.19464     1.18278  0.00402463
         170     1.20159      1.1829  0.00400247
         171     1.19562     1.18297  0.00397976
         172     1.17698     1.18293  0.00395677
         173     1.17498     1.18289  0.00393417
         174     1.18879     1.18292   0.0039117
         175     1.16521     1.18282  0.00389066
         176     1.16682     1.18273  0.00386962
         177     1.15377     1.18257  0.00385121
         178      1.1423     1.18234  0.00383621
         179     1.15518     1.18219  0.00381778
         180     1.15776     1.18205  0.00379898
         181     1.15739     1.18192  0.00378044
         182     1.17112     1.18186  0.00376013
         183     1.16557     1.18177  0.00374064
         184     1.17435     1.18173  0.00372052
         185     1.18239     1.18173  0.00370041
         186     1.16962     1.18167  0.00368109
         187     1.16881      1.1816  0.00366205
         188     1.16468     1.18151  0.00364367
         189     1.17551     1.18148  0.00362453
         190     1.17842     1.18146  0.00360549
         191     1.18455     1.18148  0.00358665
         192      1.1906     1.18152  0.00356829
         193     1.20836     1.18166  0.00355251
         194     1.18312     1.18167   0.0035342
         195     1.19979     1.18176   0.0035173
         196     1.17264     1.18172  0.00349966
         197     1.18367     1.18173  0.00348191
         198     1.17911     1.18171  0.00346435
         199     1.18344     1.18172  0.00344695
         200     1.15694      1.1816  0.00343195
         201     1.16528     1.18152  0.00341583
         202     1.16594     1.18144  0.00339979
         203     1.16309     1.18135  0.00338424
         204     1.16705     1.18128  0.00336838
         205     1.16376     1.18119  0.00335303
         206     1.16037     1.18109  0.00333828
         207     1.15861     1.18098  0.00332392
         208     1.16288      1.1809  0.00330908
         209     1.14558     1.18073  0.00329756
         210     1.15749     1.18062  0.00328371
         211     1.15311     1.18049  0.00327074
         212     1.15441     1.18036  0.00325762
         213     1.17187     1.18032  0.00324257
         214     1.15763     1.18022  0.00322915
         215     1.18752     1.18025  0.00321431
         216     1.18881     1.18029  0.00319967
         217     1.17986     1.18029  0.00318493
         218     1.18402     1.18031  0.00317037
         219     1.18037     1.18031  0.00315589
         220     1.20793     1.18043  0.00314404
         221     1.21408     1.18059   0.0031335
         222     1.20522      1.1807  0.00312135
         223     1.20029     1.18078  0.00310859
         224     1.16161      1.1807  0.00309589
         225     1.17579     1.18068   0.0030822
         226     1.14473     1.18052  0.00307267
         227     1.16488     1.18045   0.0030599
         228      1.1508     1.18032  0.00304925
         229     1.18633     1.18034  0.00303604
         230     1.18691     1.18037  0.00302298
         231     1.19106     1.18042  0.00301024
         232     1.20916     1.18054  0.00299982
         233     1.20093     1.18063  0.00298822
         234     1.20666     1.18074  0.00297752
         235     1.20836     1.18086  0.00296717
         236     1.22355     1.18104   0.0029601
         237     1.22922     1.18124  0.00295458
         238     1.24284      1.1815  0.00295348
         239      1.2568     1.18182  0.00295788
         240     1.26087     1.18215  0.00296384
         241     1.25217     1.18244  0.00296575
         242     1.25147     1.18272  0.00296718
         243     1.24423     1.18298  0.00296574
         244     1.25848     1.18329  0.00296969
         245     1.22724     1.18347  0.00296298
         246     1.21706      1.1836  0.00295408
         247     1.21363     1.18372  0.00294462
         248     1.20091     1.18379  0.00293357
         249     1.21471     1.18392  0.00292441
         250     1.19861     1.18398   0.0029133
         251      1.2066     1.18407  0.00290309
         252     1.21159     1.18417  0.00289363
         253      1.2028     1.18425  0.00288312
         254     1.20026     1.18431  0.00287246
         255      1.1961     1.18436  0.00286157
         256     1.19358     1.18439  0.00285062
         257     1.19914     1.18445   0.0028401
         258     1.19436     1.18449  0.00282935
         259      1.2039     1.18456  0.00281942
         260     1.20859     1.18466  0.00281009
         261     1.19135     1.18468  0.00279944
         262     1.19816     1.18473  0.00278923
         263     1.18876     1.18475  0.00277867
         264      1.2075     1.18484  0.00276948
         265     1.21652     1.18495  0.00276161
         266     1.21159     1.18506  0.00275304
         267      1.2299     1.18522  0.00274785
         268     1.23437     1.18541  0.00274371
         269     1.22107     1.18554  0.00273671
         270      1.2416     1.18575  0.00273444
         271      1.2282      1.1859  0.00272883
         272     1.22641     1.18605  0.00272286
         273     1.23073     1.18622   0.0027178
         274     1.22202     1.18635  0.00271102
         275     1.22387     1.18648   0.0027046
         276     1.23164     1.18665  0.00269974
         277      1.2081     1.18672  0.00269111
         278     1.23419     1.18689  0.00268684
         279     1.22921     1.18705  0.00268148
         280     1.23597     1.18722  0.00267759
         281     1.22704     1.18736  0.00267181
         282     1.23504     1.18753  0.00266768
         283     1.20351     1.18759  0.00265885
         284     1.21358     1.18768  0.00265107
         285     1.19351      1.1877  0.00264184
         286     1.20035     1.18774  0.00263298
         287      1.2022      1.1878  0.00262428
         288     1.19489     1.18782  0.00261529
         289     1.20599     1.18788  0.00260699
         290     1.20997     1.18796  0.00259912
         291     1.21147     1.18804  0.00259144
         292     1.22468     1.18816   0.0025856
         293     1.23291     1.18832  0.00258128
         294     1.27068      1.1886  0.00258766
         295     1.25221     1.18881  0.00258786
         296     1.26314     1.18906  0.00259127
         297     1.28342     1.18938  0.00260194
         298      1.2636     1.18963  0.00260511
         299     1.25197     1.18984  0.00260472
         300     1.25536     1.19006  0.00260518
         301     1.24294     1.19023  0.00260244
         302     1.24197     1.19041  0.00259946
         303     1.23353     1.19055  0.00259477
         304     1.22276     1.19065   0.0025884
         305     1.22793     1.19078  0.00258279
         306     1.23108     1.19091  0.00257771
         307      1.2222     1.19101  0.00257133
         308     1.23245     1.19114   0.0025665
         309     1.23762     1.19129   0.0025626
         310     1.21693     1.19138  0.00255566
         311     1.24685     1.19156  0.00255366
         312     1.22242     1.19165  0.00254739
         313      1.2386      1.1918  0.00254366
         314     1.20668     1.19185  0.00253601
         315     1.23962       1.192  0.00253248
         316     1.23308     1.19213   0.0025278
         317      1.2369     1.19227  0.00252377
         318     1.23302      1.1924  0.00251909
         319     1.22811     1.19251  0.00251367
         320     1.21444     1.19258  0.00250675
         321      1.2165     1.19266  0.00250005
         322     1.18904     1.19265  0.00249231
         323     1.19538     1.19265  0.00248461
         324     1.19318     1.19266  0.00247694
         325      1.2068      1.1927   0.0024697
         326     1.20855     1.19275  0.00246261
         327     1.20636     1.19279  0.00245543
         328     1.23305     1.19291  0.00245101
         329      1.2273     1.19302  0.00244578
         330     1.23635     1.19315  0.00244189
         331     1.23139     1.19326  0.00243725
         332     1.22462     1.19336  0.00243174
         333     1.22794     1.19346  0.00242665
         334     1.23514     1.19359  0.00242259
         335     1.22622     1.19368  0.00241732
         336     1.23139      1.1938  0.00241273
         337     1.21447     1.19386  0.00240635
         338      1.2263     1.19395  0.00240114
         339     1.19955     1.19397  0.00239412
         340     1.21638     1.19404  0.00238798
         341     1.20805     1.19408  0.00238133
         342     1.19206     1.19407  0.00237438
         343      1.2122     1.19412  0.00236804
         344     1.22757     1.19422  0.00236315
         345     1.23301     1.19433  0.00235898
         346     1.22956     1.19444  0.00235435
         347     1.23394     1.19455  0.00235032
         348     1.25191     1.19471  0.00234934
         349     1.23612     1.19483   0.0023456
         350     1.25703     1.19501  0.00234562
         351     1.24456     1.19515  0.00234318
         352      1.2516     1.19531  0.00234201
         353     1.24679     1.19546  0.00233991
         354     1.21847     1.19552   0.0023342
         355     1.21852     1.19559  0.00232852
         356     1.20441     1.19561  0.00232212
         357     1.21338     1.19566  0.00231614
         358     1.21467     1.19572  0.00231028
         359     1.21402     1.19577  0.00230441
         360     1.22692     1.19585  0.00229963
         361     1.23497     1.19596  0.00229582
         362     1.22006     1.19603  0.00229044
         363     1.23114     1.19613  0.00228617
         364     1.23513     1.19623   0.0022824
         365     1.22622     1.19631  0.00227762
         366     1.25257     1.19647  0.00227658
         367     1.23559     1.19657  0.00227287
         368     1.23736     1.19669   0.0022694
         369     1.23788      1.1968  0.00226599
         370     1.22009     1.19686  0.00226074
         371     1.24018     1.19698  0.00225766
         372      1.2404     1.19709  0.00225461
         373     1.23912     1.19721  0.00225138
         374     1.23263      1.1973  0.00224735
         375     1.27361      1.1975  0.00225055
         376     1.27235      1.1977  0.00225335
         377     1.26015     1.19787  0.00225345
         378     1.25865     1.19803  0.00225322
         379     1.23652     1.19813  0.00224957
         380       1.222     1.19819  0.00224452
         381      1.2289     1.19828  0.00224008
         382      1.2426     1.19839  0.00223722
         383     1.23989      1.1985    0.002234
         384     1.25038     1.19863  0.00223226
         385     1.23728     1.19874  0.00222872
         386     1.22493      1.1988  0.00222398
         387     1.22837     1.19888  0.00221954
         388     1.21164     1.19891  0.00221407
         389     1.20041     1.19892  0.00220838
         390      1.2273     1.19899  0.00220392
         391     1.22529     1.19906  0.00219931
         392     1.22458     1.19912  0.00219466
         393     1.23736     1.19922  0.00219123
         394     1.23645     1.19931  0.00218771
         395     1.21851     1.19936  0.00218271
         396      1.2266     1.19943  0.00217828
         397     1.23319     1.19952  0.00217445
         398     1.20169     1.19952  0.00216899
         399     1.21331     1.19956  0.00216383
         400     1.21263     1.19959  0.00215867
         401     1.19273     1.19957  0.00215336
         402      1.1785     1.19952  0.00214864
         403     1.17842     1.19947  0.00214394
         404     1.18169     1.19942  0.00213909
         405     1.17843     1.19937  0.00213443
         406     1.18048     1.19932  0.00212968
         407     1.15554     1.19922  0.00212717
         408     1.16013     1.19912  0.00212411
         409     1.15668     1.19902  0.00212145
         410     1.15304      1.1989  0.00211924
         411     1.16232     1.19882  0.00211595
         412     1.16099     1.19872   0.0021128
         413     1.18328     1.19869  0.00210802
         414     1.18106     1.19864  0.00210336
         415     1.19031     1.19862  0.00209838
         416     1.21449     1.19866  0.00209369
         417     1.22126     1.19872  0.00208937
