#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16319     1.16319           0
           2     1.19463     1.17891   0.0111153
           3     1.20049     1.18611  0.00945577
           4     1.19155     1.18747  0.00718896
           5     1.19201     1.18837  0.00580823
           6     1.22306     1.19415  0.00716049
           7     1.22494     1.19855  0.00736525
           8     1.21571      1.2007  0.00674978
           9     1.24234     1.20532  0.00741797
          10     1.25404      1.2102  0.00811963
          11     1.21974     1.21106  0.00742774
          12     1.20522     1.21058   0.0068247
          13     1.20619     1.21024  0.00630806
          14     1.20127      1.2096  0.00588996
          15     1.19495     1.20862  0.00557764
          16     1.17058     1.20624   0.0057134
          17     1.17987     1.20469    0.005584
          18     1.17987     1.20331  0.00544135
          19     1.24233     1.20537  0.00552893
          20     1.23644     1.20692  0.00546639
          21     1.22552     1.20781  0.00527731
          22     1.19742     1.20733  0.00505853
          23     1.22434     1.20807  0.00489232
          24     1.22146     1.20863  0.00472016
          25     1.20812     1.20861   0.0045314
          26     1.21761     1.20896  0.00437031
          27     1.17975     1.20788  0.00434025
          28     1.17816     1.20681  0.00431304
          29     1.22469     1.20743  0.00420815
          30     1.24166     1.20857  0.00421971
          31     1.23538     1.20944  0.00417124
          32     1.26199     1.21108  0.00435225
          33     1.23789     1.21189  0.00429552
          34     1.21051     1.21185  0.00416937
          35     1.20599     1.21168   0.0040536
          36     1.22256     1.21199  0.00395224
          37     1.22363      1.2123  0.00385794
          38     1.22961     1.21276   0.0037832
          39     1.22917     1.21318  0.00370954
          40     1.20034     1.21286  0.00363066
          41     1.19395     1.21239  0.00357125
          42     1.22196     1.21262  0.00349349
          43     1.20723      1.2125  0.00341449
          44      1.2056     1.21234  0.00334049
          45     1.23693     1.21289  0.00331066
          46     1.20738     1.21277  0.00324085
          47       1.203     1.21256  0.00317856
          48     1.19824     1.21226  0.00312631
          49     1.19634     1.21194  0.00307935
          50     1.18667     1.21143  0.00305896
