#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.01337    -5.01337           0
           2    -5.05588    -5.03462   0.0150274
           3    -5.01547    -5.02824   0.0112936
           4    -5.00833    -5.02326  0.00950338
           5    -5.00012    -5.01863  0.00865683
           6     -5.0273    -5.02008  0.00733363
           7    -5.01806    -5.01979  0.00629163
           8     -4.9784    -5.01462  0.00733034
           9    -5.02591    -5.01587  0.00662244
          10    -5.06275    -5.02056  0.00743643
          11    -5.01092    -5.01968  0.00681186
          12     -5.0477    -5.02202  0.00663224
          13    -5.03757    -5.02321   0.0062291
          14    -5.04056    -5.02445  0.00590608
          15    -5.01033    -5.02351  0.00558688
          16    -5.02566    -5.02365  0.00523931
          17    -5.01666    -5.02323  0.00494719
          18    -5.01698    -5.02289  0.00468454
          19    -5.01749     -5.0226  0.00444659
          20    -5.03947    -5.02345  0.00430348
          21    -5.02189    -5.02337  0.00409918
          22    -4.98009     -5.0214  0.00435947
          23    -5.04966    -5.02263  0.00433958
          24    -5.02922    -5.02291  0.00416742
          25     -4.9948    -5.02178  0.00414965
          26    -5.02908    -5.02206  0.00399953
          27    -5.04916    -5.02307  0.00397535
          28    -5.01173    -5.02266  0.00385395
          29     -5.0201    -5.02257  0.00372207
          30    -5.02828    -5.02276  0.00360285
          31    -5.04126    -5.02336  0.00353569
          32    -5.02807    -5.02351  0.00342826
          33    -5.01134    -5.02314  0.00334413
          34    -4.98289    -5.02196  0.00344896
          35     -4.9877    -5.02098  0.00348651
          36    -5.03832    -5.02146  0.00342278
          37    -5.02435    -5.02154  0.00333117
          38    -5.04149    -5.02206  0.00328462
          39    -4.99953    -5.02148  0.00325079
          40    -5.00414    -5.02105  0.00319829
          41    -5.02199    -5.02107  0.00312037
          42    -4.98478    -5.02021  0.00316349
          43     -5.0425    -5.02073  0.00313209
          44    -5.03844    -5.02113  0.00308666
          45    -5.01134    -5.02091  0.00302573
          46    -5.03038    -5.02112  0.00296694
          47    -5.00726    -5.02082  0.00291844
          48     -5.0086    -5.02057  0.00286873
          49    -5.01814    -5.02052  0.00281062
          50    -5.03626    -5.02083  0.00277197
