#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.39129     1.39129           0
           2     1.04536     1.21832    0.122306
           3     1.39961     1.27875    0.095303
           4     1.31949     1.28894   0.0720195
           5     1.32443     1.29604   0.0579644
           6     1.29779     1.29633   0.0483044
           7     1.30577     1.29768   0.0414226
           8     1.38948     1.30915   0.0378008
           9     1.23582       1.301   0.0344676
          10     1.15059     1.28596   0.0341455
          11     1.38151     1.29465   0.0321272
          12      1.1502     1.28261   0.0316246
          13     1.13882     1.27155   0.0310662
          14      1.1148     1.26035   0.0307987
          15     1.46177     1.27378   0.0315369
          16     1.29011      1.2748   0.0295824
          17     1.43364     1.28415   0.0292806
          18     1.24742      1.2821   0.0277249
          19     1.27212     1.28158   0.0262706
          20     1.21021     1.27801   0.0251983
          21     1.27542     1.27789   0.0239987
          22     1.45315     1.28585    0.024194
          23     1.18915     1.28165   0.0235046
          24     1.16615     1.27684   0.0230126
          25     1.40539     1.28198   0.0226593
          26     1.24619      1.2806   0.0218296
          27     1.16839     1.27645   0.0214131
          28     1.33684      1.2786   0.0207566
          29     1.35745     1.28132   0.0202182
          30     1.12868     1.27623   0.0201744
          31     1.11228     1.27095   0.0202049
          32     1.31319     1.27227   0.0196166
          33     1.26301     1.27199   0.0190242
          34     1.52027     1.27929   0.0198167
          35     1.54664     1.28693   0.0206703
          36      1.1343     1.28269   0.0205263
          37     1.25428     1.28192   0.0199859
          38     1.15684     1.27863   0.0197291
          39     1.27032     1.27841   0.0192244
          40     1.30596      1.2791   0.0187561
          41     1.17799     1.27664   0.0184601
          42     1.55209      1.2832   0.0191502
          43     1.16721      1.2805   0.0188938
          44     1.25768     1.27998   0.0184716
          45     1.42958      1.2833   0.0183578
          46     1.26132     1.28283   0.0179649
          47     1.32429     1.28371   0.0176044
          48      1.3402     1.28489   0.0172769
          49     1.21734     1.28351   0.0169792
          50     1.18345     1.28151   0.0167571
