#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65163    -6.65163           0
           2    -6.65597     -6.6538  0.00153466
           3    -6.65754    -6.65505  0.00144462
           4    -6.65751    -6.65566  0.00120777
           5    -6.65382    -6.65529  0.00102114
           6    -6.65521    -6.65528  0.00085105
           7    -6.65156    -6.65475 0.000879679
           8    -6.65735    -6.65507 0.000827602
           9    -6.65545    -6.65511 0.000736715
          10    -6.65402    -6.65501 0.000671088
          11    -6.65234    -6.65476 0.000652481
          12    -6.65427    -6.65472 0.000599394
          13    -6.65082    -6.65442 0.000623977
          14    -6.65471    -6.65444 0.000579759
          15    -6.65332    -6.65437 0.000545903
          16    -6.65194    -6.65422 0.000532396
          17    -6.65963    -6.65453 0.000588576
          18    -6.65839    -6.65475 0.000593628
          19    -6.65345    -6.65468 0.000566297
          20    -6.65293    -6.65459 0.000544707
          21    -6.65955    -6.65483 0.000567621
          22    -6.65634     -6.6549 0.000545934
          23    -6.65061    -6.65471 0.000553083
          24    -6.66458    -6.65512 0.000665639
          25    -6.65156    -6.65498 0.000654129
          26    -6.65472    -6.65497 0.000629045
          27    -6.65693    -6.65504 0.000609942
          28    -6.65702    -6.65511 0.000592224
          29     -6.6515    -6.65499 0.000584746
          30    -6.65315    -6.65493 0.000568462
          31    -6.65755    -6.65501 0.000556373
          32    -6.65275    -6.65494 0.000543455
          33    -6.65558    -6.65496 0.000527332
          34    -6.64851    -6.65477  0.00054489
          35    -6.65885    -6.65489 0.000541663
          36    -6.65519     -6.6549 0.000526683
          37    -6.65319    -6.65485  0.00051446
          38    -6.65144    -6.65476  0.00050867
          39    -6.64963    -6.65463 0.000512335
          40    -6.65301    -6.65459 0.000501121
          41    -6.65611    -6.65463 0.000490279
          42    -6.65205    -6.65456 0.000482411
          43    -6.65688    -6.65462 0.000474182
          44      -6.649    -6.65449 0.000480303
          45      -6.657    -6.65455 0.000472865
          46    -6.66044    -6.65467 0.000479615
          47    -6.65679    -6.65472 0.000471528
          48    -6.66156    -6.65486 0.000482733
          49    -6.65485    -6.65486 0.000472882
          50    -6.65818    -6.65493 0.000468065
