#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.66163     9.66163           0
           2     9.62519     9.64341   0.0128847
           3      9.6212     9.63601   0.0105032
           4     9.63753     9.63639  0.00788423
           5     9.64235     9.63758  0.00639693
           6     9.66778     9.64261   0.0070377
           7     9.68114     9.64812  0.00789631
           8     9.64337     9.64752  0.00693156
           9     9.63685     9.64634  0.00626206
          10      9.6443     9.64613  0.00563917
          11     9.65525     9.64696    0.005187
          12     9.64071     9.64644  0.00478086
          13      9.6604     9.64752  0.00453212
          14     9.65066     9.64774  0.00421395
          15     9.65439     9.64818  0.00395629
          16     9.65583     9.64866  0.00373778
          17     9.63844     9.64806  0.00356595
          18     9.63223     9.64718  0.00347461
          19      9.6436     9.64699  0.00329683
          20     9.64164     9.64672  0.00314282
          21     9.64714     9.64674  0.00299322
          22     9.61756     9.64542   0.0031374
          23     9.66964     9.64647   0.0031728
          24     9.62361     9.64552  0.00318035
          25     9.68254       9.647  0.00338044
          26     9.63924      9.6467  0.00326356
          27      9.6311     9.64612  0.00319342
          28     9.63449     9.64571  0.00310628
          29     9.66439     9.64635  0.00306522
          30     9.67522     9.64731  0.00311043
          31     9.62753     9.64668  0.00307486
          32      9.6618     9.64715  0.00301488
          33     9.64767     9.64716  0.00292356
          34     9.68101     9.64816  0.00300223
          35     9.62133     9.64739  0.00301274
          36     9.61988     9.64663  0.00302446
          37     9.65196     9.64677  0.00294614
          38     9.67697     9.64757  0.00297386
          39      9.6732     9.64823  0.00296933
          40     9.62675     9.64769  0.00294324
          41       9.629     9.64723  0.00290651
          42     9.64119     9.64709  0.00284086
          43     9.63168     9.64673  0.00279731
          44     9.67409     9.64735    0.002802
          45     9.64062      9.6472  0.00274371
          46     9.62378     9.64669  0.00273092
          47     9.62267     9.64618  0.00272021
          48     9.61453     9.64552  0.00274232
          49     9.65975     9.64581  0.00270168
          50     9.62283     9.64535  0.00268647
