#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.98949     1.98949           0
           2     1.98607     1.98778   0.0012089
           3     1.97885      1.9848  0.00256052
           4     1.96733     1.98044  0.00424219
           5     1.95069     1.97449  0.00631086
           6     1.92775      1.9667  0.00884422
           7     1.89703     1.95675   0.0119321
           8     1.85679     1.94425   0.0156719
           9     1.80531     1.92881    0.020147
          10     1.74134     1.91007    0.025399
          11     1.66474     1.88776   0.0313898
          12     1.57726     1.86189   0.0379692
          13     1.48268     1.83272   0.0448757
          14     1.38613     1.80082    0.051781
          15     1.29298     1.76696   0.0583565
          16     1.20804     1.73203   0.0643205
          17     1.13555     1.69694   0.0694509
          18     1.07927     1.66263   0.0735834
          19     1.04198     1.62996   0.0766189
          20     1.02427     1.59968   0.0785455
          21     1.02339     1.57224   0.0794546
          22     1.03365     1.54775   0.0795252
          23     1.04846     1.52605   0.0789749
          24     1.06276     1.50674   0.0780078
          25     1.07404     1.48943   0.0767836
          26     1.08205     1.47377   0.0754121
          27     1.08773     1.45947   0.0739621
          28     1.09227     1.44635   0.0724739
          29     1.09633     1.43428   0.0709727
          30     1.09991     1.42314   0.0694767
          31     1.10277      1.4128   0.0679997
          32     1.10504     1.40319   0.0665514
          33     1.10743     1.39422   0.0651354
          34     1.11081     1.38589   0.0637508
          35      1.1151     1.37815    0.062397
          36     1.11892     1.37095   0.0610779
          37     1.12036     1.36418   0.0598015
          38     1.11828     1.35771   0.0585768
          39     1.11302     1.35143   0.0574098
          40     1.10607      1.3453   0.0563013
          41     1.09927      1.3393    0.055247
          42     1.09416     1.33346    0.054239
          43     1.09179     1.32784   0.0532681
          44     1.09304      1.3225    0.052324
          45     1.09885     1.31753   0.0513968
          46     1.10981     1.31302   0.0504774
          47     1.12533     1.30902   0.0495612
          48     1.14323     1.30557   0.0486488
          49     1.16048     1.30261    0.047746
          50     1.17454     1.30005   0.0468598
          51      1.1842     1.29778    0.045996
          52     1.18958      1.2957   0.0451585
          53     1.19158     1.29373   0.0443491
          54     1.19127     1.29183   0.0435684
          55     1.18952     1.28997    0.042816
          56      1.1869     1.28813   0.0420909
          57     1.18357      1.2863   0.0413925
          58     1.17934     1.28445   0.0407199
          59     1.17382     1.28258   0.0400728
          60     1.16657     1.28065   0.0394516
          61     1.15741     1.27863   0.0388565
          62     1.14661      1.2765   0.0382881
          63     1.13485     1.27425   0.0377463
          64     1.12279     1.27188   0.0372306
          65     1.11068      1.2694   0.0367404
          66     1.09841     1.26681   0.0362749
          67     1.08587     1.26411   0.0358339
          68     1.07357     1.26131   0.0354163
          69     1.06281     1.25843   0.0350197
          70     1.05527     1.25553   0.0346395
          71     1.05231     1.25267   0.0342696
          72     1.05446     1.24991   0.0339041
          73     1.06127     1.24733   0.0335379
          74     1.07157     1.24495   0.0331687
          75     1.08372      1.2428   0.0327961
          76     1.09609     1.24087   0.0324213
          77      1.1074     1.23914   0.0320466
          78     1.11677     1.23757   0.0316741
          79     1.12355     1.23613    0.031306
          80     1.12701     1.23477   0.0309444
          81     1.12639     1.23343   0.0305913
          82     1.12138     1.23206   0.0302487
          83     1.11298     1.23063   0.0299183
          84     1.10376     1.22912   0.0296002
          85     1.09679     1.22756   0.0292929
          86     1.09348       1.226   0.0289937
          87      1.0926     1.22447    0.028701
          88     1.09149     1.22296   0.0284146
          89     1.08826     1.22144   0.0281356
          90     1.08272      1.2199   0.0278651
          91     1.07593     1.21832   0.0276038
          92      1.0692      1.2167   0.0273513
          93     1.06341     1.21505   0.0271068
          94     1.05904     1.21339   0.0268692
          95     1.05668     1.21174    0.026637
          96     1.05698     1.21013   0.0264082
          97     1.05984     1.20858   0.0261814
          98     1.06389      1.2071   0.0259558
          99      1.0669     1.20569   0.0257323
         100     1.06692      1.2043   0.0255123
         101     1.06287      1.2029   0.0252981
         102     1.05464     1.20144   0.0250918
         103     1.04301     1.19991   0.0248953
         104     1.02967     1.19827   0.0247097
         105     1.01659     1.19654   0.0245349
         106      1.0051     1.19473   0.0243698
         107    0.995443     1.19287   0.0242131
         108     0.98747     1.19097   0.0240635
         109    0.981629     1.18905   0.0239192
         110    0.979104     1.18714   0.0237778
         111    0.981109     1.18528   0.0236359
         112    0.988112     1.18352   0.0234904
         113    0.999664      1.1819   0.0233388
         114     1.01465     1.18043   0.0231801
         115     1.03174     1.17914   0.0230146
         116      1.0498     1.17802   0.0228432
         117     1.06817     1.17708   0.0226672
         118     1.08673     1.17632    0.022488
         119     1.10551     1.17572   0.0223069
         120     1.12402     1.17529   0.0221252
         121     1.14102     1.17501   0.0219442
         122     1.15496     1.17484   0.0217649
         123     1.16473     1.17476   0.0215881
         124     1.17027     1.17472   0.0214141
         125     1.17251     1.17471   0.0212428
         126     1.17284     1.17469   0.0210742
         127     1.17243     1.17467   0.0209082
         128     1.17172     1.17465   0.0207449
         129     1.17058     1.17462   0.0205841
         130     1.16887     1.17458   0.0204258
         131     1.16692     1.17452     0.02027
         132     1.16546     1.17445   0.0201165
         133     1.16495     1.17438   0.0199654
         134      1.1651     1.17431   0.0198165
         135     1.16502     1.17424   0.0196699
         136     1.16402     1.17416   0.0195254
         137     1.16213     1.17408   0.0193831
         138     1.16015     1.17398   0.0192429
         139     1.15923     1.17387   0.0191047
         140     1.16035     1.17377   0.0189685
         141     1.16392      1.1737   0.0188341
         142     1.16947     1.17367   0.0187015
         143     1.17571     1.17369   0.0185707
         144     1.18093     1.17374   0.0184418
         145     1.18347      1.1738   0.0183148
         146     1.18235     1.17386   0.0181894
         147     1.17756     1.17389   0.0180657
         148     1.16997     1.17386   0.0179436
         149     1.16115     1.17378   0.0178234
         150     1.15304     1.17364   0.0177051
         151     1.14746     1.17346   0.0175887
         152      1.1456     1.17328    0.017474
         153     1.14737     1.17311   0.0173606
         154     1.15137     1.17297   0.0172484
         155     1.15563     1.17286   0.0171375
         156     1.15856     1.17277   0.0170279
         157     1.15953     1.17268   0.0169196
         158     1.15875     1.17259   0.0168128
         159     1.15694      1.1725   0.0167073
         160     1.15515     1.17239   0.0166033
         161      1.1545     1.17228   0.0165005
         162     1.15579     1.17218    0.016399
         163     1.15918      1.1721   0.0162986
         164       1.164     1.17205   0.0161992
         165     1.16916     1.17203   0.0161011
         166      1.1737     1.17204   0.0160041
         167     1.17724     1.17207   0.0159083
         168     1.17998     1.17212   0.0158137
         169     1.18246     1.17218   0.0157202
         170      1.1852     1.17225   0.0156279
         171     1.18854     1.17235   0.0155368
         172     1.19261     1.17247   0.0154469
         173     1.19726     1.17261   0.0153583
         174     1.20203     1.17278    0.015271
         175     1.20613     1.17297   0.0151849
         176     1.20861     1.17317      0.0151
         177     1.20853     1.17337    0.015016
         178     1.20525     1.17355   0.0149327
         179     1.19855     1.17369   0.0148499
         180      1.1885     1.17377   0.0147677
         181     1.17523     1.17378   0.0146861
         182     1.15864      1.1737   0.0146056
         183     1.13827     1.17351   0.0145271
         184     1.11342     1.17318   0.0144518
         185      1.0836     1.17269   0.0143818
         186     1.04932     1.17203   0.0143198
         187     1.01287     1.17118   0.0142685
         188    0.978733     1.17016   0.0142292
         189    0.952438       1.169   0.0142005
         190    0.938071     1.16779   0.0141777
         191    0.936506     1.16658   0.0141551
         192    0.946222     1.16543   0.0141278
         193    0.965094     1.16439   0.0140927
         194    0.990946      1.1635   0.0140484
         195     1.02155     1.16277   0.0139952
         196     1.05473     1.16222   0.0139346
         197     1.08811     1.16184    0.013869
         198     1.11883     1.16163   0.0138006
         199     1.14395     1.16154   0.0137315
         200     1.16129     1.16154   0.0136629
         201     1.17011     1.16158    0.013595
         202     1.17112     1.16163   0.0135278
         203     1.16584     1.16165   0.0134611
         204     1.15579     1.16162   0.0133952
         205      1.1419     1.16152   0.0133302
         206     1.12478     1.16134   0.0132667
         207      1.1054     1.16107   0.0132053
         208      1.0858     1.16071   0.0131468
         209     1.06901     1.16027   0.0130912
         210      1.0583     1.15979   0.0130379
         211     1.05606     1.15929   0.0129854
         212     1.06286     1.15884   0.0129321
         213     1.07713     1.15846    0.012877
         214      1.0959     1.15816   0.0128202
         215     1.11585     1.15797   0.0127621
         216     1.13435     1.15786   0.0127035
         217     1.14989     1.15782    0.012645
         218     1.16187     1.15784    0.012587
         219      1.1703      1.1579   0.0125296
         220      1.1755     1.15798   0.0124729
         221     1.17777     1.15807   0.0124168
         222     1.17731     1.15815   0.0123612
         223     1.17411     1.15822    0.012306
         224     1.16808     1.15827   0.0122511
         225     1.15917     1.15827   0.0121967
         226     1.14772     1.15823   0.0121428
         227     1.13448     1.15812   0.0120897
         228     1.12047     1.15796   0.0120378
         229     1.10659     1.15773   0.0119874
         230     1.09339     1.15745   0.0119385
         231     1.08123     1.15712   0.0118914
         232     1.07076     1.15675   0.0118459
         233     1.06307     1.15635   0.0118019
         234     1.05928     1.15593   0.0117588
         235     1.05983     1.15552   0.0117159
         236     1.06407     1.15514   0.0116726
         237     1.07028     1.15478   0.0116289
         238     1.07636     1.15445   0.0115847
         239     1.08085     1.15414   0.0115403
         240     1.08369     1.15385   0.0114959
         241     1.08596     1.15357   0.0114517
         242     1.08888      1.1533   0.0114075
         243     1.09298     1.15305   0.0113632
         244     1.09803     1.15282   0.0113189
         245     1.10359     1.15262   0.0112745
         246     1.10931     1.15245     0.01123
