#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.5459      1.5459           0
           2     1.51884     1.53237  0.00956648
           3     1.46427     1.50967   0.0195998
           4     1.38335     1.47809   0.0310502
           5     1.27791     1.43805   0.0435811
           6     1.15165     1.39032   0.0567246
           7     1.01089     1.33612   0.0698744
           8    0.864969     1.27722   0.0822982
           9    0.725775     1.21595   0.0932128
          10    0.605656     1.15492    0.101931
          11    0.514409     1.09669    0.108023
          12     0.45688     1.04338    0.111405
          13    0.432313     0.99637    0.112315
          14    0.435427    0.956303     0.11121
          15    0.458358    0.923107    0.108637
          16     0.49263    0.896202    0.105126
          17    0.530666      0.8747    0.101118
          18     0.56674    0.857591   0.0969366
          19    0.597296    0.843891   0.0927977
          20    0.620881    0.832741   0.0888252
          21    0.637724    0.823454   0.0850795
          22    0.649174    0.815532   0.0815802
          23    0.657142    0.808646   0.0783233
          24    0.663529    0.802599   0.0752929
          25    0.669909    0.797292    0.072468
          26    0.677456    0.792683   0.0698272
          27    0.686967    0.788767   0.0673507
          28    0.698909    0.785558   0.0650217
          29    0.713323    0.783067   0.0628273
          30    0.729791    0.781291   0.0607581
          31    0.747493    0.780201    0.058808
          32    0.765376    0.779738   0.0569721
          33    0.782359    0.779817   0.0552457
          34    0.797431    0.780335   0.0536232
          35    0.809725    0.781175   0.0520977
          36    0.818637    0.782215    0.050661
          37    0.823891    0.783342   0.0493043
          38     0.82555    0.784453   0.0480193
          39     0.82398    0.785466   0.0467987
          40    0.819614     0.78632   0.0456365
          41    0.812878    0.786968    0.044528
          42     0.80418    0.787377   0.0434697
          43     0.79391    0.787529   0.0424591
          44    0.782467    0.787414   0.0414943
          45    0.770396    0.787036   0.0405739
          46    0.758426    0.786414   0.0396966
          47    0.747429    0.785585   0.0388607
          48    0.738295    0.784599   0.0380636
          49     0.73176    0.783521    0.037302
          50    0.728308    0.782417   0.0365723
          51    0.728227    0.781354   0.0358707
          52    0.731697    0.780399   0.0351935
          53    0.738808    0.779615   0.0345383
          54     0.74932    0.779054   0.0339032
          55    0.762505    0.778753   0.0332881
          56    0.776994    0.778721   0.0326937
          57    0.791056    0.778938   0.0321209
          58    0.803108    0.779354   0.0315698
          59    0.812231    0.779912   0.0310396
          60    0.818373    0.780553   0.0305289
          61    0.822214    0.781236    0.030036
          62     0.82481    0.781938   0.0295598
          63    0.827152    0.782656   0.0290993
          64    0.830016    0.783396   0.0286541
          65    0.833895    0.784173   0.0282238
          66    0.838928    0.785003   0.0278083
          67    0.844821    0.785895   0.0274076
          68    0.850836     0.78685   0.0270212
          69    0.855969    0.787852   0.0266481
          70    0.859275    0.788872    0.026287
          71    0.860121    0.789876   0.0259359
          72     0.85825    0.790826    0.025593
          73    0.853766    0.791688    0.025257
          74    0.847023    0.792436   0.0249267
          75    0.838521     0.79305   0.0246019
          76    0.828987    0.793523   0.0242828
          77    0.819472     0.79386   0.0239697
          78    0.811173    0.794082   0.0236635
          79    0.805185    0.794222   0.0233643
          80    0.802092    0.794321   0.0230725
          81    0.801811    0.794413   0.0227878
          82     0.80382    0.794528   0.0225102
          83     0.80756    0.794685   0.0222396
          84    0.812609    0.794898   0.0219758
          85    0.818521    0.795176    0.021719
          86    0.824623    0.795519   0.0214692
          87     0.82995    0.795914   0.0212261
          88    0.833278    0.796339   0.0209891
          89    0.833428    0.796756   0.0207574
          90    0.829704    0.797122     0.02053
          91    0.822254    0.797398   0.0203063
          92    0.812246    0.797559   0.0200862
          93    0.801661    0.797604   0.0198703
          94    0.792794    0.797552   0.0196589
          95    0.787551    0.797447   0.0194523
          96    0.786857    0.797337     0.01925
          97    0.790324    0.797264   0.0190516
          98    0.796402    0.797256   0.0188572
          99    0.802777    0.797311   0.0186668
         100    0.806924    0.797408   0.0184804
         101    0.806781      0.7975   0.0182977
         102    0.801344    0.797538   0.0181183
         103    0.791063    0.797475   0.0179425
         104    0.777924    0.797287    0.017771
         105    0.765125    0.796981   0.0176044
         106    0.756255    0.796597   0.0174425
         107    0.754168      0.7962    0.017284
         108    0.759962    0.795865   0.0171272
         109    0.772783    0.795653   0.0169714
         110    0.790375    0.795605   0.0168172
         111    0.809899    0.795734   0.0166662
         112    0.828478    0.796026   0.0165199
         113    0.843519    0.796446   0.0163791
         114    0.853017    0.796943   0.0162429
         115    0.855792    0.797454   0.0161097
         116    0.851589    0.797921   0.0159776
         117    0.841011    0.798289   0.0158453
         118    0.825398    0.798519   0.0157127
         119    0.806602    0.798587   0.0155808
         120    0.786845    0.798489   0.0154513
         121    0.768547    0.798242   0.0153255
         122     0.75415     0.79788   0.0152042
         123    0.745955    0.797458   0.0150864
         124    0.745748    0.797041   0.0149705
         125    0.754169    0.796698   0.0148547
         126    0.770326    0.796489   0.0147383
         127    0.791847    0.796452   0.0146223
         128    0.815668    0.796602   0.0145088
         129     0.83887     0.79693      0.0144
         130    0.859285     0.79741   0.0142972
         131    0.875749    0.798008   0.0142006
         132    0.887847    0.798688   0.0141093
         133    0.895518    0.799416    0.014022
         134    0.898719    0.800157   0.0139369
         135    0.897385    0.800878   0.0138523
         136    0.891453    0.801544   0.0137664
         137    0.880802    0.802122   0.0136781
         138    0.865122    0.802579   0.0135866
         139    0.844126    0.802877   0.0134922
         140    0.817945    0.802985   0.0133962
         141    0.787546    0.802876   0.0133016
         142     0.75503    0.802539   0.0132122
         143    0.723671    0.801987   0.0131314
         144    0.697439    0.801261   0.0130602
         145    0.680235    0.800426   0.0129968
         146    0.674913    0.799567   0.0129362
         147    0.682507     0.79877   0.0128727
         148     0.70202    0.798117   0.0128023
         149    0.730766    0.797665   0.0127243
         150    0.765131    0.797448   0.0126413
         151    0.801283    0.797473   0.0125577
         152    0.835612    0.797724   0.0124775
         153    0.864973    0.798164   0.0124037
         154    0.886857     0.79874   0.0123366
         155    0.899523     0.79939   0.0122741
         156    0.902209    0.800049   0.0122131
         157    0.895188    0.800655   0.0121503
         158    0.879779    0.801156   0.0120837
         159    0.858232    0.801515   0.0120131
         160    0.833435    0.801714   0.0119396
         161    0.808553    0.801757   0.0118656
         162    0.786669    0.801664   0.0117927
         163    0.770334    0.801471   0.0117219
         164    0.761152    0.801225    0.011653
         165    0.759495    0.800973   0.0115851
         166    0.764461    0.800753   0.0115174
         167    0.774184    0.800594   0.0114496
         168    0.786382    0.800509   0.0113817
         169     0.79903      0.8005   0.0113144
         170     0.81076    0.800561    0.011248
         171     0.82094     0.80068   0.0111828
         172    0.829583    0.800848   0.0111191
         173    0.837055    0.801057   0.0110568
         174    0.843533    0.801301   0.0109959
         175    0.848671    0.801572   0.0109364
         176     0.85149    0.801855    0.010878
         177    0.850738    0.802132     0.01082
         178    0.845405    0.802375   0.0107619
         179    0.835256    0.802558   0.0107034
         180    0.820998    0.802661   0.0106444
         181     0.80413    0.802669   0.0105856
         182    0.786658    0.802581   0.0105278
         183    0.770826    0.802407   0.0104717
         184    0.758701     0.80217   0.0104175
         185    0.751872    0.801898   0.0103647
         186    0.751124    0.801625   0.0103126
         187    0.756224    0.801382   0.0102603
         188    0.765927    0.801194   0.0102075
         189    0.778211    0.801072   0.0101542
         190    0.790735    0.801018   0.0101009
         191    0.801365     0.80102    0.010048
         192    0.808685    0.801059  0.00999575
         193    0.812133    0.801117  0.00994413
         194    0.811973    0.801173  0.00989303
         195    0.809033    0.801213  0.00984238
         196     0.80442    0.801229  0.00979217
         197    0.799207    0.801219  0.00974247
         198     0.79426    0.801184  0.00969333
         199    0.790043    0.801128  0.00964478
         200    0.786636    0.801056  0.00959683
         201    0.784004    0.800971  0.00954946
         202    0.782285    0.800878  0.00950263
         203    0.781777    0.800784  0.00945629
         204    0.782668    0.800695  0.00941035
         205    0.784941    0.800619  0.00936476
         206    0.788581     0.80056  0.00931948
         207    0.793807    0.800527  0.00927452
         208    0.801155     0.80053  0.00922993
         209    0.811333    0.800582  0.00918591
         210    0.824766    0.800697  0.00914289
         211    0.841086    0.800889  0.00910156
         212    0.858749    0.801162  0.00906272
         213    0.875282     0.80151  0.00902685
         214    0.887981    0.801914  0.00899371
         215    0.894706    0.802345  0.00896223
         216    0.894423    0.802772  0.00893087
         217    0.887354    0.803161  0.00889822
         218    0.874657    0.803489  0.00886344
         219    0.857898    0.803738  0.00882645
         220    0.838527    0.803896  0.00878775
         221    0.817797    0.803959  0.00874821
         222     0.79693    0.803927  0.00870886
         223    0.777519    0.803809  0.00867061
         224    0.761811    0.803621  0.00863393
         225    0.752411    0.803394  0.00859855
         226    0.751263    0.803163   0.0085636
         227    0.758544    0.802966  0.00852813
         228    0.772353    0.802832  0.00849178
         229    0.789545    0.802774   0.0084549
         230    0.806959    0.802792  0.00841816
         231    0.822133    0.802876  0.00838213
         232    0.833489    0.803008  0.00834704
         233    0.840189    0.803168  0.00831274
         234    0.841901    0.803333  0.00827887
         235    0.838705    0.803484  0.00824501
         236    0.831148    0.803601   0.0082109
         237    0.820238    0.803671  0.00817656
         238    0.807408    0.803687  0.00814222
         239      0.7942    0.803647  0.00810825
         240    0.781848    0.803556  0.00807497
         241    0.771006    0.803421  0.00804259
         242    0.761783    0.803249   0.0080112
         243    0.754098    0.803047  0.00798079
         244    0.748052    0.802821  0.00795126
         245    0.744118    0.802582  0.00792241
         246    0.742989     0.80234  0.00789391
         247    0.745237    0.802108  0.00786534
         248    0.751033    0.801902  0.00783632
         249    0.760081    0.801734  0.00780665
         250    0.771876    0.801615  0.00777633
         251    0.785855    0.801552  0.00774561
         252    0.801458    0.801552  0.00771487
         253     0.81786    0.801616  0.00768465
         254     0.83378    0.801743  0.00765543
         255    0.847646    0.801923  0.00762753
         256    0.858006    0.802142  0.00760088
         257    0.863965    0.802383  0.00757511
         258    0.865304    0.802627  0.00754967
         259     0.86209    0.802856  0.00752401
         260    0.854081    0.803053  0.00749766
         261    0.840738    0.803198  0.00747032
         262    0.821902    0.803269  0.00744215
         263    0.798627    0.803251  0.00741387
         264    0.773482    0.803138  0.00738665
         265    0.750079    0.802938  0.00736148
         266    0.732176    0.802672  0.00733862
         267     0.72266    0.802373  0.00731725
         268    0.723071    0.802077  0.00729592
         269    0.733464    0.801822  0.00727326
         270    0.752433    0.801639  0.00724862
         271    0.777343    0.801549  0.00722243
         272    0.804751    0.801561  0.00719588
         273    0.830921    0.801668  0.00717033
         274     0.85239    0.801853  0.00714655
         275    0.866539    0.802089  0.00712443
         276     0.87193    0.802342  0.00710311
         277     0.86852    0.802581  0.00708148
         278    0.857534    0.802778  0.00705877
         279    0.841134    0.802916  0.00703481
         280    0.822013    0.802984  0.00701001
         281    0.802815    0.802983  0.00698507
         282    0.785751    0.802922  0.00696056
         283    0.772715    0.802816  0.00693679
         284    0.765548    0.802684   0.0069136
         285    0.766051    0.802556  0.00689054
         286    0.775349    0.802461   0.0068671
         287    0.792697    0.802427  0.00684326
         288    0.814957     0.80247  0.00681964
         289    0.837083     0.80259  0.00679709
         290    0.853668    0.802766  0.00677594
         291    0.860669    0.802965  0.00675557
         292    0.856393    0.803148  0.00673491
         293    0.841605    0.803279  0.00671321
         294    0.819075    0.803333  0.00669059
         295     0.79287    0.803298    0.006668
         296    0.767663    0.803177  0.00664656
         297    0.748072    0.802992  0.00662677
         298    0.737965    0.802773  0.00660812
         299    0.739592    0.802562   0.0065894
         300    0.752712    0.802396  0.00656953
         301    0.774407    0.802303  0.00654836
         302    0.799763    0.802295  0.00652669
         303    0.823266    0.802364  0.00650551
         304    0.840418    0.802489  0.00648532
         305    0.848781    0.802641  0.00646583
         306    0.848359     0.80279  0.00644643
         307    0.841335    0.802916  0.00642665
         308    0.831387    0.803008  0.00640645
         309    0.822337    0.803071  0.00638602
         310    0.816872    0.803115  0.00636558
         311    0.816064    0.803157  0.00634524
         312     0.81977     0.80321  0.00632513
         313    0.827412    0.803287   0.0063054
         314    0.838296    0.803399   0.0062863
         315    0.851348    0.803551  0.00626819
         316    0.864848    0.803745  0.00625135
         317    0.876688    0.803975  0.00623586
         318    0.884965     0.80423  0.00622145
         319    0.888544    0.804494  0.00620756
         320    0.887091    0.804752  0.00619353
         321    0.880847    0.804989  0.00617877
         322      0.8704    0.805192  0.00616292
         323    0.856312    0.805351  0.00614587
         324    0.839033    0.805455  0.00612778
         325    0.819064    0.805497  0.00610907
         326    0.797255    0.805471  0.00609038
         327    0.774988    0.805378  0.00607247
         328    0.754025    0.805221  0.00605597
         329    0.736107    0.805011  0.00604121
         330    0.722559    0.804762  0.00602807
         331    0.714108    0.804488  0.00601607
         332    0.710918    0.804206  0.00600455
         333     0.71275    0.803931   0.0059928
         334    0.719031    0.803677  0.00598024
         335    0.728883    0.803454  0.00596656
         336    0.741177    0.803268  0.00595168
         337     0.75471    0.803124  0.00593576
         338    0.768324    0.803021  0.00591909
         339    0.780953    0.802956  0.00590199
         340    0.791708    0.802923  0.00588472
         341    0.799864    0.802914  0.00586747
         342    0.804885     0.80292  0.00585032
         343    0.806451     0.80293  0.00583327
         344    0.804467    0.802935  0.00581632
         345    0.799128    0.802924  0.00579947
         346    0.791148     0.80289  0.00578281
         347    0.781878    0.802829  0.00576646
         348    0.773223    0.802744  0.00575052
