#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.31885     2.31885           0
           2     2.27826     2.29855   0.0143497
           3     2.19641     2.26451   0.0293998
           4     2.07502     2.21713   0.0465753
           5     1.91687     2.15708   0.0653717
           6     1.72748     2.08548    0.085087
           7     1.51633     2.00417    0.104812
           8     1.29745     1.91583    0.123447
           9     1.08866     1.82393    0.139819
          10    0.908485     1.73238    0.152896
          11    0.771613     1.64504    0.162035
          12     0.68532     1.56506    0.167108
          13     0.64847     1.49456    0.168472
          14     0.65314     1.43445    0.166815
          15    0.687537     1.38466    0.162956
          16    0.738944      1.3443     0.15769
          17    0.795999     1.31205    0.151676
          18     0.85011     1.28639    0.145405
          19    0.895943     1.26584    0.139196
          20    0.931322     1.24911    0.133238
          21    0.956585     1.23518    0.127619
          22    0.973762      1.2233     0.12237
          23    0.985712     1.21297    0.117485
          24    0.995294      1.2039    0.112939
          25     1.00486     1.19594    0.108702
          26     1.01618     1.18902    0.104741
          27     1.03045     1.18315    0.101026
          28     1.04836     1.17834   0.0975326
          29     1.06998      1.1746   0.0942409
          30     1.09469     1.17194   0.0911372
          31     1.12124      1.1703    0.088212
          32     1.14806     1.16961   0.0854581
          33     1.17354     1.16973   0.0828685
          34     1.19615      1.1705   0.0804349
          35     1.21459     1.17176   0.0781466
          36     1.22796     1.17332   0.0759914
          37     1.23584     1.17501   0.0739564
          38     1.23832     1.17668   0.0720289
          39     1.23597      1.1782   0.0701981
          40     1.22942     1.17948   0.0684548
          41     1.21932     1.18045   0.0667921
          42     1.20627     1.18107   0.0652046
          43     1.19086     1.18129   0.0636886
          44      1.1737     1.18112   0.0622414
          45     1.15559     1.18055   0.0608608
          46     1.13764     1.17962   0.0595449
          47     1.12114     1.17838    0.058291
          48     1.10744      1.1769   0.0570953
          49     1.09764     1.17528    0.055953
          50     1.09246     1.17363   0.0548585
          51     1.09234     1.17203    0.053806
          52     1.09755      1.1706   0.0527903
          53     1.10821     1.16942   0.0518074
          54     1.12398     1.16858   0.0508548
          55     1.14376     1.16813   0.0499322
          56     1.16549     1.16808   0.0490406
          57     1.18658     1.16841   0.0481813
          58     1.20466     1.16903   0.0473546
          59     1.21835     1.16987   0.0465594
          60     1.22756     1.17083   0.0457933
          61     1.23332     1.17185   0.0450541
          62     1.23722     1.17291   0.0443397
          63     1.24073     1.17398    0.043649
          64     1.24502     1.17509   0.0429811
          65     1.25084     1.17626   0.0423356
          66     1.25839      1.1775   0.0417125
          67     1.26723     1.17884   0.0411114
          68     1.27625     1.18028   0.0405318
          69     1.28395     1.18178   0.0399722
          70     1.28891     1.18331   0.0394304
          71     1.29018     1.18481   0.0389038
          72     1.28737     1.18624   0.0383895
          73     1.28065     1.18753   0.0378854
          74     1.27053     1.18865   0.0373901
          75     1.25778     1.18958   0.0369029
          76     1.24348     1.19028   0.0364241
          77     1.22921     1.19079   0.0359546
          78     1.21676     1.19112   0.0354952
          79     1.20778     1.19133   0.0350465
          80     1.20314     1.19148   0.0346087
          81     1.20272     1.19162   0.0341818
          82     1.20573     1.19179   0.0337653
          83     1.21134     1.19203   0.0333593
          84     1.21891     1.19235   0.0329637
          85     1.22778     1.19276   0.0325786
          86     1.23693     1.19328   0.0322038
          87     1.24493     1.19387   0.0318391
          88     1.24992     1.19451   0.0314837
          89     1.25014     1.19513   0.0311361
          90     1.24456     1.19568    0.030795
          91     1.23338      1.1961   0.0304594
          92     1.21837     1.19634   0.0301293
          93     1.20249     1.19641   0.0298054
          94     1.18919     1.19633   0.0294884
          95     1.18133     1.19617   0.0291784
          96     1.18029     1.19601   0.0288749
          97     1.18549      1.1959   0.0285775
          98      1.1946     1.19588   0.0282859
          99     1.20417     1.19597   0.0280003
         100     1.21039     1.19611   0.0277206
         101     1.21017     1.19625   0.0274465
         102     1.20202     1.19631   0.0271775
         103     1.18659     1.19621   0.0269138
         104     1.16689     1.19593   0.0266565
         105     1.14769     1.19547   0.0264066
         106     1.13438      1.1949   0.0261638
         107     1.13125      1.1943    0.025926
         108     1.13994      1.1938   0.0256908
         109     1.15917     1.19348   0.0254571
         110     1.18556     1.19341   0.0252258
         111     1.21485      1.1936   0.0249992
         112     1.24272     1.19404   0.0247799
         113     1.26528     1.19467   0.0245686
         114     1.27953     1.19541   0.0243644
         115     1.28369     1.19618   0.0241646
         116     1.27738     1.19688   0.0239664
         117     1.26152     1.19743   0.0237679
         118      1.2381     1.19778    0.023569
         119      1.2099     1.19788   0.0233712
         120     1.18027     1.19773   0.0231769
         121     1.15282     1.19736   0.0229883
         122     1.13123     1.19682   0.0228063
         123     1.11893     1.19619   0.0226296
         124     1.11862     1.19556   0.0224558
         125     1.13125     1.19505    0.022282
         126     1.15549     1.19473   0.0221074
         127     1.18777     1.19468   0.0219334
         128      1.2235      1.1949   0.0217632
         129      1.2583     1.19539      0.0216
         130     1.28893     1.19611   0.0214459
         131     1.31362     1.19701   0.0213009
         132     1.33177     1.19803    0.021164
         133     1.34328     1.19912    0.021033
         134     1.34808     1.20024   0.0209054
         135     1.34608     1.20132   0.0207784
         136     1.33718     1.20232   0.0206497
         137      1.3212     1.20318   0.0205172
         138     1.29768     1.20387   0.0203799
         139     1.26619     1.20432   0.0202382
         140     1.22692     1.20448   0.0200943
         141     1.18132     1.20431   0.0199525
         142     1.13254     1.20381   0.0198184
