#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.84205    -7.84205           0
           2    -7.78959    -7.81582    0.018549
           3    -7.68308    -7.77157    0.038185
           4    -7.54054    -7.71381   0.0576392
           5    -7.36956    -7.64496   0.0769321
           6    -7.16931    -7.56569   0.0966819
           7    -6.95226    -7.47806    0.115973
           8    -6.72926    -7.38446    0.134027
           9    -6.52116    -7.28853    0.149572
          10    -6.34296    -7.19398    0.161766
          11    -6.20895    -7.10443    0.170049
          12    -6.12765    -7.02303    0.174274
          13    -6.09472    -6.95162    0.174887
          14    -6.10297      -6.891    0.172581
          15    -6.13877    -6.84086    0.168204
          16    -6.19148    -6.80027    0.162514
          17    -6.24716    -6.76773    0.156177
          18    -6.30021    -6.74176    0.149645
          19    -6.34527    -6.72089    0.143217
          20    -6.37949    -6.70382    0.137069
          21    -6.40299     -6.6895    0.131289
          22    -6.42093    -6.67729    0.125887
          23    -6.43281    -6.66666    0.120862
          24    -6.44304    -6.65734    0.116184
          25    -6.45463    -6.64923     0.11182
          26    -6.46713    -6.64223    0.107738
          27    -6.48258    -6.63632     0.10391
          28    -6.50133     -6.6315    0.100311
          29    -6.52404    -6.62779     0.09692
          30    -6.54967    -6.62519   0.0937243
          31    -6.57435    -6.62355   0.0907153
          32    -6.60027    -6.62282   0.0878833
          33    -6.62511    -6.62289   0.0852202
          34    -6.64661    -6.62359   0.0827166
          35    -6.66237     -6.6247   0.0803607
          36    -6.67497    -6.62609   0.0781406
          37    -6.68376    -6.62765   0.0760442
          38    -6.68515    -6.62916   0.0740581
          39    -6.68121     -6.6305   0.0721712
          40    -6.67276    -6.63155   0.0703747
          41    -6.66307    -6.63232   0.0686624
          42    -6.65103    -6.63277    0.067029
          43    -6.63629    -6.63285   0.0654703
          44    -6.61941    -6.63255    0.063983
          45    -6.60159    -6.63186   0.0625649
          46    -6.58466    -6.63083   0.0612132
          47    -6.56819     -6.6295   0.0599253
          48    -6.55587    -6.62796   0.0586965
          49     -6.5454    -6.62628   0.0575228
          50    -6.54133    -6.62458   0.0563974
          51    -6.54228    -6.62297   0.0553146
          52    -6.54774    -6.62152   0.0542698
          53    -6.55781    -6.62032   0.0532592
          54    -6.57317    -6.61944     0.05228
          55    -6.59322    -6.61897   0.0513317
          56    -6.61614    -6.61892   0.0504151
          57    -6.63768    -6.61925   0.0495317
          58    -6.65416    -6.61985   0.0486813
          59    -6.66816    -6.62067   0.0478631
          60    -6.67576    -6.62159   0.0470742
          61    -6.68081    -6.62256   0.0463125
          62     -6.6848    -6.62356   0.0455764
          63    -6.68876     -6.6246   0.0448647
          64    -6.69416    -6.62568   0.0441769
          65    -6.70018    -6.62683   0.0435121
          66    -6.70844    -6.62806   0.0428704
          67    -6.71775     -6.6294   0.0422514
          68    -6.72804    -6.63085    0.041655
          69    -6.73646    -6.63238   0.0410794
          70    -6.73918    -6.63391   0.0405208
          71    -6.73982     -6.6354   0.0399776
          72    -6.73618     -6.6368   0.0394468
          73    -6.72854    -6.63806   0.0389265
          74    -6.71641    -6.63912   0.0384148
          75    -6.70338    -6.63997   0.0379122
          76     -6.6913    -6.64065   0.0374194
          77     -6.6769    -6.64112   0.0369364
          78    -6.66486    -6.64142   0.0364641
          79    -6.65583    -6.64161    0.036003
          80    -6.65471    -6.64177   0.0355533
          81     -6.6538    -6.64192   0.0351147
          82    -6.65646     -6.6421   0.0346869
          83    -6.66268    -6.64234   0.0342699
          84    -6.67023    -6.64268   0.0338635
          85     -6.6794    -6.64311   0.0334679
          86    -6.68793    -6.64363   0.0330828
          87    -6.69422    -6.64421   0.0327076
          88    -6.69936    -6.64484   0.0323419
          89     -6.6989    -6.64544   0.0319842
          90    -6.69156    -6.64596    0.031633
          91    -6.67947    -6.64633   0.0312875
          92    -6.66374    -6.64651    0.030948
          93    -6.64638    -6.64651   0.0306152
          94    -6.63127    -6.64635   0.0302899
          95    -6.62548    -6.64613   0.0299719
          96    -6.62623    -6.64592   0.0296604
          97    -6.63269    -6.64579   0.0293549
          98    -6.64203    -6.64575   0.0290554
          99     -6.6501    -6.64579    0.028762
         100    -6.65719    -6.64591   0.0284746
         101    -6.65683    -6.64602   0.0281929
         102    -6.64853    -6.64604   0.0279165
         103    -6.63234    -6.64591   0.0276458
         104    -6.61115    -6.64557   0.0273819
         105    -6.59334    -6.64508   0.0271257
         106    -6.58144    -6.64448   0.0268764
         107    -6.58011    -6.64387    0.026632
         108     -6.5919    -6.64339   0.0263897
         109    -6.61184     -6.6431   0.0261492
         110    -6.63768    -6.64305   0.0259115
         111    -6.66744    -6.64327    0.025679
         112    -6.69504    -6.64374   0.0254539
         113    -6.71715    -6.64439   0.0252369
         114    -6.72756    -6.64511   0.0250261
         115    -6.72837    -6.64584    0.024819
         116    -6.72121    -6.64649   0.0246135
         117     -6.7062      -6.647   0.0244084
         118    -6.68336    -6.64731   0.0242035
         119    -6.65687    -6.64739   0.0240003
         120      -6.627    -6.64722   0.0238009
         121    -6.59945    -6.64682   0.0236074
         122    -6.57808    -6.64626   0.0234207
         123    -6.56637    -6.64561   0.0232392
         124    -6.56786    -6.64498   0.0230603
         125    -6.58273    -6.64448   0.0228812
         126     -6.6089     -6.6442   0.0227013
         127    -6.64255    -6.64419   0.0225226
         128    -6.67873    -6.64446   0.0223482
         129    -6.71275    -6.64499   0.0221813
         130    -6.74316    -6.64574   0.0220235
         131    -6.76696    -6.64667   0.0218748
         132    -6.78299     -6.6477   0.0217335
         133    -6.79463    -6.64881   0.0215981
         134    -6.79837    -6.64992   0.0214657
         135    -6.79601      -6.651    0.021334
         136    -6.78716    -6.65201   0.0212006
         137    -6.77152    -6.65288   0.0210638
         138    -6.74667    -6.65356   0.0209221
         139    -6.71369    -6.65399   0.0207761
         140    -6.67273    -6.65412   0.0206281
         141    -6.62622    -6.65393   0.0204828
         142    -6.57734    -6.65339   0.0203456
         143    -6.53137    -6.65253   0.0202212
         144    -6.49141    -6.65141   0.0201117
         145    -6.46548    -6.65013   0.0200139
         146    -6.45802    -6.64882     0.01992
         147    -6.47268    -6.64762   0.0198205
         148    -6.50439    -6.64665   0.0197102
         149    -6.54926      -6.646   0.0195887
         150    -6.60091     -6.6457   0.0194605
         151    -6.65624    -6.64577   0.0193317
         152    -6.70845    -6.64618   0.0192089
         153    -6.74945    -6.64685   0.0190952
         154    -6.78222    -6.64773   0.0189914
         155    -6.79842     -6.6487   0.0188938
         156    -6.80273    -6.64969   0.0187985
         157     -6.7905    -6.65059   0.0187001
         158    -6.76584    -6.65132    0.018596
         159    -6.73269    -6.65183    0.018486
         160    -6.69494     -6.6521   0.0183725
         161    -6.65566    -6.65212   0.0182584
         162    -6.62419    -6.65195   0.0181465
         163     -6.6022    -6.65164   0.0180377
         164     -6.5896    -6.65127   0.0179317
         165    -6.58862    -6.65089    0.017827
         166     -6.5967    -6.65056   0.0177226
         167    -6.61133    -6.65032   0.0176181
         168     -6.6293     -6.6502   0.0175136
         169    -6.64896    -6.65019     0.01741
         170    -6.66748    -6.65029   0.0173079
         171    -6.68241    -6.65048   0.0172077
         172     -6.6941    -6.65074   0.0171095
         173    -6.70403    -6.65104   0.0170134
         174    -6.71381     -6.6514   0.0169194
         175    -6.72031     -6.6518   0.0168273
         176    -6.72282     -6.6522   0.0167366
         177    -6.72207     -6.6526   0.0166467
         178    -6.71441    -6.65294   0.0165568
         179    -6.69869     -6.6532   0.0164662
         180    -6.67576    -6.65332   0.0163752
         181    -6.64986    -6.65331   0.0162848
         182    -6.62352    -6.65314   0.0161961
         183    -6.60026    -6.65285   0.0161102
         184    -6.58268    -6.65247   0.0160272
         185    -6.57315    -6.65204   0.0159463
         186     -6.5735    -6.65162   0.0158661
         187    -6.58075    -6.65124   0.0157858
         188    -6.59608    -6.65095   0.0157046
         189    -6.61626    -6.65076   0.0156225
         190    -6.63466    -6.65068   0.0155405
         191    -6.65019    -6.65068   0.0154592
         192    -6.66161    -6.65073   0.0153788
         193    -6.66478    -6.65081   0.0152993
         194    -6.66341    -6.65087   0.0152205
         195    -6.65893    -6.65091   0.0151425
         196    -6.65295    -6.65092   0.0150653
         197    -6.64551     -6.6509   0.0149888
         198    -6.63876    -6.65083   0.0149133
         199    -6.63301    -6.65074   0.0148386
         200    -6.62967    -6.65064   0.0147648
         201    -6.62581    -6.65052   0.0146918
         202    -6.62469    -6.65039   0.0146197
         203    -6.62533    -6.65026   0.0145482
         204    -6.62807    -6.65016   0.0144773
         205    -6.63194    -6.65007   0.0144069
         206    -6.63655       -6.65   0.0143371
         207    -6.64489    -6.64998   0.0142679
         208    -6.65778    -6.65001   0.0141993
         209    -6.67264    -6.65012   0.0141318
         210    -6.69143    -6.65032   0.0140659
         211    -6.71615    -6.65063   0.0140027
         212    -6.74234    -6.65106   0.0139433
         213    -6.76392    -6.65159   0.0138879
         214    -6.78324    -6.65221   0.0138366
         215    -6.79098    -6.65285   0.0137873
         216    -6.78914    -6.65349   0.0137379
         217    -6.77772    -6.65406   0.0136865
         218     -6.7587    -6.65454   0.0136322
         219    -6.73182    -6.65489   0.0135745
         220    -6.70209    -6.65511   0.0135145
         221    -6.67195    -6.65518   0.0134535
         222    -6.64065    -6.65512   0.0133931
         223    -6.61027    -6.65491   0.0133345
         224    -6.58718    -6.65461   0.0132784
         225    -6.57493    -6.65426   0.0132242
         226    -6.57368     -6.6539   0.0131704
         227    -6.58721    -6.65361   0.0131157
         228    -6.60908    -6.65341   0.0130596
         229    -6.63556    -6.65333   0.0130028
         230    -6.66304    -6.65338   0.0129464
         231    -6.68496    -6.65351    0.012891
         232    -6.70079    -6.65372   0.0128371
         233    -6.71014    -6.65396   0.0127843
         234    -6.71208    -6.65421   0.0127321
         235    -6.70704    -6.65443   0.0126799
         236    -6.69473     -6.6546   0.0126273
         237     -6.6781     -6.6547   0.0125744
         238    -6.65935    -6.65472   0.0125216
         239    -6.63771    -6.65465   0.0124694
         240    -6.61964    -6.65451   0.0124183
         241    -6.60327    -6.65429   0.0123686
         242    -6.58866    -6.65402   0.0123204
         243    -6.57678     -6.6537   0.0122738
         244    -6.56673    -6.65335   0.0122287
         245    -6.56262    -6.65298   0.0121844
         246    -6.56176    -6.65261   0.0121405
         247    -6.56851    -6.65227   0.0120961
         248      -6.581    -6.65198   0.0120508
         249    -6.59644    -6.65175   0.0120044
         250    -6.61246     -6.6516   0.0119575
         251    -6.63239    -6.65152   0.0119101
         252    -6.65711    -6.65154   0.0118628
         253    -6.68297    -6.65167   0.0118166
         254    -6.70671    -6.65188    0.011772
         255    -6.72429    -6.65217   0.0117293
         256    -6.73824     -6.6525   0.0116883
         257    -6.74633    -6.65287   0.0116485
         258    -6.74684    -6.65323   0.0116091
         259    -6.74117    -6.65357   0.0115692
         260    -6.72707    -6.65386   0.0115282
         261    -6.70654    -6.65406   0.0114858
         262    -6.67842    -6.65415   0.0114423
         263     -6.6434    -6.65411   0.0113989
         264    -6.60494    -6.65392   0.0113572
         265    -6.57018    -6.65361   0.0113187
         266    -6.54261    -6.65319   0.0112839
         267    -6.52807    -6.65272   0.0112513
         268    -6.52983    -6.65226   0.0112187
         269    -6.54807    -6.65188   0.0111837
         270    -6.57849     -6.6516   0.0111456
         271    -6.61823    -6.65148   0.0111051
         272    -6.65906    -6.65151   0.0110643
         273    -6.69809    -6.65168   0.0110251
         274    -6.72957    -6.65196   0.0109885
         275    -6.74809    -6.65231   0.0109541
         276     -6.7546    -6.65268   0.0109207
         277    -6.75086    -6.65304    0.010887
         278    -6.73531    -6.65333   0.0108519
         279    -6.71134    -6.65354    0.010815
         280     -6.6839    -6.65365   0.0107769
         281     -6.6548    -6.65365   0.0107386
         282    -6.63052    -6.65357   0.0107008
         283     -6.6104    -6.65342   0.0106641
         284    -6.60013    -6.65323   0.0106282
         285    -6.60264    -6.65305   0.0105924
         286    -6.61749    -6.65293   0.0105561
         287    -6.64413     -6.6529   0.0105193
         288    -6.67577    -6.65298   0.0104831
         289    -6.70845    -6.65317   0.0104486
         290    -6.73286    -6.65345   0.0104162
         291    -6.74263    -6.65375   0.0103849
         292    -6.73531    -6.65403   0.0103531
         293    -6.71125    -6.65423   0.0103196
         294    -6.67589     -6.6543   0.0102847
         295    -6.63647    -6.65424   0.0102501
         296    -6.59919    -6.65405   0.0102171
         297    -6.56892    -6.65377   0.0101867
         298    -6.55558    -6.65344   0.0101579
         299    -6.56002    -6.65313   0.0101287
         300    -6.58148    -6.65289   0.0100978
         301    -6.61342    -6.65276   0.0100651
         302    -6.65054    -6.65275   0.0100317
         303    -6.68543    -6.65286  0.00999921
         304    -6.70914    -6.65304  0.00996803
         305    -6.72225    -6.65327  0.00993793
         306    -6.71968    -6.65349  0.00990782
         307    -6.70879    -6.65367  0.00987719
         308    -6.69476     -6.6538  0.00984602
         309    -6.68206    -6.65389  0.00981458
         310    -6.67453    -6.65396  0.00978315
         311    -6.67542    -6.65403  0.00975193
         312    -6.68245    -6.65412   0.0097211
         313    -6.69633    -6.65425  0.00969098
         314    -6.71168    -6.65443  0.00966184
         315    -6.73094    -6.65468  0.00963422
         316    -6.75235    -6.65499  0.00960869
         317    -6.76989    -6.65535  0.00958521
         318    -6.78185    -6.65575  0.00956332
         319    -6.78776    -6.65616  0.00954229
         320    -6.78367    -6.65656  0.00952079
         321    -6.77201    -6.65692  0.00949792
         322    -6.75395    -6.65722   0.0094732
         323    -6.73147    -6.65745  0.00944666
         324    -6.70345    -6.65759  0.00941857
         325    -6.67186    -6.65764  0.00938969
         326     -6.6392    -6.65758  0.00936106
         327    -6.60603    -6.65742  0.00933376
         328     -6.5759    -6.65717  0.00930861
         329    -6.54976    -6.65685  0.00928604
         330    -6.53037    -6.65646  0.00926581
