#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.7219      1.7219           0
           2      1.6947      1.7083   0.0096149
           3     1.63972     1.68544   0.0197344
           4     1.55776     1.65352   0.0313564
           5     1.45056     1.61293   0.0441305
           6     1.32194     1.56443   0.0575541
           7     1.17827     1.50926   0.0710087
           8     1.02915     1.44925   0.0837379
           9    0.886689     1.38674   0.0949386
          10    0.763654     1.32443    0.103899
          11     0.67013     1.26495    0.110172
          12    0.611098     1.21046     0.11367
          13    0.585867     1.16242    0.114631
          14    0.589011     1.12146    0.113525
          15      0.6125     1.08753    0.110911
          16    0.647593     1.06003    0.107333
          17    0.686573     1.03807    0.103243
          18    0.723506     1.02059   0.0989755
          19    0.754753      1.0066     0.09475
          20     0.77885    0.995211   0.0906942
          21    0.796044    0.985727   0.0868699
          22    0.807666    0.977633   0.0832975
          23    0.815748    0.970595   0.0799727
          24    0.822211    0.964412   0.0768791
          25    0.828653    0.958982   0.0739955
          26    0.836316    0.954264   0.0712997
          27    0.845994    0.950254   0.0687717
          28    0.858168    0.946965   0.0663941
          29    0.872863     0.94441   0.0641538
          30    0.889658    0.942585   0.0620413
          31    0.907765    0.941462   0.0600502
          32    0.926027    0.940979   0.0581755
          33    0.943353    0.941051   0.0564127
          34    0.958727    0.941571   0.0547559
          35    0.971283     0.94242    0.053198
          36    0.980341    0.943473   0.0517307
          37    0.985625    0.944613   0.0503451
          38     0.98728    0.945735   0.0490328
          39    0.985655    0.946759   0.0477862
          40    0.981194     0.94762   0.0465993
          41    0.974279     0.94827   0.0454673
          42    0.965361    0.948677   0.0443865
          43    0.954854    0.948821   0.0433545
          44    0.943163    0.948692   0.0423694
          45     0.93083    0.948295   0.0414297
          46    0.918583    0.947649   0.0405341
          47    0.907348    0.946792   0.0396807
          48    0.897987    0.945775   0.0388671
          49    0.891323    0.944664   0.0380898
          50    0.887777    0.943526   0.0373449
          51    0.887678    0.942431   0.0366287
          52    0.891231    0.941446   0.0359376
          53    0.898535    0.940637   0.0352686
          54    0.909329    0.940057   0.0346203
          55    0.922864    0.939744   0.0339922
          56    0.937731    0.939708   0.0333852
          57    0.952184    0.939927   0.0328002
          58    0.964615    0.940353   0.0322375
          59    0.973993    0.940923   0.0316961
          60    0.980334     0.94158   0.0311747
          61    0.984279     0.94228   0.0306715
          62    0.986915       0.943   0.0301852
          63     0.98927    0.943734    0.029715
          64    0.992143    0.944491   0.0292603
          65    0.996076    0.945284   0.0288209
          66      1.0012    0.946131   0.0283967
          67     1.00722    0.947043   0.0279875
          68     1.01337    0.948019   0.0275929
          69     1.01865    0.949042    0.027212
          70     1.02214    0.950087   0.0268433
          71     1.02308    0.951115   0.0264849
          72     1.02124    0.952088    0.026135
          73     1.01672    0.952974   0.0257919
          74      1.0099    0.953743   0.0254549
          75     1.00123    0.954376   0.0251233
          76    0.991442    0.954864   0.0247975
          77    0.981701    0.955213   0.0244779
          78    0.973179    0.955443   0.0241652
          79    0.967022    0.955589   0.0238597
          80    0.963755    0.955691   0.0235617
          81    0.963445    0.955787    0.023271
          82    0.965469    0.955905   0.0229875
          83    0.969241    0.956066   0.0227111
          84    0.974363    0.956284   0.0224418
          85    0.980364    0.956567   0.0221796
          86    0.986583    0.956916   0.0219244
          87     0.99204     0.95732   0.0216761
          88    0.995416    0.957753   0.0214341
          89    0.995554    0.958177   0.0211975
          90     0.99174     0.95855   0.0209652
          91    0.984081    0.958831   0.0207367
          92    0.973793    0.958994    0.020512
          93     0.96293    0.959036   0.0202915
          94    0.953846    0.958981   0.0200757
          95    0.948421     0.95887   0.0198647
          96    0.947695    0.958753   0.0196581
          97    0.951277    0.958676   0.0194556
          98    0.957585    0.958665    0.019257
          99    0.964252    0.958721   0.0190626
         100    0.968591     0.95882   0.0188722
         101     0.96854    0.958916   0.0186856
         102    0.963032    0.958957   0.0185025
         103     0.95253    0.958894   0.0183229
         104    0.939069    0.958704   0.0181478
         105    0.925861    0.958391   0.0179776
         106    0.916658    0.957997   0.0178123
         107    0.914395     0.95759   0.0176505
         108    0.920194    0.957243   0.0174905
         109    0.933258    0.957023   0.0173314
         110    0.951252    0.956971   0.0171739
         111    0.971216    0.957099   0.0170197
         112    0.990239    0.957395   0.0168703
         113     1.00565    0.957822   0.0167264
         114     1.01547    0.958328   0.0165873
         115     1.01839     0.95885   0.0164513
         116     1.01413    0.959327   0.0163164
         117     1.00331    0.959703   0.0161813
         118     0.98735    0.959937   0.0160458
         119    0.968109    0.960006   0.0159111
         120    0.947921    0.959905   0.0157789
         121    0.929217    0.959651   0.0156505
         122    0.914489    0.959281   0.0155266
         123    0.906092    0.958849   0.0154064
         124    0.905843    0.958421   0.0152881
         125     0.91442    0.958069   0.0151698
         126    0.930925    0.957854   0.0150509
         127     0.95293    0.957815   0.0149325
         128      0.9773    0.957967   0.0148166
         129     1.00105    0.958301   0.0147055
         130     1.02192     0.95879   0.0146005
         131     1.03875    0.959401   0.0145018
         132     1.05114    0.960096   0.0144086
         133     1.05897    0.960839   0.0143194
         134     1.06228    0.961596   0.0142326
         135     1.06097    0.962332   0.0141462
         136     1.05497    0.963013   0.0140585
         137     1.04416    0.963606   0.0139684
         138     1.02825    0.964074    0.013875
         139     1.00691    0.964382   0.0137786
         140    0.980263    0.964496   0.0136807
         141    0.949251    0.964388   0.0135841
         142    0.916016    0.964047   0.0134927
         143    0.883904    0.963487     0.01341
         144    0.857042    0.962747   0.0133372
         145    0.839391    0.961897   0.0132723
         146    0.833887     0.96102   0.0132103
         147    0.841555    0.960207   0.0131454
         148     0.86145     0.95954   0.0130736
         149    0.890815    0.959079   0.0129939
         150    0.925969    0.958858   0.0129092
         151    0.962932    0.958885   0.0128237
         152    0.998039    0.959143    0.012742
         153     1.02814    0.959594   0.0126666
         154     1.05053    0.960184   0.0125982
         155     1.06355    0.960851   0.0125345
         156      1.0663    0.961527   0.0124724
         157     1.05916    0.962149   0.0124084
         158     1.04343    0.962663   0.0123406
         159      1.0214    0.963033   0.0122685
         160    0.996032    0.963239   0.0121935
         161    0.970609    0.963285   0.0121179
         162    0.948185    0.963191   0.0120434
         163    0.931418    0.962996   0.0119711
         164    0.922003    0.962746   0.0119007
         165    0.920284    0.962489   0.0118314
         166    0.925365    0.962266   0.0117622
         167    0.935324    0.962104   0.0116929
         168    0.947813    0.962019   0.0116236
         169    0.960731    0.962011   0.0115548
         170     0.97269    0.962074    0.011487
         171    0.983083    0.962197   0.0114205
         172     0.99192     0.96237   0.0113554
         173     0.99957    0.962585   0.0112918
         174     1.00619    0.962836   0.0112297
         175      1.0115    0.963114    0.011169
         176     1.01446    0.963405   0.0111093
         177     1.01374     0.96369   0.0110502
         178     1.00833    0.963941    0.010991
         179    0.997994    0.964131   0.0109312
         180    0.983464    0.964238    0.010871
         181    0.966228    0.964249    0.010811
         182     0.94835    0.964162   0.0107519
         183    0.932127    0.963987   0.0106946
         184    0.919689    0.963746   0.0106392
         185    0.912666     0.96347   0.0105852
         186    0.911852    0.963192    0.010532
         187    0.917065    0.962946   0.0104785
         188    0.926969    0.962754   0.0104246
         189     0.93949    0.962631   0.0103701
         190    0.952287    0.962577   0.0103157
         191    0.963128     0.96258   0.0102617
         192    0.970543    0.962621   0.0102083
         193    0.974024     0.96268   0.0101556
         194    0.973785    0.962738   0.0101034
         195    0.970676    0.962778   0.0100517
         196    0.965843    0.962794   0.0100004
