#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.5232     -5.5232           0
           2    -5.51133    -5.51727  0.00419932
           3    -5.48667    -5.50707   0.0087854
           4    -5.46552    -5.49668   0.0111508
           5     -5.4527    -5.48788   0.0118948
           6    -5.44182    -5.48021   0.0121393
           7    -5.43593    -5.47388   0.0119397
           8    -5.43181    -5.46862   0.0115474
           9    -5.43249    -5.46461   0.0109399
          10    -5.43448    -5.46159   0.0102525
          11    -5.43734    -5.45939  0.00955475
          12    -5.44233    -5.45797  0.00886361
          13    -5.44625    -5.45707  0.00822746
          14    -5.44983    -5.45655  0.00765599
          15    -5.45123     -5.4562  0.00715379
          16    -5.45254    -5.45597  0.00671032
          17    -5.45116    -5.45568  0.00632156
          18     -5.4501    -5.45537  0.00597797
          19    -5.44933    -5.45506   0.0056718
          20    -5.44817    -5.45471  0.00539865
          21    -5.44641    -5.45432  0.00515603
          22    -5.44717    -5.45399  0.00493188
          23     -5.4471    -5.45369  0.00472654
          24    -5.44775    -5.45344  0.00453609
          25    -5.44976     -5.4533  0.00435704
          26    -5.45095    -5.45321   0.0041904
          27    -5.45213    -5.45317  0.00403538
          28    -5.45296    -5.45316  0.00389127
          29    -5.45406    -5.45319  0.00375721
          30    -5.45499    -5.45325  0.00363245
          31    -5.45311    -5.45325  0.00351528
          32    -5.45221    -5.45321  0.00340557
          33    -5.45157    -5.45316  0.00330274
          34    -5.45046    -5.45308  0.00320656
          35    -5.44778    -5.45293  0.00311852
          36    -5.44702    -5.45277  0.00303622
          37    -5.44792    -5.45264  0.00295698
          38    -5.44682    -5.45248  0.00288312
          39    -5.44524     -5.4523  0.00281517
          40    -5.44334    -5.45207  0.00275369
          41    -5.44376    -5.45187  0.00269399
          42    -5.44476     -5.4517  0.00263516
          43    -5.44543    -5.45156  0.00257792
          44    -5.44571    -5.45142  0.00252275
          45      -5.446     -5.4513  0.00246957
          46    -5.44702    -5.45121  0.00241763
          47    -5.44705    -5.45112  0.00236782
          48    -5.44843    -5.45107  0.00231915
          49    -5.44776      -5.451   0.0022728
          50    -5.44887    -5.45096  0.00222775
          51    -5.44994    -5.45094  0.00218416
          52    -5.45019    -5.45092   0.0021422
          53     -5.4496     -5.4509  0.00210193
          54    -5.44919    -5.45086  0.00206324
          55    -5.44946    -5.45084  0.00202589
          56    -5.45065    -5.45084  0.00198971
          57    -5.45109    -5.45084  0.00195481
          58     -5.4495    -5.45082  0.00192124
          59    -5.44981     -5.4508  0.00188876
          60     -5.4482    -5.45076  0.00185777
          61    -5.44749     -5.4507  0.00182809
          62    -5.44758    -5.45065   0.0017993
          63    -5.44803    -5.45061  0.00177122
          64    -5.44913    -5.45059  0.00174369
          65    -5.44934    -5.45057  0.00171697
          66    -5.45005    -5.45056  0.00169097
          67    -5.45052    -5.45056  0.00166574
          68    -5.45179    -5.45058  0.00164134
          69    -5.45251    -5.45061  0.00161779
          70    -5.45026     -5.4506  0.00159468
          71    -5.44963    -5.45059  0.00157228
          72    -5.44881    -5.45056  0.00155064
          73    -5.44789    -5.45053  0.00152983
          74    -5.44587    -5.45046  0.00151045
          75    -5.44559     -5.4504   0.0014917
          76    -5.44782    -5.45036  0.00147246
          77    -5.44769    -5.45033  0.00145375
          78     -5.4481     -5.4503   0.0014354
          79    -5.44805    -5.45027  0.00141751
          80    -5.45157    -5.45029  0.00139988
          81    -5.45109     -5.4503  0.00138263
          82    -5.45073     -5.4503  0.00136578
          83    -5.45134    -5.45032  0.00134938
          84    -5.45131    -5.45033  0.00133337
          85    -5.45162    -5.45034  0.00131777
          86      -5.451    -5.45035  0.00130247
          87    -5.44929    -5.45034  0.00128756
          88    -5.44944    -5.45033  0.00127297
          89    -5.44876    -5.45031  0.00125879
          90      -5.447    -5.45027  0.00124534
          91    -5.44609    -5.45023   0.0012325
          92    -5.44537    -5.45018  0.00122023
          93    -5.44389    -5.45011  0.00120899
          94    -5.44208    -5.45002  0.00119913
          95    -5.44416    -5.44996   0.0011881
          96    -5.44594    -5.44992  0.00117646
          97    -5.44721    -5.44989  0.00116467
          98    -5.44742    -5.44987  0.00115305
          99    -5.44593    -5.44983  0.00114209
         100     -5.4468     -5.4498  0.00113107
         101    -5.44666    -5.44976   0.0011203
         102    -5.44651    -5.44973  0.00110977
         103    -5.44575    -5.44969  0.00109967
         104    -5.44427    -5.44964  0.00109033
         105    -5.44565     -5.4496  0.00108061
         106    -5.44706    -5.44958  0.00107069
         107    -5.44886    -5.44957   0.0010607
         108    -5.45196     -5.4496  0.00105111
         109    -5.45266    -5.44962  0.00104184
         110    -5.45211    -5.44965  0.00103262
         111    -5.45259    -5.44967  0.00102365
         112    -5.45232     -5.4497  0.00101479
         113    -5.45187    -5.44972  0.00100599
         114    -5.44803     -5.4497 0.000997272
         115    -5.44468    -5.44966 0.000989553
         116    -5.44383    -5.44961 0.000982298
         117    -5.44468    -5.44956 0.000974803
         118    -5.44527    -5.44953 0.000967223
         119    -5.44697    -5.44951 0.000959334
         120    -5.44673    -5.44948 0.000951618
         121    -5.44663    -5.44946 0.000944046
         122    -5.44686    -5.44944 0.000936549
         123    -5.44744    -5.44942 0.000929076
         124    -5.44924    -5.44942 0.000921584
         125    -5.45147    -5.44944 0.000914358
         126    -5.45341    -5.44947 0.000907644
         127    -5.45478    -5.44951 0.000901459
         128    -5.45523    -5.44956 0.000895522
         129    -5.45445    -5.44959 0.000889383
         130    -5.45424    -5.44963 0.000883258
         131    -5.45333    -5.44966 0.000876968
         132    -5.45122    -5.44967 0.000870404
         133    -5.45136    -5.44968 0.000863952
         134    -5.45029    -5.44969 0.000857517
         135    -5.44993    -5.44969 0.000851167
         136    -5.44998    -5.44969 0.000844911
         137    -5.45032     -5.4497 0.000838756
         138    -5.44899    -5.44969 0.000832694
         139    -5.44751    -5.44967 0.000826851
         140    -5.44581    -5.44965 0.000821406
         141     -5.4449    -5.44961 0.000816271
         142    -5.44479    -5.44958 0.000811228
         143    -5.44586    -5.44955 0.000805971
         144    -5.44525    -5.44952 0.000800928
         145    -5.44512    -5.44949 0.000795979
         146    -5.44565    -5.44947 0.000790962
         147    -5.44892    -5.44946  0.00078559
         148    -5.45136    -5.44948 0.000780387
         149    -5.45311     -5.4495  0.00077553
         150    -5.45321    -5.44952 0.000770755
         151    -5.45431    -5.44956 0.000766302
         152    -5.45503    -5.44959 0.000762106
         153    -5.45199    -5.44961 0.000757285
         154    -5.45193    -5.44962 0.000752518
         155    -5.44914    -5.44962  0.00074767
         156    -5.44941    -5.44962 0.000742878
         157    -5.44772    -5.44961 0.000738246
         158    -5.44617    -5.44958 0.000733894
         159    -5.44534    -5.44956 0.000729763
         160    -5.44479    -5.44953  0.00072581
         161    -5.44283    -5.44949 0.000722492
         162    -5.44419    -5.44945 0.000718772
         163     -5.4467    -5.44944  0.00071456
         164    -5.44787    -5.44943 0.000710267
         165    -5.44938    -5.44943 0.000705962
         166    -5.45001    -5.44943 0.000701718
         167    -5.45005    -5.44943 0.000697526
         168    -5.44973    -5.44944 0.000693376
         169    -5.45041    -5.44944 0.000689298
         170    -5.45134    -5.44945 0.000685333
         171      -5.451    -5.44946 0.000681385
         172    -5.44973    -5.44946 0.000677425
         173    -5.44844    -5.44946 0.000673535
         174    -5.44851    -5.44945 0.000669686
         175     -5.4473    -5.44944 0.000665972
         176    -5.44559    -5.44942 0.000662548
         177    -5.44596     -5.4494 0.000659092
         178     -5.4463    -5.44938 0.000655619
         179    -5.44581    -5.44936 0.000652261
         180    -5.44426    -5.44933 0.000649252
         181    -5.44367     -5.4493 0.000646419
         182    -5.44353    -5.44927 0.000643644
         183    -5.44402    -5.44924 0.000640766
         184    -5.44462    -5.44922 0.000637775
         185    -5.44534     -5.4492 0.000634671
         186    -5.44681    -5.44918 0.000631388
         187    -5.44642    -5.44917 0.000628184
         188    -5.44719    -5.44916 0.000624931
         189    -5.44894    -5.44916 0.000621626
         190    -5.44856    -5.44915 0.000618362
         191    -5.44814    -5.44915 0.000615147
         192    -5.44858    -5.44914  0.00061195
         193    -5.44658    -5.44913 0.000608924
         194    -5.44545    -5.44911 0.000606081
         195    -5.44538    -5.44909 0.000603275
         196    -5.44632    -5.44908 0.000600363
         197     -5.4467    -5.44907 0.000597437
         198    -5.44737    -5.44906 0.000594481
         199    -5.44795    -5.44905  0.00059152
         200    -5.44971    -5.44906 0.000588572
         201     -5.4498    -5.44906 0.000585656
         202    -5.45126    -5.44907 0.000582857
         203    -5.45266    -5.44909 0.000580254
         204    -5.45407    -5.44911 0.000577923
         205    -5.45453    -5.44914 0.000575707
         206    -5.45368    -5.44916 0.000573334
         207    -5.45418    -5.44919 0.000571076
         208    -5.45604    -5.44922 0.000569281
         209    -5.45564    -5.44925 0.000567386
         210    -5.45428    -5.44927  0.00056519
         211    -5.45452     -5.4493 0.000563058
         212    -5.45421    -5.44932 0.000560879
         213      -5.451    -5.44933 0.000558301
         214    -5.45126    -5.44934 0.000555766
         215    -5.44892    -5.44934 0.000553184
         216     -5.4475    -5.44933 0.000550688
         217    -5.44669    -5.44932 0.000548284
         218    -5.44672     -5.4493 0.000545899
         219    -5.44497    -5.44928 0.000543764
         220     -5.4443    -5.44926 0.000541765
         221    -5.44526    -5.44924 0.000539616
         222    -5.44526    -5.44923 0.000537485
         223    -5.44399     -5.4492 0.000535587
         224    -5.44447    -5.44918 0.000533613
         225    -5.44632    -5.44917 0.000531393
         226    -5.44678    -5.44916 0.000529147
         227    -5.44939    -5.44916 0.000526817
         228    -5.45055    -5.44916 0.000524541
         229    -5.45124    -5.44917 0.000522329
         230     -5.4526    -5.44919 0.000520271
         231    -5.45176     -5.4492 0.000518138
         232    -5.45055    -5.44921 0.000515937
         233    -5.44985    -5.44921 0.000513731
         234    -5.44923    -5.44921 0.000511535
         235    -5.44898    -5.44921 0.000509359
         236    -5.44801     -5.4492 0.000507226
         237    -5.44774     -5.4492 0.000505123
         238    -5.44823    -5.44919 0.000503017
         239    -5.44641    -5.44918 0.000501047
         240    -5.44687    -5.44917 0.000499052
         241    -5.44676    -5.44916 0.000497082
         242    -5.44599    -5.44915   0.0004952
         243    -5.44564    -5.44913 0.000493373
         244    -5.44465    -5.44911 0.000491693
         245    -5.44645     -5.4491 0.000489807
         246    -5.44728     -5.4491 0.000487872
         247    -5.45066     -5.4491 0.000485938
         248    -5.45445    -5.44912 0.000484456
         249    -5.45632    -5.44915 0.000483371
         250    -5.45464    -5.44918 0.000481937
         251     -5.4536    -5.44919 0.000480339
         252    -5.45492    -5.44922 0.000478971
         253    -5.45618    -5.44924 0.000477868
         254    -5.45604    -5.44927 0.000476736
         255    -5.45282    -5.44928  0.00047507
         256    -5.45123    -5.44929 0.000473275
         257    -5.45038     -5.4493 0.000471452
         258    -5.44889    -5.44929 0.000469628
         259    -5.44803    -5.44929  0.00046784
         260    -5.44594    -5.44928 0.000466217
         261    -5.44543    -5.44926 0.000464664
         262    -5.44556    -5.44925 0.000463105
         263    -5.44546    -5.44923 0.000461567
         264    -5.44471    -5.44922 0.000460136
         265    -5.44506     -5.4492 0.000458667
         266    -5.44434    -5.44918 0.000457305
         267    -5.44408    -5.44916 0.000455992
         268    -5.44522    -5.44915 0.000454527
         269    -5.44787    -5.44914 0.000452862
         270    -5.44984    -5.44915 0.000451192
         271    -5.45221    -5.44916 0.000449669
         272    -5.45193    -5.44917 0.000448132
         273    -5.45171    -5.44918 0.000446587
         274    -5.45099    -5.44918 0.000445005
         275    -5.44828    -5.44918 0.000443399
         276     -5.4467    -5.44917 0.000441884
         277    -5.44808    -5.44917 0.000440306
         278    -5.44901    -5.44917 0.000438723
         279    -5.44964    -5.44917 0.000437153
         280    -5.45088    -5.44917 0.000435635
         281    -5.45058    -5.44918 0.000434113
         282     -5.4519    -5.44919 0.000432681
         283    -5.45133     -5.4492 0.000431218
         284    -5.45181    -5.44921 0.000429797
         285    -5.45357    -5.44922 0.000428561
         286    -5.45446    -5.44924 0.000427455
