#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20364     1.20364           0
           2     1.20768     1.20566  0.00142759
           3     1.20934     1.20689  0.00138132
           4     1.20906     1.20743  0.00113738
           5     1.20697     1.20734  0.00091356
           6     1.20634     1.20717 0.000776261
           7      1.2036     1.20666 0.000815806
           8     1.20896     1.20695 0.000762782
           9     1.20712     1.20697 0.000678258
          10     1.20613     1.20688 0.000615587
          11     1.20506     1.20672  0.00058146
          12     1.20654      1.2067 0.000533206
          13     1.20353     1.20646 0.000545376
          14     1.20588     1.20642 0.000508004
          15     1.20504     1.20633  0.00048238
          16     1.20319     1.20613 0.000490371
          17     1.21053     1.20639 0.000525351
          18     1.20983     1.20658 0.000529802
          19     1.20531     1.20651   0.0005061
          20     1.20484     1.20643 0.000487669
          21     1.20997      1.2066 0.000492725
          22     1.20807     1.20667 0.000474861
          23     1.20234     1.20648 0.000490012
          24     1.21541     1.20685 0.000594338
          25      1.2034     1.20671 0.000586336
          26     1.20664     1.20671 0.000563792
          27     1.20889     1.20679 0.000548656
          28     1.20797     1.20683 0.000530687
          29     1.20317     1.20671  0.00052721
          30     1.20399     1.20661 0.000517341
          31     1.20984     1.20672  0.00051099
          32     1.20527     1.20667 0.000497024
          33      1.2074      1.2067 0.000482447
          34     1.19961     1.20649 0.000511241
          35     1.21017     1.20659 0.000507331
          36     1.20628     1.20658 0.000493312
          37     1.20508     1.20654 0.000481657
          38     1.20377     1.20647 0.000474478
          39     1.20259     1.20637 0.000472622
          40     1.20528     1.20634 0.000461589
          41     1.20769     1.20638 0.000451504
          42     1.20456     1.20633 0.000442819
          43     1.20932      1.2064 0.000437947
          44     1.20103     1.20628 0.000444686
          45     1.20886     1.20634 0.000438495
          46     1.21156     1.20645  0.00044341
          47     1.20798     1.20648 0.000435166
          48     1.21221      1.2066 0.000442168
          49     1.20661      1.2066 0.000433144
          50     1.20982     1.20667 0.000429241
