#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1          -0.056          -0.056               0
               2           0.188           0.066        0.086267
               3            0.18           0.104       0.0653469
               4           0.052           0.091       0.0502867
               5            0.02          0.0768       0.0421866
               6           0.048           0.072       0.0354275
               7     3.46945e-18       0.0617143       0.0318246
               8           0.036          0.0585       0.0280084
               9            0.14       0.0675556       0.0263196
              10           0.048          0.0656       0.0237601
              11           0.064       0.0654545       0.0216006
              12           0.312           0.086       0.0279106
              13           0.104       0.0873846       0.0257979
              14           0.056       0.0851429       0.0240524
              15            0.18       0.0914667       0.0232654
              16           0.008         0.08625       0.0223885
              17           0.032       0.0830588       0.0212978
              18           0.028            0.08        0.020333
              19          -0.084       0.0713684       0.0210153
              20          -0.088          0.0634        0.021422
              21    -2.77556e-18        0.060381       0.0206135
              22          -0.196       0.0487273       0.0227333
              23           0.016       0.0473043       0.0217894
              24          -0.092          0.0415       0.0216408
              25          -0.188         0.03232       0.0226386
              26           -0.06       0.0287692       0.0220446
              27            0.18       0.0343704       0.0219282
              28           0.244       0.0418571       0.0223867
              29           0.136       0.0451034       0.0218488
              30           0.044       0.0450667       0.0211205
              31          -0.108        0.040129       0.0210085
              32          -0.292         0.02975       0.0227719
              33           -0.32       0.0191515        0.024424
              34           0.084       0.0210588         0.02378
              35           -0.12       0.0170286       0.0234396
              36          -0.156       0.0122222       0.0232761
              37          -0.336      0.00281081       0.0244759
              38           0.196      0.00789474        0.024354
              39           0.196       0.0127179       0.0242025
              40          -0.128          0.0092       0.0238517
              41          -0.156      0.00517073       0.0236078
              42          -0.284     -0.00171429       0.0240288
              43          -0.176     -0.00576744       0.0238093
              44           0.252     9.09091e-05       0.0239781
              45             0.1      0.00231111       0.0235478
              46          -0.184     -0.00173913       0.0233817
              47          -0.084     -0.00348936       0.0229496
              48          -0.012     -0.00366667       0.0224722
              49           0.076     -0.00204082       0.0220723
              50            0.04         -0.0012       0.0216468
              51          -0.288     -0.00682353       0.0219407
              52           0.224     -0.00238462       0.0219632
              53           0.124    -5.76059e-18       0.0216779
              54          -0.024    -0.000444444        0.021281
              55            0.16      0.00247273        0.021093
              56             0.1      0.00421429       0.0207881
              57           0.008       0.0042807       0.0204236
              58          -0.204     0.000689655       0.0203847
              59          -0.096    -0.000949153       0.0201049
              60           0.248          0.0032       0.0201935
              61           0.008      0.00327869       0.0198626
              62           -0.12      0.00129032       0.0196415
              63           0.064      0.00228571       0.0193549
              64          -0.088        0.000875       0.0191038
              65            0.28      0.00516923       0.0192865
              66             0.3      0.00963636       0.0195048
              67           0.056       0.0103284       0.0192259
              68            0.12       0.0119412       0.0190107
              69          -0.132      0.00985507       0.0188493
              70           0.332       0.0144571       0.0191336
              71           0.064       0.0151549       0.0188768
              72            0.24       0.0182778       0.0188712
              73           0.236       0.0212603       0.0188469
              74            0.12       0.0225946       0.0186394
