#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1          0.2432          0.2432               0
               2          0.0768            0.16       0.0588313
               3          0.1832        0.167733       0.0397259
               4          0.2472          0.1876       0.0344052
               5          0.1152         0.17312        0.030419
               6          0.0488          0.1524       0.0316283
               7          0.1952        0.158514       0.0276946
               8          0.0328          0.1428       0.0283425
               9          0.2112          0.1504       0.0261925
              10            0.08         0.14336       0.0245011
              11          0.0768        0.137309       0.0230088
              12          0.2208        0.144267       0.0221183
              13          0.1408           0.144       0.0204185
              14          0.1728        0.146057       0.0190634
              15          0.1352        0.145333       0.0178063
              16          0.1312         0.14445       0.0167153
              17           0.192        0.147247       0.0159643
              18          0.2728        0.154222       0.0165311
              19          0.2848        0.161095       0.0170298
              20          0.2048         0.16328       0.0163179
              21          0.1088        0.160686       0.0157458
              22          0.1352        0.159527       0.0150726
              23          0.2272         0.16247       0.0147016
              24          0.0992        0.159833       0.0143235
              25          0.0768        0.156512       0.0141304
              26          0.0968        0.154215       0.0137723
              27          0.2408        0.157422       0.0136304
              28          0.1352        0.156629       0.0131667
              29          0.0832        0.154097       0.0129539
              30          0.1032          0.1524       0.0126327
              31          0.0712        0.149781       0.0124938
              32          0.1312          0.1492       0.0121168
              33          0.0968        0.147612       0.0118532
              34          0.3112        0.152424       0.0124429
              35          0.2888         0.15632       0.0126828
              36          0.0352        0.152956       0.0127689
              37          0.0928         0.15133       0.0125269
              38          0.1448        0.151158       0.0121984
              39          0.0928        0.149662       0.0119771
              40          0.1992          0.1509       0.0117415
              41          0.2848        0.154166       0.0119007
              42          0.1568        0.154229       0.0116175
              43          0.2952        0.157507       0.0118008
              44          0.1032        0.156273        0.011597
              45           0.144           0.156       0.0113425
              46          0.1832        0.156591       0.0111113
              47            0.24        0.158366       0.0110157
              48          0.1408           0.158       0.0107923
              49          0.0872        0.156555       0.0106683
              50          0.1408         0.15624       0.0104596
              51          0.0832        0.154808       0.0103521
              52           0.308        0.157754       0.0105639
              53          0.2632        0.159743       0.0105503
              54           0.148        0.159526       0.0103571
              55          0.1952        0.160175       0.0101891
              56          0.0192        0.157657       0.0103135
              57          0.0992        0.156632       0.0101834
              58          0.0352        0.154538       0.0102208
              59          0.0808        0.153288       0.0101236
              60          0.0328         0.15128       0.0101521
              61          0.1248        0.150846      0.00999498
              62          0.1632        0.151045      0.00983576
              63          0.2248        0.152216      0.00974906
              64          0.0768        0.151037      0.00966768
              65           0.208        0.151914      0.00955859
              66          0.0832        0.150873      0.00947029
              67          0.1248        0.150484      0.00933693
              68           0.244        0.151859      0.00930035
              69           0.176        0.152209      0.00917215
              70          0.1288        0.151874      0.00904721
              71          0.3072        0.154062      0.00918047
              72          0.0392        0.152467      0.00919053
              73          0.1192        0.152011      0.00907592
              74          0.0968        0.151265      0.00898389
              75          0.4232        0.154891      0.00956784
              76          0.0968        0.154126      0.00947243
              77          0.1448        0.154005      0.00935018
              78          0.1928        0.154503      0.00924353
              79          0.0128        0.152709      0.00929893
              80           0.064          0.1516      0.00924857
              81          0.2568        0.152899      0.00922513
              82          0.0712        0.151902      0.00916627
              83          0.1512        0.151894      0.00905584
              84          0.1672        0.152076      0.00894986
              85          0.0768        0.151191      0.00888828
              86          0.1512        0.151191      0.00878493
              87           0.144        0.151108      0.00868434
              88          0.1768          0.1514      0.00859056
              89          0.2368         0.15236      0.00854746
              90          0.0808        0.151564      0.00848939
              91          0.1088        0.151095       0.0084091
              92          0.1768        0.151374      0.00832233
              93          0.3432        0.153437       0.0084846
              94          0.0832        0.152689      0.00842718
              95           0.096        0.152093      0.00835957
              96          0.0968        0.151517      0.00829231
              97          0.1352        0.151348      0.00820853
              98          0.0672         0.15049      0.00816956
              99          0.2088        0.151079      0.00810824
             100          0.1248        0.150816      0.00803141
             101          0.0992        0.150305      0.00796814
             102          0.1408        0.150212      0.00789056
             103          0.2048        0.150742      0.00783173
             104           0.272        0.151908      0.00784274
             105          0.1312         0.15171      0.00777053
             106          0.1248        0.151457      0.00770136
             107          0.2568        0.152441      0.00769206
             108          0.1952        0.152837      0.00763102
             109          0.0832        0.152198      0.00758771
             110           0.064        0.151396      0.00756097
             111           0.116        0.151077      0.00749958
             112           0.112        0.150729      0.00744073
             113           0.324        0.152262      0.00753122
             114           0.212        0.152786      0.00748337
             115           0.212        0.153301      0.00743599
             116          0.1952        0.153662      0.00738065
             117          0.1192        0.153368      0.00732344
             118          0.1152        0.153044      0.00726852
             119           0.112        0.152699      0.00721562
             120           0.084        0.152127      0.00717816
             121          0.1288        0.151934      0.00712143
             122          0.1512        0.151928      0.00706306
             123          0.1568        0.151967      0.00700575
             124          0.2472        0.152735      0.00699122
             125          0.1472        0.152691      0.00693543
             126          0.1632        0.152775      0.00688089
             127          0.1608        0.152838        0.006827
             128          0.2728        0.153775      0.00683769
             129          0.1128        0.153457      0.00679206
             130          0.1608        0.153514      0.00674004
             131          0.1448        0.153447      0.00668892
             132          0.1472          0.1534      0.00663842
             133          0.0608        0.152704      0.00662491
             134          0.0328        0.151809      0.00663563
             135            0.18        0.152018      0.00658976
             136          0.1632          0.1521      0.00654182
             137           0.128        0.151924      0.00649643
             138          0.1672        0.152035       0.0064503
             139          0.2088        0.152443      0.00641681
             140          0.1088        0.152131      0.00637854
             141          0.1832        0.152352      0.00633711
             142          0.0648        0.151735      0.00632241
             143           0.352        0.153136      0.00643143
             144          0.1768          0.1533      0.00638886
             145          0.1088        0.152993      0.00635217
             146          0.1792        0.153173       0.0063112
             147          0.3368        0.154422      0.00639069
             148          0.1128        0.154141       0.0063537
             149           0.128        0.153965      0.00631348
             150          0.1728        0.154091      0.00627263
             151          0.0872        0.153648      0.00624672
             152          0.1352        0.153526       0.0062068
             153           0.048        0.152837      0.00620443
             154          0.0712        0.152306      0.00618675
             155          0.2848        0.153161      0.00620561
             156          0.1032        0.152841      0.00617409
             157          0.1248        0.152662      0.00613734
             158          0.1352        0.152552      0.00609949
             159           0.112        0.152297      0.00606646
             160          0.3008        0.153225      0.00609913
             161           0.196        0.153491      0.00606704
             162          0.0768        0.153017      0.00604803
             163          0.0648        0.152476      0.00603509
             164          0.1288        0.152332      0.00600002
             165          0.0832        0.151913      0.00597826
             166           0.112        0.151672      0.00594708
             167          0.0832        0.151262      0.00592559
             168          0.1832        0.151452      0.00589337
             169          0.3048         0.15236      0.00592793
             170            0.18        0.152522      0.00589529
             171          0.0488        0.151916      0.00589194
             172           0.084        0.151521       0.0058709
             173           0.164        0.151593      0.00583741
             174          0.2088        0.151922      0.00581311
             175          0.1448        0.151881      0.00578004
             176          0.0992        0.151582      0.00575494
             177           0.132        0.151471      0.00572349
             178          0.0392         0.15084      0.00572598
             179          0.0648         0.15036      0.00571413
             180          0.1032        0.150098      0.00568839
             181          0.1312        0.149993      0.00565792
             182          0.2528        0.150558      0.00565496
             183          0.1448        0.150527      0.00562415
             184           0.384        0.151796      0.00573493
             185          0.1352        0.151706      0.00570464
