#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               1           0.768           0.768               0
               2           1.536           1.152        0.271529
               3           1.084         1.12933        0.181963
               4           0.676           1.016        0.168101
               5           0.536            0.92        0.159555
               6           0.616        0.869333        0.140778
               7           0.788        0.857714        0.121145
               8           0.332           0.792        0.122536
               9           1.736        0.896889        0.147116
              10           0.288           0.836        0.144456
              11           0.392        0.795636        0.136847
              12           2.368        0.926667        0.177409
              13           0.892           0.924        0.163783
              14           0.752        0.911714        0.152544
              15            0.68        0.896267        0.143154
              16           0.336         0.86125        0.138424
              17            0.34        0.830588        0.133634
              18           0.288        0.800444        0.129565
              19            1.32        0.827789        0.125598
              20            0.42          0.8074        0.120962
              21           0.392        0.787619        0.116808
              22           1.656        0.827091        0.117979
              23           0.492        0.812522        0.113746
              24             1.3        0.832833        0.110805
              25           1.548         0.86144        0.110004
              26            0.18        0.835231         0.10885
              27           0.856           0.836        0.104821
              28            0.72        0.831857         0.10116
              29           1.028        0.838621       0.0978973
              30           0.824        0.838133       0.0946352
              31             1.1        0.846581       0.0919587
              32           2.676         0.90375        0.105368
              33           3.912        0.994909        0.136007
              34           0.548        0.981765         0.13264
              35           1.088          0.9848        0.128885
              36           1.456        0.997889        0.125968
              37           4.228         1.08519         0.14979
              38           1.144         1.08674        0.145856
              39           1.836         1.10595        0.143376
              40           0.852          1.0996        0.139932
              41           1.156         1.10098        0.136526
              42           2.728         1.13971        0.138663
              43           1.508         1.14828        0.135702
              44           0.988         1.14464        0.132667
              45           0.488         1.13004        0.130519
              46           1.136         1.13017        0.127681
              47           2.696         1.16349        0.129238
              48           0.472         1.14908        0.127346
              49           0.616          1.1382        0.125211
              50            0.68         1.12904        0.123042
              51           2.408         1.15412        0.123158
              52           3.544         1.20008        0.129081
              53           2.324         1.22128        0.128375
              54           0.884         1.21504         0.12615
              55           0.736         1.20633        0.124156
              56           0.628           1.196        0.122368
              57           0.724         1.18772        0.120501
              58           3.572         1.22883        0.125239
              59           1.012         1.22515        0.123171
              60           1.228          1.2252        0.121118
              61           0.128         1.20721         0.12046
              62           0.664         1.19845        0.118836
              63           0.464         1.18679         0.11752
              64           0.352         1.17375        0.116405
              65           4.464         1.22437        0.125137
              66            2.82         1.24855        0.125555
              67           0.488         1.23719        0.124193
              68           0.904         1.23229        0.122463
              69            0.68         1.22429         0.12095
              70            4.06          1.2648        0.125823
              71           0.376         1.25228        0.124672
              72           2.012         1.26283        0.123386
              73           1.596          1.2674        0.121781
              74           1.436         1.26968        0.120156
              75           0.664          1.2616        0.118825
              76           1.264         1.26163        0.117262
              77           0.748         1.25496        0.115928
              78           1.292         1.25544        0.114443
              79            1.24         1.25524        0.112995
              80            1.68         1.26055        0.111707
              81            0.32         1.24894         0.11093
              82            0.44         1.23907        0.110015
              83           1.068         1.23701        0.108708
              84           1.152           1.236        0.107419
              85           2.064         1.24574        0.106596
              86           1.624         1.25014        0.105447
              87           1.204         1.24961        0.104237
              88           2.248         1.26095        0.103668
              89           1.336          1.2618        0.102506
              90           1.408         1.26342         0.10138
              91           3.692         1.29011        0.103719
              92             0.7          1.2837         0.10279
              93           0.696         1.27738        0.101879
              94           1.688         1.28174        0.100889
              95           0.684         1.27545        0.100023
              96            0.48         1.26717       0.0993234
              97           1.052         1.26495       0.0983242
              98           0.804         1.26024       0.0974333
              99           1.132         1.25895       0.0964578
             100           0.608         1.25244       0.0957126
             101           0.432         1.24432        0.095109
             102           0.592         1.23792       0.0943914
             103           1.468         1.24016       0.0935014
             104           0.412         1.23219       0.0929408
             105           1.684          1.2365       0.0921552
             106           5.108         1.27302       0.0982573
             107           1.288         1.27316       0.0973391
             108           1.096         1.27152       0.0964516
             109           0.196         1.26165       0.0960701
             110           1.024         1.25949        0.095221
             111            1.76           1.264       0.0944699
             112           0.948         1.26118       0.0936685
             113           0.312         1.25278       0.0932155
             114           0.756         1.24842       0.0924996
             115            3.62         1.26904        0.093966
             116           6.856         1.31721        0.104775
