#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -0.472      -0.472           0
           2      -0.536      -0.504   0.0226274
           3      -0.432       -0.48   0.0247296
           4      -0.448      -0.472    0.019799
           5      -0.488     -0.4752   0.0160957
           6      -0.384       -0.46   0.0192988
           7      -0.408   -0.452571   0.0179146
           8      -0.544      -0.464   0.0189737
           9      -0.488   -0.466667   0.0170518
          10       -0.52      -0.472   0.0161592
          11      -0.504   -0.474909   0.0149498
          12      -0.376   -0.466667   0.0158137
          13      -0.344   -0.457231   0.0171834
          14      -0.424   -0.454857   0.0161191
          15      -0.528   -0.459733   0.0157648
          16      -0.408     -0.4565   0.0151074
          17       -0.52   -0.460235   0.0146733
          18      -0.464   -0.460444   0.0138596
          19      -0.376      -0.456   0.0138244
          20      -0.424     -0.4544   0.0132254
          21      -0.456   -0.454476   0.0125959
          22      -0.528   -0.457818   0.0124588
          23      -0.408   -0.455652   0.0121039
          24      -0.392      -0.453   0.0118866
          25      -0.504    -0.45504   0.0115849
          26      -0.496   -0.456615   0.0112459
          27      -0.384   -0.453926   0.0111464
          28      -0.432   -0.453143   0.0107757
          29      -0.408   -0.451586    0.010516
          30      -0.432   -0.450933   0.0101857
          31      -0.448   -0.450839  0.00985758
          32      -0.472     -0.4515  0.00957169
          33      -0.576   -0.455273  0.00999755
          34      -0.432   -0.454588   0.0097269
          35      -0.464   -0.454857  0.00945271
          36      -0.552   -0.457556  0.00956753
          37      -0.504   -0.458811  0.00939094
          38      -0.464   -0.458947   0.0091448
          39      -0.504   -0.460103  0.00898298
          40      -0.432     -0.4594  0.00878584
          41      -0.504   -0.460488  0.00863863
          42      -0.456   -0.460381  0.00843361
          43      -0.448   -0.460093  0.00824239
          44      -0.448   -0.459818  0.00805965
          45       -0.44   -0.459378  0.00789257
          46      -0.528    -0.46087  0.00786071
          47       -0.44   -0.460426  0.00770599
          48      -0.376   -0.458667  0.00774358
          49      -0.432   -0.458122  0.00760464
          50      -0.344    -0.45584  0.00778755
          51      -0.568   -0.458039  0.00793931
          52       -0.48   -0.458462  0.00779786
          53      -0.432   -0.457962  0.00766669
          54        -0.4   -0.456889  0.00759948
          55      -0.392   -0.455709  0.00755234
          56      -0.408   -0.454857  0.00746537
          57      -0.488   -0.455439  0.00735701
          58      -0.568   -0.457379  0.00748176
          59      -0.416   -0.456678  0.00738775
          60      -0.496   -0.457333  0.00729363
          61      -0.424   -0.456787   0.0071945
          62      -0.552   -0.458323  0.00724051
          63      -0.464   -0.458413  0.00712614
          64      -0.456   -0.458375  0.00701489
          65       -0.52   -0.459323  0.00697075
          66      -0.472   -0.459515  0.00686777
          67      -0.536   -0.460657  0.00685949
          68        -0.4   -0.459765  0.00681637
          69       -0.52   -0.460638  0.00677325
          70      -0.544   -0.461829  0.00678037
          71      -0.392   -0.460845  0.00675583
          72      -0.448   -0.460667  0.00666435
          73      -0.448   -0.460493  0.00657532
          74      -0.416   -0.459892  0.00651389
          75      -0.432    -0.45952  0.00643765
          76      -0.416   -0.458947  0.00637836
          77      -0.576   -0.460468  0.00647414
          78      -0.416   -0.459897  0.00641619
          79      -0.424   -0.459443  0.00635104
          80       -0.36     -0.4582  0.00639214
          81      -0.336   -0.456691  0.00648882
          82      -0.432    -0.45639  0.00641667
          83      -0.528   -0.457253   0.0063971
          84      -0.352      -0.456  0.00644249
          85      -0.344   -0.454682  0.00650004
