#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1          -0.196          -0.196               0
               2           0.272           0.038        0.165463
               3           0.192       0.0893333        0.118003
               4           0.012            0.07       0.0900722
               5           0.064          0.0688       0.0720657
               6           0.044       0.0646667       0.0601732
               7           0.012       0.0571429       0.0520453
               8          -0.064           0.042       0.0476917
               9           0.048       0.0426667       0.0423973
              10          -0.224           0.016       0.0457821
              11           0.164       0.0294545       0.0435523
              12          -0.032       0.0243333       0.0402229
              13           0.092       0.0295385       0.0374641
              14           0.072       0.0325714       0.0349106
              15             0.1       0.0370667       0.0328714
              16          -0.156           0.025       0.0329574
              17          -0.212       0.0110588       0.0338391
              18            0.04       0.0126667       0.0319973
              19          -0.056      0.00905263       0.0305166
              20          -0.252          -0.004       0.0316594
              21           0.088     0.000380952       0.0304534
              22          -0.096          -0.004       0.0293826
              23           0.088    -1.20676e-18       0.0283761
              24          -0.232     -0.00966667       0.0287932
              25             0.1        -0.00528       0.0279737
              26           0.392            0.01       0.0307894
              27           0.032       0.0108148       0.0296598
              28           0.308       0.0214286       0.0304404
              29          -0.012       0.0202759       0.0294126
              30          -0.048           0.018       0.0285201
              31           0.088       0.0202581       0.0276893
              32           0.068         0.02175       0.0268642
              33            0.08       0.0235152       0.0261081
              34          -0.044       0.0215294       0.0254156
              35          -0.036       0.0198857       0.0247425
              36           0.076       0.0214444       0.0241043
              37           0.192       0.0260541       0.0238895
              38          -0.044       0.0242105       0.0233319
              39           0.016           0.024       0.0227346
              40          -0.028          0.0227       0.0222033
              41            0.02       0.0226341       0.0216619
              42           0.428       0.0322857       0.0231968
              43            0.26       0.0375814        0.023254
              44           0.008       0.0369091       0.0227352
              45          -0.092       0.0340444       0.0224097
              46           0.008       0.0334783       0.0219297
              47            0.22       0.0374468       0.0218193
              48          -0.016       0.0363333       0.0213931
              49          -0.236       0.0307755       0.0216664
              50           -0.02         0.02976       0.0212569
              51           0.116        0.031451       0.0209072
              52            0.02       0.0312308       0.0205063
              53           0.144       0.0333585       0.0202295
              54          -0.132       0.0302963       0.0200853
