#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1          0.1768          0.1768               0
               2          0.3008          0.2388       0.0438406
               3           0.112        0.196533       0.0452239
               4          0.2528          0.2106       0.0360393
               5           0.096         0.18768       0.0353767
               6          0.2568          0.1992       0.0313001
               7          0.2432        0.205486       0.0274526
               8          0.1128          0.1939       0.0263526
               9          0.1408           0.188       0.0240759
              10           0.128           0.182       0.0224035
              11          0.1512          0.1792        0.020541
              12          0.0832          0.1712       0.0203275
              13          0.0928        0.165169       0.0196381
              14          0.0672        0.158171       0.0194423
              15          0.0768        0.152747       0.0188878
              16          0.2152         0.15665       0.0181061
              17          0.1632        0.157035       0.0170451
              18           0.144        0.156311       0.0161136
              19          0.1952        0.158358       0.0153949
              20          0.2048         0.16068       0.0147993
              21          0.1152        0.158514       0.0142521
              22          0.0992        0.155818        0.013857
              23          0.1832        0.157009       0.0133055
              24          0.1032        0.154767       0.0129387
              25          0.1992        0.156544       0.0125426
              26          0.1032        0.154492       0.0122268
              27           0.112        0.152919       0.0118748
              28          0.1728        0.153629        0.011472
              29           0.304        0.158814        0.012192
              30            0.16        0.158853       0.0117857
              31          0.1472        0.158477       0.0114115
              32          0.1288         0.15755       0.0110925
              33           0.052        0.154352        0.011208
              34          0.1088        0.153012       0.0109582
              35          0.2432        0.155589       0.0109438
              36          0.1088        0.154289       0.0107167
              37          0.1512        0.154205       0.0104274
              38           0.276        0.157411       0.0106342
              39          0.0712          0.1552       0.0105888
              40           0.144         0.15492       0.0103278
              41          0.2952        0.158341       0.0106275
              42          0.2248        0.159924       0.0104916
              43          0.1312        0.159256       0.0102689
              44           0.212        0.160455       0.0101052
              45            0.16        0.160444      0.00988066
              46          0.0648        0.158365      0.00988221
              47          0.1832        0.158894      0.00968607
              48          0.1128        0.157933      0.00953175
              49          0.0552        0.155837      0.00956503
              50          0.2568        0.157856      0.00958451
              51            0.16        0.157898      0.00939667
              52          0.2792        0.160231       0.0095011
              53          0.1088         0.15926      0.00937126
              54          0.2272        0.160519      0.00928179
              55          0.1672         0.16064      0.00911382
              56          0.0968          0.1595      0.00902209
              57          0.0992        0.158442      0.00892562
              58          0.0968        0.157379      0.00883478
              59          0.1472        0.157207      0.00868672
              60          0.1288        0.156733      0.00855483
              61          0.0672        0.155266      0.00853957
              62          0.0992        0.154361      0.00844958
              63          0.1832        0.154819      0.00832785
              64          0.1952         0.15545       0.0082216
              65          0.1192        0.154892        0.008114
              66          0.1512        0.154836      0.00799126
              67           0.212         0.15569       0.0079174
              68          0.3328        0.158294      0.00821822
              69           0.048        0.156696       0.0082531
              70          0.2048        0.157383      0.00816376
              71            0.08        0.156293       0.0081212
              72           0.084        0.155289      0.00807024
              73          0.1672        0.155452      0.00796134
              74          0.1608        0.155524      0.00785408
              75          0.1192         0.15504      0.00776428
              76          0.2432          0.1562      0.00774829
              77          0.1152        0.155668      0.00766593
              78          0.3872        0.158636      0.00812204
              79           0.084        0.157691      0.00807399
              80            0.24         0.15872      0.00803835
              81          0.0992        0.157985      0.00797263
              82           0.132        0.157668       0.0078817
              83          0.1472        0.157542      0.00778775
              84          0.1832        0.157848      0.00770102
              85           0.096         0.15712      0.00764472
              86          0.1632        0.157191      0.00755615
              87          0.1792        0.157444      0.00747354
              88          0.2568        0.158573      0.00747341
              89           0.116        0.158094      0.00740473
              90            0.18        0.158338      0.00732645
              91          0.1152        0.157864      0.00726126
              92          0.1312        0.157574      0.00718812
              93           0.228        0.158331       0.0071506
              94          0.0968        0.157677      0.00710443
              95          0.2312        0.158451      0.00707168
              96          0.1512        0.158375      0.00699842
              97          0.1192        0.157971      0.00693791
              98          0.2112        0.158514      0.00688834
              99           0.148        0.158408      0.00681958
             100           0.112        0.157944      0.00676716
             101          0.1568        0.157933      0.00670017
             102          0.0968        0.157333      0.00666123
             103          0.0832        0.156614      0.00663533
             104          0.3368        0.158346      0.00679396
             105          0.1512        0.158278       0.0067296
             106          0.2088        0.158755      0.00668297
             107          0.0768        0.157989      0.00666426
             108           0.336        0.159637      0.00680333
             109          0.2592         0.16055      0.00680195
             110          0.1312        0.160284      0.00674535
             111          0.3208         0.16173      0.00683783
             112           0.176        0.161857      0.00677797
             113          0.2248        0.162414      0.00674083
             114           0.452        0.164954      0.00714432
             115           0.208        0.165329      0.00709199
             116          0.1768        0.165428      0.00703155
             117          0.0992        0.164862      0.00699419
             118          0.1448        0.164692      0.00693699
             119           0.064        0.163845      0.00693011
             120           0.068        0.163047      0.00691823
             121          0.1408        0.162863       0.0068635
             122           0.196        0.163134      0.00681261
             123          0.2472        0.163818      0.00679142
             124          0.1672        0.163845      0.00673671
             125           0.164        0.163846      0.00668281
             126          0.2408        0.164457      0.00665762
             127          0.1312        0.164195      0.00661035
             128          0.2208        0.164637      0.00657348
             129          0.2688        0.165445      0.00657193
             130          0.2568        0.166148      0.00655884
             131          0.2048        0.166443      0.00651541
             132          0.0808        0.165794      0.00649827
             133          0.1672        0.165805      0.00644942
             134          0.1888        0.165976      0.00640357
             135          0.0928        0.165434      0.00637904
             136          0.1192        0.165094      0.00634119
             137          0.1192        0.164759      0.00630374
             138          0.2112        0.165096      0.00626704
             139           0.128        0.164829      0.00622763
             140          0.1768        0.164914      0.00618374
             141          0.1448        0.164772      0.00614153
             142            0.08        0.164175      0.00612722
             143          0.1192         0.16386      0.00609244
             144           0.032        0.162944      0.00611856
             145          0.2312        0.163415      0.00609444
             146          0.2152         0.16377      0.00606301
             147          0.0512        0.163004      0.00606994
             148          0.1768        0.163097      0.00602964
             149          0.1992         0.16334      0.00599404
             150          0.2632        0.164005      0.00599093
             151           0.116        0.163687      0.00595969
             152           0.128        0.163453       0.0059251
             153          0.1408        0.163305      0.00588823
             154          0.0648        0.162665      0.00588463
             155          0.0488         0.16193      0.00589234
             156          0.1888        0.162103      0.00585708
             157          0.0928        0.161661      0.00583639
             158          0.1568         0.16163      0.00579953
             159          0.1568          0.1616      0.00576313
             160             0.1        0.161215      0.00573996
             161           0.128        0.161009      0.00570802
             162           0.084        0.160533      0.00569254
             163            0.16         0.16053      0.00565762
             164          0.2048          0.1608      0.00562956
             165            0.24         0.16128      0.00561586
             166          0.1472        0.161195      0.00558267
             167          0.0928        0.160786      0.00556425
             168          0.2312        0.161205      0.00554689
             169          0.1408        0.161084      0.00551538
             170           0.192        0.161266      0.00548594
             171          0.0328        0.160515      0.00550505
             172          0.3168        0.161423      0.00554753
             173          0.0832        0.160971      0.00553386
             174           0.144        0.160874      0.00550291
             175          0.1952         0.16107      0.00547496
             176          0.0672        0.160536      0.00546977
             177           0.192        0.160714      0.00544176
             178           0.148        0.160643      0.00541165
             179          0.1128        0.160375      0.00538802
             180           0.384        0.161618      0.00549945
             181          0.3592        0.162709      0.00557635
             182          0.2248        0.163051      0.00555614
             183          0.2688        0.163628      0.00555575
             184           0.304        0.164391      0.00557769
             185          0.1032        0.164061      0.00555734
             186          0.2432        0.164486      0.00554372
             187          0.0808        0.164039      0.00553211
             188           0.144        0.163932      0.00550371
             189          0.1512        0.163865        0.005475
             190          0.1928        0.164017       0.0054483
             191          0.1408        0.163895      0.00542113
             192           0.176        0.163958      0.00539327
             193          0.1312        0.163789      0.00536799
             194          0.1568        0.163753      0.00534044
             195          0.1672         0.16377      0.00531308
             196          0.0992        0.163441      0.00529618
             197          0.0928        0.163082      0.00528142
             198          0.1088        0.162808      0.00526186
             199          0.2728        0.163361      0.00526437
             200           0.096        0.163024      0.00524881
             201          0.1672        0.163045      0.00522274
             202          0.2528        0.163489      0.00521575
             203           0.084        0.163098      0.00520473
             204          0.1408        0.162988      0.00518037
             205          0.0448        0.162412      0.00518708
             206          0.2152        0.162668      0.00516822
             207          0.1312        0.162516      0.00514549
             208          0.3008        0.163181      0.00516353
             209           0.176        0.163242      0.00513918
             210          0.2112         0.16347      0.00511978
             211           0.116        0.163245      0.00510046
             212          0.1288        0.163083      0.00507899
             213          0.0352        0.162483      0.00509051
             214          0.2048         0.16268      0.00507056
             215           0.244        0.163059      0.00506106
             216           0.112        0.162822      0.00504315
             217          0.1992         0.16299      0.00502269
             218          0.1888        0.163108      0.00500105
             219          0.0648        0.162659      0.00499832
             220          0.1992        0.162825      0.00497836
             221          0.0832        0.162465      0.00496885
             222          0.2568         0.16289      0.00496461
             223           0.164        0.162895      0.00494235
             224          0.0992        0.162611      0.00492845
             225           0.116        0.162404       0.0049109
             226           0.224        0.162676      0.00489673
             227          0.0808        0.162315      0.00488842
             228           0.144        0.162235      0.00486764
             229          0.1792        0.162309      0.00484695
             230           0.288        0.162856      0.00485659
             231          0.1248        0.162691      0.00483836
             232          0.1928        0.162821      0.00481924
             233            0.24        0.163152      0.00480993
             234           0.128        0.163002      0.00479172
             235          0.1728        0.163043      0.00477151
             236          0.3048        0.163644      0.00478895
             237          0.0552        0.163186      0.00479055
             238          0.1352        0.163069      0.00477187
             239           0.112        0.162855      0.00475668
             240          0.3208        0.163513      0.00478217
             241          0.1608        0.163502      0.00476234
             242          0.2208        0.163739      0.00474855
             243           0.224        0.163987      0.00473547
             244           0.224        0.164233      0.00472245
             245          0.2792        0.164702      0.00472643
             246          0.1312        0.164566      0.00470918
             247          0.0712        0.164188      0.00470526
             248          0.1472        0.164119      0.00468679
             249          0.1888        0.164218      0.00466901
             250            0.08        0.163882      0.00466247
             251          0.1672        0.163895      0.00464392
             252          0.1312        0.163765       0.0046273
             253          0.1472          0.1637      0.00460947
             254          0.0648         0.16331      0.00460774
             255          0.1608          0.1633      0.00458968
             256          0.2088        0.163478      0.00457519
             257          0.1128        0.163281      0.00456164
             258          0.3008        0.163814      0.00457499
             259          0.2208        0.164034      0.00456262
             260          0.1568        0.164006      0.00454515
             261          0.1288        0.163871      0.00452974
             262          0.0672        0.163502      0.00452745
             263          0.3112        0.164064      0.00454494
             264          0.3328        0.164703      0.00457244
             265          0.1768        0.164749      0.00455541
             266          0.0808        0.164433      0.00454921
             267          0.2272        0.164668      0.00453824
             268          0.1608        0.164654      0.00452133
             269          0.3072        0.165184      0.00453547
             270          0.0832         0.16488      0.00452882
             271            0.16        0.164862      0.00451215
             272          0.1152        0.164679      0.00449925
             273             0.1        0.164442        0.004489
             274          0.0992        0.164204      0.00447893
             275           0.096        0.163956      0.00446951
             276          0.1288        0.163829      0.00445513
             277          0.0872        0.163552      0.00444762
             278           0.212        0.163727      0.00443504
             279          0.1128        0.163544       0.0044229
             280          0.0512        0.163143      0.00442526
             281          0.1952        0.163257      0.00441098
             282           0.212         0.16343      0.00439873
             283           0.052        0.163036      0.00440077
             284          0.2272        0.163262      0.00439107
             285          0.2312          0.1635      0.00438213
             286          0.1152        0.163331      0.00437006
             287          0.1448        0.163267      0.00435531
             288          0.1472        0.163211      0.00434055
             289          0.1928        0.163313      0.00432673
             290          0.1192        0.163161      0.00431449
             291           0.304        0.163645      0.00432672
             292          0.1832        0.163712      0.00431242
             293          0.0712        0.163397      0.00430925
             294          0.1672         0.16341      0.00429461
             295          0.1512        0.163368      0.00428025
             296          0.2472        0.163651      0.00427515
             297          0.1608        0.163642      0.00426077
             298          0.0392        0.163224      0.00426688
             299          0.1768         0.16327      0.00425285
             300          0.0832        0.163003      0.00424704
             301          0.0672        0.162684      0.00424484
             302           0.116         0.16253       0.0042336
             303           0.144        0.162469      0.00422007
             304          0.2592        0.162787      0.00421817
             305          0.2248         0.16299      0.00420924
             306          0.1728        0.163022       0.0041956
             307            0.18        0.163078       0.0041823
             308          0.1472        0.163026      0.00416904
             309          0.1992        0.163143      0.00415719
             310          0.0832        0.162885      0.00415177
             311           0.192        0.162979      0.00413948
             312          0.1568        0.162959      0.00412626
             313          0.1728         0.16299      0.00411319
             314          0.2112        0.163144      0.00410296
             315           0.084        0.162893      0.00409762
             316          0.2728        0.163241      0.00409939
             317          0.1568         0.16322       0.0040865
             318          0.2728        0.163565      0.00408816
             319          0.1672        0.163576      0.00407536
             320          0.1608        0.163567      0.00406263
             321          0.1088        0.163397      0.00405356
             322           0.128        0.163287      0.00404246
             323          0.2408        0.163527      0.00403706
             324          0.1512        0.163489      0.00402478
             325          0.3328         0.16401      0.00404597
             326           0.144        0.163948      0.00403402
             327          0.1888        0.164024       0.0040224
             328          0.1952         0.16412      0.00401126
             329          0.1032        0.163934      0.00400334
             330           0.064        0.163632      0.00400265
             331          0.2152        0.163787      0.00399359
             332          0.1888        0.163863      0.00398227
             333           0.192        0.163947      0.00397121
             334          0.1672        0.163957      0.00395933
             335           0.144        0.163897      0.00394796
             336           0.096        0.163695      0.00394138
             337          0.1088        0.163532      0.00393304
             338          0.2088        0.163666      0.00392369
             339          0.1608        0.163658      0.00391212
             340          0.1088        0.163496      0.00390394
             341          0.0352         0.16312      0.00391058
             342           0.356        0.163684       0.0039396
             343          0.0968        0.163489      0.00393294
             344          0.0808        0.163249      0.00392885
             345          0.1832        0.163307      0.00391789
             346          0.2472        0.163549      0.00391406
             347           0.064        0.163262      0.00391328
             348            0.18         0.16331      0.00390233
             349          0.1408        0.163246      0.00389168
             350          0.1408        0.163182      0.00388109
             351          0.0992        0.162999      0.00387431
             352           0.128          0.1629      0.00386458
             353          0.1768        0.162939      0.00385383
             354          0.1568        0.162922      0.00384298
             355          0.5408        0.163986      0.00397684
             356          0.1288        0.163888       0.0039669
             357           0.288        0.164235      0.00397099
             358          0.3648        0.164796      0.00399923
             359          0.1728        0.164818      0.00398815
             360          0.1472        0.164769      0.00397737
             361           0.496        0.165686      0.00407081
             362          0.1088        0.165529       0.0040626
             363          0.1928        0.165604       0.0040521
             364          0.1832        0.165653      0.00404126
             365          0.1952        0.165734        0.004031
             366          0.1088        0.165578      0.00402298
             367          0.2408        0.165783      0.00401724
             368          0.1248        0.165672      0.00400787
             369          0.1672        0.165676      0.00399701
             370          0.1152        0.165539      0.00398853
             371          0.2752        0.165835      0.00398872
             372          0.3488        0.166327       0.0040082
             373          0.1512        0.166286      0.00399766
             374          0.2592        0.166535      0.00399469
             375          0.0648        0.166263      0.00399324
             376          0.1608        0.166249      0.00398264
             377          0.0968        0.166065      0.00397634
             378          0.4288         0.16676      0.00402611
             379          0.1352        0.166677      0.00401635
             380          0.2088        0.166787      0.00400731
             381          0.1928        0.166856      0.00399737
             382          0.1152         0.16672      0.00398919
             383           0.132         0.16663      0.00397981
             384          0.3392        0.167079      0.00399473
             385           0.132        0.166988       0.0039854
