#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               1            3.66            3.66               0
               2           1.376           2.518        0.807516
               3           0.876         1.97067        0.699664
               4           0.264           1.544         0.64179
               5            1.16          1.4672        0.518007
               6            0.46         1.29933        0.458065
               7           0.352           1.164        0.412134
               8           3.284           1.429        0.437598
               9           0.748         1.35333        0.395464
              10            2.06           1.424        0.362176
              11           0.888         1.37527        0.332513
              12           0.916           1.337        0.306998
              13           0.904         1.30369        0.285184
              14           0.612         1.25429        0.269059
              15           0.184         1.18293        0.260411
              16           2.068         1.23825        0.249942
              17           1.452         1.25082        0.235555
              18            0.74         1.22244        0.224172
              19           0.916         1.20632        0.212953
              20           1.772          1.2346        0.204175
              21           0.332         1.19162        0.198925
              22           0.628           1.166        0.191525
              23            0.68         1.14487         0.18436
              24           0.072         1.10017        0.182017
              25           2.436          1.1536        0.182411
              26            3.24         1.23385        0.192238
              27           1.168         1.23141        0.185133
              28            2.24         1.26743        0.181992
              29           0.768         1.25021        0.176529
              30           1.388          1.2548        0.170705
              31           0.368         1.22619        0.167578
              32             0.5          1.2035         0.16387
              33           1.064         1.19927        0.158959
              34            1.18         1.19871        0.154285
              35           2.324         1.23086         0.15319
              36           1.412         1.23589        0.149017
              37           1.552         1.24443        0.145235
              38           1.204         1.24337        0.141417
              39            2.26         1.26944        0.140172
              40           1.396          1.2726        0.136704
              41           1.984         1.28995        0.134466
              42           0.664         1.27505        0.132088
              43           0.324         1.25293        0.130855
              44           3.576         1.30573        0.138122
              45           0.816         1.29484        0.135481
              46           1.048         1.28948        0.132642
              47           1.776         1.29983        0.130223
              48           1.204         1.29783        0.127525
              49           0.436         1.28024         0.12613
              50           0.444         1.26352        0.124711
              51           1.124         1.26078        0.122296
              52            0.62         1.24846        0.120563
              53            1.32         1.24981        0.118296
              54           1.856         1.26104        0.116637
              55           1.492         1.26524        0.114592
              56           1.012         1.26071        0.112634
              57           1.432         1.26372        0.110698
              58           2.044         1.27717        0.109604
              59           0.352         1.26149        0.108863
              60           0.412         1.24733        0.107965
              61           0.868         1.24111        0.106374
              62           2.652         1.26387        0.107065
              63           1.552         1.26844        0.105463
              64            1.62         1.27394        0.103958
              65           0.612         1.26375        0.102856
              66           1.272         1.26388        0.101298
              67           2.712         1.28549        0.102066
              68           1.764         1.29253        0.100807
              69           0.564         1.28197       0.0998975
              70             0.5          1.2708        0.099093
              71           0.928         1.26597       0.0978149
              72           0.316         1.25278       0.0973421
              73            2.42         1.26877        0.097313
              74           0.756         1.26184       0.0962444
              75             2.6         1.27968       0.0966008
              76           1.092         1.27721       0.0953613
              77           1.864         1.28483       0.0944268
              78           1.336         1.28549       0.0932185
              79           1.092         1.28304       0.0920707
              80           0.528          1.2736       0.0914023
              81           0.432         1.26321       0.0908625
              82            0.34         1.25195       0.0904492
              83            0.58         1.24386       0.0897211
              84           0.356         1.23329       0.0892734
              85           1.444         1.23576       0.0882575
              86            1.92         1.24372       0.0875891
              87           1.696         1.24892       0.0867365
              88           1.048         1.24664       0.0857809
              89           1.508         1.24957       0.0848673
              90           0.272         1.23871       0.0846166
              91           2.012         1.24721       0.0841124
              92             0.7         1.24126       0.0834081
              93           4.264         1.27376       0.0886181
              94           0.684         1.26749       0.0878972
              95           0.968         1.26434       0.0870284
              96            1.24         1.26408       0.0861223
              97           0.592         1.25715       0.0855127
              98           2.084         1.26559       0.0850553
              99           2.044         1.27345       0.0845588
             100            1.64         1.27712       0.0837926
             101           0.848         1.27287       0.0830706
             102           0.596         1.26624       0.0825208
             103           1.316         1.26672       0.0817211
             104             4.5         1.29781       0.0866474
             105           0.508         1.29029       0.0861481
             106           2.672         1.30332       0.0863159
             107            1.68         1.30684       0.0855809
             108           1.172         1.30559       0.0847976
             109           1.508         1.30745         0.08404
             110           1.224         1.30669       0.0832794
             111           2.088         1.31373       0.0828261
             112           2.228         1.32189       0.0824879
             113           0.816         1.31742       0.0818793
             114           0.432         1.30965       0.0815286
             115           0.848         1.30563       0.0809184
             116           1.148         1.30428       0.0802322
             117             1.2         1.30338       0.0795514
             118           0.788         1.29902       0.0789971
             119           0.756         1.29445       0.0784649
             120           0.864         1.29087        0.077893
             121           3.876         1.31223       0.0801257
             122           0.424         1.30495        0.079799
             123           1.688         1.30807        0.079211
             124            1.22         1.30735       0.0785754
             125           1.856         1.31174       0.0780693
             126            2.14         1.31832       0.0777259
             127           1.552         1.32016       0.0771357
             128           1.928         1.32491       0.0766791
             129           2.008          1.3302       0.0762673
             130           0.944         1.32723       0.0757385
             131           2.272         1.33444       0.0755029
             132           0.436         1.32764       0.0752371
             133           1.148         1.32629       0.0746835
             134             0.9          1.3231       0.0741939
             135           1.148         1.32181       0.0736556
             136           2.384         1.32962        0.073527
             137           1.728         1.33253       0.0730478
             138           0.808         1.32872       0.0726173
             139           0.964          1.3261       0.0721422
             140           1.352         1.32629       0.0716272
             141           0.872         1.32306       0.0711916
             142           0.484         1.31715        0.070935
             143           1.204         1.31636       0.0704434
             144           1.464         1.31739       0.0699617
             145           2.684         1.32681       0.0701111
             146           1.308         1.32668        0.069631
             147           2.936         1.33763       0.0700127
             148           0.464         1.33173        0.069788
             149           3.312         1.34502       0.0705738
             150            0.14         1.33699       0.0705591
             151               3           1.348       0.0709461
             152           2.308         1.35432       0.0707599
             153            1.24         1.35357       0.0703014
             154           1.764         1.35623       0.0698954
             155           0.316         1.34952       0.0697659
             156           1.216         1.34867       0.0693239
             157           0.852          1.3455       0.0689545
             158           1.908         1.34906       0.0686099
             159           1.712         1.35135       0.0682164
             160           1.384         1.35155       0.0677903
             161           0.356         1.34537       0.0676507
             162           1.176         1.34432       0.0672412
             163           0.868          1.3414       0.0668921
             164           1.368         1.34156       0.0664845
             165           2.396         1.34795       0.0663879
             166           1.724         1.35022       0.0660267
             167           0.656         1.34606        0.065762
             168           0.964         1.34379       0.0654099
             169           2.968          1.3534       0.0657251
             170           0.504          1.3484       0.0655281
             171           0.272         1.34211       0.0654466
             172            2.64         1.34965       0.0654996
             173           1.056         1.34795        0.065143
             174            0.64         1.34389       0.0648956
             175           0.852         1.34107       0.0645856
             176            0.84         1.33823       0.0642813
             177           0.992         1.33627       0.0639479
             178           0.376         1.33088       0.0638158
             179           1.488         1.33175       0.0634653
             180            2.22         1.33669       0.0633043
             181           2.076         1.34077       0.0630862
             182           2.236         1.34569        0.062931
             183           1.364         1.34579       0.0625872
             184           1.476          1.3465       0.0622511
             185           1.588         1.34781       0.0619283
             186           1.548         1.34888       0.0616047
             187           2.208         1.35348       0.0614463
             188             1.1         1.35213       0.0611343
             189           1.772         1.35435       0.0608512
             190           0.528            1.35       0.0606861
             191           0.612         1.34614       0.0604913
             192           0.644         1.34248       0.0602866
             193            0.44          1.3378       0.0601554
             194           0.588         1.33394       0.0599693
             195           0.696         1.33067       0.0597509
             196           2.032         1.33424       0.0595531
             197           1.224         1.33369       0.0592535
             198           1.828         1.33618       0.0590068
