#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -0.496      -0.496           0
           2      -0.456      -0.476   0.0141421
           3       -0.44      -0.464   0.0135974
           4      -0.424      -0.454   0.0133791
           5       -0.44     -0.4512   0.0109924
           6      -0.384       -0.44   0.0137275
           7      -0.408   -0.435429   0.0125045
           8      -0.496      -0.443   0.0130336
           9      -0.424   -0.440889   0.0117552
          10       -0.44     -0.4408     0.01058
          11      -0.512   -0.447273   0.0114279
          12      -0.408      -0.444   0.0109341
          13      -0.376   -0.438769    0.011275
          14      -0.488   -0.442286   0.0110044
          15      -0.536   -0.448533    0.011913
          16      -0.432     -0.4475   0.0112131
          17      -0.488   -0.449882   0.0108037
          18       -0.52   -0.453778   0.0108831
          19      -0.488   -0.455579   0.0104583
          20      -0.456     -0.4556  0.00993539
          21      -0.392   -0.452571  0.00991313
          22      -0.408   -0.450545  0.00966734
          23      -0.368   -0.446957   0.0098908
          24      -0.448      -0.447  0.00947878
          25      -0.512     -0.4496  0.00944949
          26      -0.432   -0.448923  0.00911026
          27       -0.52   -0.451556  0.00914527
          28      -0.424   -0.450571  0.00887145
          29       -0.44   -0.450207  0.00857302
          30       -0.36     -0.4472  0.00879879
          31      -0.472      -0.448  0.00855125
          32      -0.464     -0.4485  0.00829863
          33       -0.48   -0.449455  0.00810186
          34      -0.504   -0.451059  0.00802084
          35      -0.408   -0.449829  0.00788545
          36      -0.456       -0.45  0.00766828
          37      -0.448   -0.449946  0.00746122
          38       -0.48   -0.450737  0.00730667
          39      -0.432   -0.450256  0.00713509
          40       -0.52      -0.452  0.00716659
          41      -0.528   -0.453854  0.00722755
          42      -0.544      -0.456  0.00736727
          43      -0.408   -0.454884  0.00728001
          44        -0.4   -0.453636  0.00722063
          45       -0.36   -0.451556  0.00735388
          46      -0.496   -0.452522  0.00725721
          47      -0.528   -0.454128  0.00727831
          48      -0.544      -0.456  0.00736357
          49      -0.432    -0.45551  0.00722957
          50      -0.416    -0.45472  0.00712803
          51       -0.52      -0.456  0.00710226
          52      -0.448   -0.455846  0.00696735
          53      -0.504   -0.456755  0.00689487
          54      -0.408   -0.455852  0.00682605
          55      -0.448   -0.455709  0.00670343
          56      -0.464   -0.455857  0.00658536
          57      -0.488   -0.456421  0.00649393
          58      -0.496   -0.457103  0.00641772
          59      -0.472   -0.457356  0.00631391
          60      -0.384   -0.456133  0.00632594
          61      -0.488   -0.456656  0.00624377
          62      -0.488   -0.457161  0.00616349
          63      -0.448   -0.457016  0.00606738
          64      -0.472    -0.45725  0.00597709
          65      -0.448   -0.457108  0.00588683
          66      -0.528   -0.458182  0.00589481
          67       -0.48   -0.458507  0.00581582
          68      -0.424      -0.458  0.00575239
          69       -0.52   -0.458899  0.00573877
          70      -0.424     -0.4584   0.0056784
          71       -0.44   -0.458141  0.00560433
          72       -0.48   -0.458444  0.00553471
          73      -0.352   -0.456986  0.00564771
          74      -0.496   -0.457514  0.00559594
          75      -0.432   -0.457173  0.00553166
          76      -0.408   -0.456526  0.00549658
          77      -0.472   -0.456727  0.00542887
          78      -0.472   -0.456923   0.0053628
          79       -0.56   -0.458228  0.00545133
          80       -0.52      -0.459   0.0054376
          81      -0.408    -0.45837   0.0054068
          82        -0.4   -0.457659  0.00538752
          83      -0.488   -0.458024    0.005335
          84      -0.448   -0.457905  0.00527282
          85       -0.44   -0.457694  0.00521499
          86      -0.392    -0.45693     0.00521
          87      -0.472   -0.457103  0.00515299
          88      -0.464   -0.457182  0.00509503
          89       -0.48   -0.457438  0.00504423
          90        -0.4     -0.4568  0.00502839
          91      -0.472   -0.456967  0.00497591
          92      -0.488   -0.457304  0.00493324
          93       -0.48   -0.457548  0.00488623
          94      -0.544   -0.458468  0.00492004
          95      -0.512   -0.459032  0.00490041
          96      -0.432    -0.45875  0.00485745
          97      -0.512   -0.459299   0.0048383
          98      -0.488   -0.459592  0.00479778
          99       -0.48   -0.459798  0.00475375
         100       -0.44     -0.4596  0.00471033
         101      -0.536   -0.460356  0.00472404
         102      -0.384   -0.459608  0.00473667
         103      -0.408   -0.459107  0.00471711
         104      -0.576   -0.460231  0.00480379
         105      -0.432   -0.459962  0.00476556
         106      -0.496   -0.460302  0.00473271
         107      -0.424   -0.459963  0.00470063
         108       -0.52   -0.460519  0.00468986
         109      -0.472   -0.460624  0.00464801
         110      -0.488   -0.460873  0.00461242
         111      -0.464   -0.460901  0.00457095
         112       -0.52   -0.461429  0.00456049
         113      -0.416   -0.461027  0.00453782
         114       -0.48   -0.461193  0.00450107
         115       -0.36   -0.460313  0.00454713
         116      -0.416   -0.459931  0.00452394
         117      -0.392    -0.45935  0.00452238
         118      -0.464    -0.45939  0.00448423
         119       -0.52   -0.459899  0.00447538
         120       -0.56   -0.460733  0.00451516
         121      -0.504   -0.461091  0.00449198
         122       -0.56   -0.461902  0.00452773
         123      -0.448   -0.461789  0.00449233
         124      -0.448   -0.461677  0.00445748
         125       -0.48   -0.461824  0.00442423
         126      -0.416    -0.46146  0.00440403
         127      -0.408   -0.461039  0.00438943
         128      -0.456      -0.461  0.00435531
         129      -0.536   -0.461581  0.00436018
         130      -0.464     -0.4616  0.00432668
         131      -0.504   -0.461924  0.00430574
         132      -0.384   -0.461333   0.0043134
         133      -0.368   -0.460632  0.00433768
         134      -0.504   -0.460955  0.00431737
         135      -0.456   -0.460919  0.00428554
         136      -0.448   -0.460824  0.00425508
         137      -0.448    -0.46073  0.00422505
         138      -0.472   -0.460812  0.00419523
         139       -0.44   -0.460662  0.00416772
         140      -0.496   -0.460914  0.00414558
         141      -0.496   -0.461163  0.00412364
         142       -0.44   -0.461014   0.0040973
         143      -0.432   -0.460811  0.00407366
         144       -0.44   -0.460667  0.00404794
         145      -0.448   -0.460579  0.00402096
         146      -0.368   -0.459945  0.00404311
         147      -0.472   -0.460027  0.00401644
         148      -0.416    -0.45973   0.0040003
         149      -0.528   -0.460188  0.00399961
         150      -0.448   -0.460107  0.00397377
         151       -0.48   -0.460238  0.00394964
         152       -0.44   -0.460105   0.0039259
         153      -0.456   -0.460078  0.00390033
         154      -0.464   -0.460104  0.00387509
         155      -0.416   -0.459819  0.00386052
         156      -0.376   -0.459282  0.00387298
         157      -0.456   -0.459261  0.00384837
         158      -0.616   -0.460253   0.0039498
         159      -0.504   -0.460528  0.00393453
         160       -0.48    -0.46065  0.00391182
         161       -0.44   -0.460522  0.00388963
         162       -0.48   -0.460642  0.00386748
         163       -0.44   -0.460515  0.00384582
         164      -0.424   -0.460293  0.00382881
         165       -0.52   -0.460655  0.00382267
         166      -0.472   -0.460723  0.00380025
         167      -0.504   -0.460982  0.00378632
         168      -0.448   -0.460905  0.00376457
         169      -0.536   -0.461349  0.00376843
         170       -0.52   -0.461694  0.00376202
         171      -0.384    -0.46124  0.00376736
         172      -0.536   -0.461674  0.00377045
         173      -0.488   -0.461827  0.00375172
         174       -0.36   -0.461241  0.00377552
         175      -0.408   -0.460937  0.00376619
         176      -0.472      -0.461  0.00374531
         177       -0.52   -0.461333  0.00373896
         178       -0.56   -0.461888  0.00375882
         179      -0.464   -0.461899  0.00373784
         180       -0.52   -0.462222  0.00373098
         181      -0.432   -0.462055   0.0037141
         182      -0.384   -0.461626  0.00371837
         183      -0.424   -0.461421  0.00370374
         184       -0.44   -0.461304  0.00368544
         185      -0.432   -0.461146  0.00366892
         186      -0.408    -0.46086   0.0036603
         187      -0.464   -0.460877  0.00364077
         188       -0.44   -0.460766  0.00362309
         189      -0.352    -0.46019  0.00364934
         190      -0.464   -0.460211  0.00363019
         191      -0.536   -0.460607   0.0036328
         192       -0.44     -0.4605  0.00361547
         193      -0.408   -0.460228  0.00360695
         194      -0.456   -0.460206  0.00358843
         195      -0.512   -0.460472  0.00357984
         196      -0.472   -0.460531  0.00356206
         197      -0.424   -0.460345   0.0035488
         198      -0.504   -0.460566  0.00353772
         199      -0.496   -0.460744  0.00352442
         200       -0.44    -0.46064  0.00350833
         201      -0.432   -0.460498  0.00349376
         202      -0.456   -0.460475  0.00347654
         203       -0.48   -0.460571  0.00346074
         204      -0.376   -0.460157  0.00346852
         205      -0.376   -0.459746  0.00347581
         206      -0.368   -0.459301  0.00348735
         207      -0.568   -0.459826  0.00350982
         208      -0.456   -0.459808  0.00349299
         209       -0.36    -0.45933  0.00350877
         210      -0.392    -0.45901  0.00350668
         211       -0.48   -0.459109  0.00349147
         212      -0.496   -0.459283  0.00347934
         213      -0.472   -0.459343  0.00346352
         214      -0.456   -0.459327  0.00344737
         215       -0.48   -0.459423  0.00343267
         216       -0.36   -0.458963   0.0034475
         217      -0.432   -0.458839  0.00343385
         218      -0.456   -0.458826  0.00341813
         219      -0.464   -0.458849   0.0034026
         220      -0.528   -0.459164  0.00340162
         221      -0.472   -0.459222  0.00338673
         222      -0.544   -0.459604  0.00339293
         223       -0.56   -0.460054  0.00340746
         224      -0.472   -0.460107  0.00339266
         225       -0.48   -0.460196  0.00337873
         226       -0.44   -0.460106  0.00336497
