#   N_BLOCK:  ACCEPTANCE:
           1    0.617227
           2     0.61931
           3    0.620002
           4    0.619964
           5    0.620273
           6    0.620181
           7    0.620169
           8    0.620203
           9    0.620197
          10     0.61998
          11    0.619606
          12    0.619334
          13    0.619397
          14    0.619383
          15    0.619384
          16    0.619321
          17    0.619309
          18    0.619315
          19    0.619328
          20    0.619209
          21    0.619231
          22    0.619237
          23    0.619217
          24    0.619156
          25    0.619039
          26    0.619024
          27    0.618939
          28     0.61893
          29    0.618947
          30    0.618985
          31    0.618977
          32     0.61888
          33    0.618775
          34    0.618773
          35    0.618841
          36    0.618841
          37    0.618787
          38    0.618705
          39    0.618726
          40    0.618645
          41    0.618618
          42    0.618723
          43    0.618769
          44     0.61878
          45     0.61877
          46    0.618798
          47    0.618847
          48    0.618852
          49    0.618853
          50    0.618879
