# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546 0.000975852 0.000101533
    0.937179     0.14871 0.000981384
     1.00181     1.06377  0.00331472
     1.06645      2.0419  0.00537797
     1.13108     2.27019   0.0055526
     1.19571      2.0833   0.0049501
     1.26034     1.83282  0.00387644
     1.32498     1.61487  0.00427743
     1.38961     1.45074  0.00308598
     1.45424     1.33549  0.00282685
     1.51888     1.25028  0.00240507
     1.58351     1.18773   0.0024223
     1.64814     1.14379  0.00230972
     1.71278      1.1129  0.00180449
     1.77741     1.08779  0.00175392
     1.84204     1.07514  0.00170966
     1.90667     1.06613  0.00180201
     1.97131     1.06035  0.00142507
     2.03594     1.05673  0.00147996
     2.10057     1.05645  0.00158674
     2.16521     1.05287  0.00142924
     2.22984     1.04756   0.0016466
     2.29447     1.04574  0.00165031
     2.35911     1.03617   0.0010149
     2.42374     1.02956  0.00123986
     2.48837     1.02693  0.00104239
     2.55301      1.0217  0.00100974
     2.61764     1.01378  0.00120951
     2.68227     1.01335  0.00117858
      2.7469     1.01137  0.00102845
     2.81154     1.00667 0.000934517
     2.87617     1.00519 0.000989285
      2.9408     1.00373 0.000973858
     3.00544     1.00276  0.00106461
     3.07007     1.00072 0.000830755
      3.1347    0.997588 0.000799657
     3.19934    0.999076  0.00104052
     3.26397    0.997784 0.000915079
      3.3286    0.996067 0.000758714
     3.39323    0.994611 0.000938182
     3.45787    0.992661 0.000859493
      3.5225      0.9926 0.000797496
     3.58713    0.992965 0.000796939
     3.65177     0.98996 0.000944622
      3.7164     0.99178 0.000675123
     3.78103     0.99065 0.000788705
     3.84567    0.990236 0.000791175
      3.9103    0.989355 0.000781668
     3.97493    0.989246  0.00064284
     4.03957    0.988974 0.000697748
      4.1042    0.988346 0.000705992
     4.16883     0.98857 0.000637946
     4.23346    0.987461 0.000639735
      4.2981    0.987528 0.000819187
     4.36273    0.987079 0.000696813
     4.42736    0.988229 0.000665499
       4.492    0.987434 0.000628281
     4.55663    0.988304 0.000821043
     4.62126    0.987235  0.00064795
      4.6859    0.988949 0.000683548
     4.75053    0.987379 0.000526954
     4.81516    0.985834 0.000508679
     4.87979    0.985899 0.000581682
     4.94443    0.987525 0.000520638
     5.00906    0.986155 0.000607499
     5.07369    0.986627  0.00045689
     5.13833    0.986429 0.000619051
     5.20296    0.986289  0.00063259
     5.26759    0.986443 0.000543625
     5.33223     0.98533 0.000589217
     5.39686    0.986474 0.000476637
     5.46149     0.98674 0.000553031
     5.52612    0.987174 0.000487883
     5.59076    0.986179   0.0005037
     5.65539    0.985937 0.000529901
     5.72002    0.985571 0.000489583
     5.78466    0.986634 0.000558042
     5.84929    0.985543 0.000442239
     5.91392    0.985978 0.000427482
     5.97856    0.986753 0.000470107
     6.04319    0.985546 0.000480769
     6.10782    0.985567 0.000532872
     6.17246    0.986457 0.000429114
     6.23709    0.985445 0.000419311
     6.30172    0.987027 0.000409995
     6.36635    0.986513 0.000464401
     6.43099    0.986878 0.000452441
