#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.417026   -0.417026           0
           2   -0.412808   -0.414917  0.00149105
           3   -0.409935   -0.413256  0.00168124
           4    -0.41652   -0.414072   0.0014454
           5   -0.412953   -0.413848  0.00117354
           6   -0.411495   -0.413456  0.00104142
           7   -0.412215   -0.413279 0.000907609
           8   -0.413428   -0.413298  0.00079435
           9   -0.412332    -0.41319 0.000713291
          10   -0.417111   -0.413582 0.000741921
          11   -0.418936   -0.414069 0.000818708
          12   -0.417511   -0.414356 0.000799148
          13   -0.413602   -0.414298 0.000739776
          14   -0.414232   -0.414293 0.000686949
          15   -0.411232   -0.414089 0.000670792
          16   -0.416419   -0.414235 0.000644475
          17   -0.414477   -0.414249 0.000606722
          18   -0.413729    -0.41422 0.000573703
          19   -0.414842   -0.414253 0.000544441
          20   -0.414269   -0.414254  0.00051722
          21     -0.4156   -0.414318 0.000496548
          22   -0.412227   -0.414223 0.000482989
          23   -0.413802   -0.414204 0.000462336
          24   -0.415038   -0.414239 0.000444374
          25    -0.41579   -0.414301 0.000430906
          26   -0.412589   -0.414235 0.000419336
          27   -0.415752   -0.414291 0.000407551
          28   -0.413549   -0.414265 0.000393856
          29    -0.41352   -0.414239 0.000381112
          30   -0.411576    -0.41415  0.00037861
          31   -0.414031   -0.414147 0.000366416
          32   -0.418968   -0.414297 0.000384698
          33   -0.416726   -0.414371 0.000380015
          34   -0.414797   -0.414383 0.000369045
          35   -0.409688   -0.414249 0.000382105
          36   -0.415041   -0.414271 0.000372122
          37   -0.416674   -0.414336 0.000367688
          38   -0.416377    -0.41439 0.000361913
          39   -0.418884   -0.414505 0.000370527
          40   -0.416499   -0.414555 0.000364603
          41   -0.412604   -0.414507 0.000358803
          42    -0.41085    -0.41442 0.000360674
          43    -0.41205   -0.414365 0.000356472
          44    -0.41418   -0.414361 0.000348395
          45    -0.41408   -0.414355 0.000340709
          46   -0.412044   -0.414305 0.000336986
          47   -0.409633   -0.414205 0.000344162
          48   -0.416333   -0.414249 0.000339836
          49   -0.410828    -0.41418 0.000339997
          50   -0.413155   -0.414159 0.000333814
