#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0490869   0.0490869           0
           2   0.0490939   0.0490904 2.47557e-06
           3   0.0490015   0.0490608  2.4251e-05
           4   0.0489192   0.0490254 3.56524e-05
           5   0.0486779   0.0489559 6.83869e-05
           6   0.0494258   0.0490342 9.14342e-05
           7   0.0490475   0.0490361 7.83918e-05
           8   0.0490164   0.0490336 6.86316e-05
           9   0.0495337   0.0490892 8.04139e-05
          10   0.0492704   0.0491073 7.43867e-05
          11   0.0488987   0.0490884 6.99997e-05
          12   0.0491002   0.0490894 6.41734e-05
          13   0.0494997   0.0491209 6.65485e-05
          14    0.048767   0.0490956 6.64228e-05
          15   0.0493053   0.0491096 6.34483e-05
          16   0.0490782   0.0491077 5.95133e-05
          17   0.0491604   0.0491108 5.60932e-05
          18   0.0491148    0.049111 5.29774e-05
          19   0.0489471   0.0491024  5.0886e-05
          20   0.0493157    0.049113 4.94469e-05
          21   0.0487599   0.0490962 4.98697e-05
          22   0.0490565   0.0490944 4.76355e-05
          23   0.0488747   0.0490848 4.65125e-05
          24   0.0488875   0.0490766 4.52955e-05
          25     0.04902   0.0490744 4.35402e-05
          26   0.0491357   0.0490767 4.19296e-05
          27   0.0485796   0.0490583 4.42353e-05
          28   0.0491361   0.0490611 4.27426e-05
          29   0.0490577    0.049061 4.12689e-05
          30   0.0491717   0.0490647  4.0058e-05
          31   0.0488343   0.0490572 3.94489e-05
          32   0.0485336   0.0490409 4.14716e-05
          33   0.0490851   0.0490422 4.02365e-05
          34   0.0491534   0.0490455 3.91856e-05
          35   0.0492509   0.0490513 3.85033e-05
          36   0.0492123   0.0490558 3.76923e-05
          37   0.0487562   0.0490477 3.75333e-05
          38   0.0493017   0.0490544 3.71361e-05
          39   0.0489112   0.0490507  3.6365e-05
          40   0.0490794   0.0490515 3.54629e-05
          41   0.0489619   0.0490493 3.46652e-05
          42   0.0488558   0.0490447 3.41445e-05
          43   0.0486605   0.0490357 3.44993e-05
          44   0.0488731    0.049032 3.39125e-05
          45   0.0488926   0.0490289    3.33e-05
          46   0.0494893   0.0490389 3.40468e-05
          47   0.0493715    0.049046 3.40499e-05
          48   0.0493839   0.0490531 3.40602e-05
          49   0.0490666   0.0490533 3.33662e-05
          50   0.0485786   0.0490438 3.40232e-05
