#   N_BLOCK:  ACCEPTANCE:
           1    0.510505
           2     0.50965
           3    0.509519
           4     0.51066
           5    0.510253
           6    0.510644
           7    0.511032
           8    0.511511
           9    0.511413
          10     0.51114
          11    0.511276
          12    0.511413
          13    0.510946
          14    0.510837
          15    0.510659
          16    0.510654
          17    0.510675
          18    0.510526
          19    0.510381
          20    0.510582
          21    0.510547
          22    0.510672
          23    0.510778
          24    0.510695
          25    0.510634
          26    0.510541
          27    0.510616
          28    0.510621
          29    0.510538
          30    0.510496
          31    0.510374
          32    0.510417
          33    0.510302
          34    0.510251
          35    0.510235
          36     0.51023
          37    0.510182
          38    0.510164
          39    0.510235
          40    0.510202
          41    0.510229
          42     0.51029
          43    0.510262
          44    0.510235
          45    0.510224
          46    0.510192
          47    0.510173
          48    0.510166
          49    0.510168
          50    0.510183
