# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  6.8083e-06 3.07875e-06
    0.884913  0.00123527 5.82514e-05
    0.910562     0.02393 0.000280922
    0.936212    0.164904  0.00089313
    0.961861    0.561551  0.00177521
    0.987511     1.20004    0.003201
     1.01316     1.85973  0.00310282
     1.03881     2.33663  0.00274987
     1.06446     2.55615  0.00227349
     1.09011     2.55294  0.00242057
     1.11576     2.40728  0.00177161
     1.14141     2.20126  0.00237109
     1.16706     1.97339   0.0025337
     1.19271     1.75607  0.00230639
     1.21836     1.56123  0.00223677
     1.24401     1.38929  0.00237928
     1.26966     1.24408  0.00196929
     1.29531     1.12378  0.00172044
     1.32096     1.02289  0.00145974
     1.34661    0.941319  0.00132706
     1.37226    0.870402  0.00136425
     1.39791     0.81634   0.0010641
     1.42355     0.77113 0.000948754
      1.4492    0.736444  0.00108107
     1.47485    0.711527  0.00105521
      1.5005    0.690291  0.00104273
     1.52615    0.678858   0.0012135
      1.5518    0.672139  0.00127321
     1.57745    0.671201   0.0011621
      1.6031    0.677584  0.00124137
     1.62875    0.686479  0.00105295
      1.6544    0.703461  0.00111177
     1.68005    0.723372  0.00124007
      1.7057    0.750192  0.00120552
     1.73135    0.782356  0.00106017
       1.757    0.814937  0.00121201
     1.78265    0.853269  0.00102011
      1.8083    0.894202  0.00122173
     1.83395    0.935112  0.00117579
      1.8596    0.977641  0.00107564
     1.88525     1.01787  0.00111202
      1.9109     1.05699  0.00105584
     1.93655     1.09496  0.00108895
      1.9622     1.12925   0.0011114
     1.98785      1.1606   0.0012059
      2.0135     1.18733 0.000960319
     2.03915     1.20252 0.000965757
      2.0648     1.21465  0.00108646
     2.09045     1.21569  0.00100629
      2.1161     1.20985  0.00112218
     2.14174     1.19569  0.00110934
     2.16739     1.17545  0.00130282
     2.19304     1.15257  0.00116857
     2.21869     1.12334  0.00126671
     2.24434     1.09603  0.00117243
     2.26999     1.06669  0.00109782
     2.29564     1.03801  0.00119146
     2.32129     1.01158 0.000956134
     2.34694    0.988198 0.000864787
     2.37259    0.965359 0.000943863
     2.39824      0.9467 0.000787468
     2.42389    0.930498 0.000834042
     2.44954    0.917857 0.000852854
     2.47519    0.908648 0.000971981
     2.50084    0.894293 0.000981979
     2.52649    0.885386 0.000973234
     2.55214    0.885712 0.000929629
