#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47563    -5.47563           0
           2    -5.45891    -5.46727  0.00590939
           3    -5.47452    -5.46969  0.00440569
           4    -5.47447    -5.47088  0.00346298
           5    -5.45468    -5.46764  0.00400968
           6    -5.49453    -5.47212  0.00528183
           7      -5.473    -5.47225  0.00452878
           8    -5.49196    -5.47471  0.00458397
           9    -5.46126    -5.47322  0.00431152
          10    -5.46652    -5.47255  0.00393201
          11    -5.47875    -5.47311   0.0036148
          12    -5.46889    -5.47276  0.00333064
          13    -5.43211    -5.46963  0.00429873
          14    -5.45406    -5.46852  0.00413302
          15    -5.45235    -5.46744  0.00399568
          16    -5.47619    -5.46799   0.0037832
          17    -5.46604    -5.46787  0.00356239
          18    -5.43389    -5.46599  0.00383219
          19    -5.45204    -5.46525  0.00370016
          20    -5.49449    -5.46671  0.00379289
          21    -5.48296    -5.46749  0.00369029
          22    -5.49519    -5.46875  0.00373119
          23    -5.48573    -5.46948  0.00364127
          24    -5.46857    -5.46945  0.00348975
          25    -5.45207    -5.46875  0.00341872
          26    -5.45374    -5.46817  0.00333562
          27    -5.46433    -5.46803  0.00321511
          28    -5.46563    -5.46795  0.00310143
          29    -5.46069     -5.4677  0.00300457
          30    -5.47003    -5.46777  0.00290542
          31    -5.43336    -5.46666  0.00301627
          32    -5.47814    -5.46702  0.00294325
          33    -5.44705    -5.46642   0.0029156
          34    -5.46844    -5.46648  0.00283045
          35    -5.45671     -5.4662  0.00276329
          36    -5.45482    -5.46588  0.00270455
          37     -5.4597    -5.46571  0.00263661
          38    -5.46045    -5.46558  0.00257086
          39    -5.48206      -5.466  0.00253944
          40    -5.46561    -5.46599  0.00247597
          41    -5.49052    -5.46659   0.0024868
          42    -5.47348    -5.46675    0.002433
          43    -5.44186    -5.46617  0.00244433
          44    -5.46122    -5.46606  0.00239136
          45    -5.46381    -5.46601  0.00233874
          46     -5.4638    -5.46596  0.00228839
          47    -5.45405    -5.46571  0.00225369
          48    -5.48304    -5.46607  0.00223548
          49    -5.46543    -5.46606   0.0021899
          50    -5.46146    -5.46596  0.00214802
