#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.34588     1.34588           0
           2     1.42751      1.3867   0.0288599
           3     1.37304     1.38214   0.0195959
           4     1.32283     1.36731   0.0195172
           5     1.43949     1.38175   0.0202608
           6     1.22579     1.35576   0.0291226
           7     1.33894     1.35335    0.025061
           8     1.24041     1.33924   0.0255978
           9     1.39766     1.34573   0.0235624
          10     1.41361     1.35252   0.0221625
          11     1.32496     1.35001   0.0202888
          12     1.35963     1.35081   0.0186139
          13     1.55829     1.36677   0.0230293
          14     1.45069     1.37277   0.0221507
          15     1.43828     1.37714   0.0211002
          16     1.36408     1.37632   0.0197973
          17      1.3692      1.3759   0.0186371
          18     1.54377     1.38523   0.0197982
          19     1.43478     1.38783   0.0189272
          20     1.25254     1.38107   0.0191516
          21     1.29492     1.37697   0.0186739
          22     1.23159     1.37036   0.0189582
          23     1.26471     1.36577   0.0186821
          24     1.38401     1.36653   0.0179192
          25     1.45871     1.37021   0.0175777
          26     1.46018     1.37367   0.0172388
          27     1.38294     1.37402   0.0166038
          28     1.37765     1.37415   0.0160113
          29     1.40958     1.37537   0.0155057
          30     1.40044      1.3762   0.0150114
          31     1.54139     1.38153   0.0154439
          32      1.3347     1.38007   0.0150305
          33      1.4787     1.38306   0.0148692
          34     1.36105     1.38241   0.0144459
          35     1.42111     1.38352   0.0140755
          36     1.47465     1.38605   0.0139102
          37     1.41397      1.3868   0.0135547
          38     1.44794     1.38841   0.0132932
          39     1.31097     1.38643   0.0130998
          40     1.41929     1.38725   0.0127981
          41     1.25266     1.38396      0.0129
          42     1.33753     1.38286   0.0126401
          43     1.50699     1.38575   0.0126716
          44     1.42713     1.38669   0.0124184
          45     1.40516      1.3871   0.0121492
          46     1.41265     1.38765   0.0118978
          47     1.47788     1.38957   0.0117985
          48     1.32749     1.38828   0.0116234
          49     1.41839     1.38889   0.0114024
          50     1.42178     1.38955   0.0111933
