#   N_BLOCK:  ACCEPTANCE:
           1    0.508537
           2     0.50875
           3    0.508284
           4    0.508749
           5    0.508617
           6    0.508705
           7    0.508912
           8     0.50888
           9    0.508909
          10    0.508951
          11    0.508905
          12    0.508958
          13    0.508861
          14    0.508787
          15    0.508656
          16    0.508688
          17    0.508712
          18    0.508749
          19    0.508788
          20    0.508818
          21    0.508722
          22    0.508775
          23     0.50871
          24    0.508668
          25    0.508713
          26    0.508649
          27    0.508665
          28    0.508627
          29    0.508663
          30    0.508622
          31    0.508592
          32    0.508636
          33    0.508674
          34    0.508617
          35    0.508652
          36    0.508685
          37     0.50864
          38    0.508666
          39    0.508642
          40    0.508634
          41    0.508625
          42    0.508641
          43    0.508689
          44    0.508657
          45    0.508649
          46    0.508633
          47    0.508632
          48    0.508625
          49      0.5086
          50    0.508622
