# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058 9.05778e-05 1.45133e-05
    0.911124  0.00313557 7.46289e-05
     0.93419   0.0467681 0.000358545
    0.957257     0.29247  0.00120369
    0.980323     1.00836  0.00174022
     1.00339     2.24158  0.00289374
     1.02646     3.62558  0.00193456
     1.04952     4.61917  0.00207619
     1.07259     4.89359  0.00341191
     1.09566     4.49002  0.00324083
     1.11872     3.66012  0.00308173
     1.14179     2.69655  0.00190732
     1.16485     1.81754  0.00168381
     1.18792     1.12976  0.00118883
     1.21099    0.653334   0.0011082
     1.23405    0.352731  0.00115163
     1.25712    0.179013   0.0008509
     1.28019   0.0889598 0.000685773
     1.30325   0.0491209 0.000462859
     1.32632    0.042537  0.00039477
     1.34939   0.0604537  0.00043862
     1.37245    0.106056 0.000572922
     1.39552    0.184743 0.000613271
     1.41859    0.300363 0.000674665
     1.44165    0.453773 0.000625995
     1.46472    0.626749 0.000734228
     1.48778     0.79697 0.000841822
     1.51085    0.922267  0.00105573
     1.53392    0.971114  0.00124309
     1.55698    0.928915  0.00109915
     1.58005     0.80847  0.00107848
     1.60312    0.640707 0.000610458
     1.62618    0.465519 0.000513968
     1.64925    0.317173 0.000645096
     1.67232    0.218812 0.000698853
     1.69538    0.191917 0.000912315
     1.71845    0.254615  0.00107242
     1.74152     0.43315   0.0012221
     1.76458    0.749717   0.0012832
     1.78765     1.19832  0.00116579
     1.81071     1.72753 0.000735335
     1.83378      2.2357  0.00131553
     1.85685      2.5973  0.00216488
     1.87991     2.71609  0.00231511
     1.90298     2.55688  0.00236812
     1.92605     2.18157  0.00158804
     1.94911      1.6899 0.000967528
     1.97218     1.20006 0.000814421
     1.99525    0.800879  0.00113233
     2.01831     0.54194  0.00134807
     2.04138    0.433892  0.00136465
     2.06445    0.460543   0.0011075
     2.08751    0.586675 0.000747104
     2.11058     0.75829 0.000480519
     2.13364    0.917493 0.000559698
     2.15671      1.0149 0.000917995
     2.17978     1.02314 0.000919148
     2.20284     0.91964 0.000800101
     2.22591    0.780483 0.000526949
     2.24898    0.653252 0.000718538
     2.27204    0.572314 0.000999597
     2.29511    0.572787  0.00129171
