#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54065    -7.54065           0
           2    -7.55389    -7.54727  0.00467789
           3    -7.53302    -7.54252   0.0049764
           4    -7.54816    -7.54393  0.00392685
           5    -7.54673    -7.54449  0.00318126
           6    -7.56844    -7.54848   0.0045067
           7    -7.54588    -7.54811  0.00387819
           8    -7.53933    -7.54701   0.0035453
           9    -7.54091    -7.54634  0.00321549
          10    -7.54384    -7.54609  0.00290358
          11    -7.54543    -7.54603  0.00264024
          12     -7.5411    -7.54562  0.00245196
          13    -7.53672    -7.54493  0.00235691
          14    -7.54642    -7.54504  0.00219097
          15     -7.5348    -7.54436  0.00214853
          16    -7.55508    -7.54503  0.00211615
          17     -7.5601    -7.54591   0.0021695
          18    -7.52618    -7.54482   0.0023095
          19     -7.5498    -7.54508   0.0022028
          20    -7.55681    -7.54566  0.00216934
          21    -7.54899    -7.54582  0.00207181
          22    -7.54694    -7.54587  0.00197826
          23    -7.54132    -7.54568  0.00190215
          24    -7.53699    -7.54531  0.00185697
          25     -7.5548    -7.54569  0.00182103
          26    -7.52935    -7.54507  0.00185627
          27    -7.55626    -7.54548   0.0018332
          28    -7.54711    -7.54554  0.00176865
          29    -7.53656    -7.54523  0.00173453
          30    -7.53989    -7.54505  0.00168583
          31    -7.54965     -7.5452  0.00163796
          32    -7.56471    -7.54581  0.00169644
          33    -7.54234     -7.5457  0.00164828
          34    -7.55614    -7.54601  0.00162813
          35    -7.54002    -7.54584  0.00159059
          36    -7.54684    -7.54587  0.00154665
          37    -7.54811    -7.54593  0.00150603
          38    -7.54143    -7.54581  0.00147105
          39    -7.55243    -7.54598   0.0014431
          40    -7.56286     -7.5464   0.0014674
          41    -7.55947    -7.54672  0.00146582
          42    -7.54658    -7.54672  0.00143092
          43    -7.54515    -7.54668  0.00139811
          44    -7.54843    -7.54672   0.0013669
          45    -7.55977    -7.54701  0.00136692
          46    -7.54685    -7.54701  0.00133721
          47    -7.54146    -7.54689  0.00131396
          48    -7.56006    -7.54716  0.00131493
          49    -7.54352    -7.54709   0.0012902
          50    -7.54052    -7.54696  0.00127107
