#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.62932     7.62932           0
           2     7.55526     7.59229   0.0261846
           3     7.67138     7.61865    0.027715
           4     7.58581     7.61044   0.0219688
           5     7.59434     7.60722   0.0178095
           6     7.47186     7.58466   0.0253851
           7     7.59329     7.58589   0.0217885
           8     7.63508     7.59204   0.0199136
           9     7.62618     7.59584   0.0180586
          10     7.60855     7.59711   0.0162974
          11     7.59788     7.59718   0.0148159
          12     7.62231     7.59927   0.0137285
          13     7.65026     7.60319   0.0132209
          14     7.59612     7.60269   0.0122862
          15     7.65956     7.60648   0.0120379
          16     7.54879     7.60287   0.0118133
          17     7.51759     7.59786   0.0121369
          18     7.70453     7.60378   0.0128282
          19     7.57574     7.60231   0.0122376
          20     7.53747     7.59907   0.0120475
          21     7.57656     7.59799   0.0115213
          22     7.59269     7.59775   0.0110002
          23     7.62188      7.5988   0.0105718
          24     7.64532     7.60074   0.0103075
          25     7.54699     7.59859   0.0101169
          26     7.68803     7.60203   0.0102961
          27     7.54056     7.59975   0.0101633
          28     7.59357     7.59953  0.00980275
          29      7.6472     7.60118  0.00960156
          30     7.63143     7.60219  0.00933432
          31     7.57621     7.60135  0.00907074
          32     7.49495     7.59802  0.00937683
          33     7.61783     7.59862  0.00911188
          34     7.54188     7.59695  0.00899542
          35     7.63119     7.59793  0.00879143
          36      7.5919     7.59776  0.00854882
          37     7.58775     7.59749  0.00832206
          38     7.61999     7.59809  0.00812407
          39     7.55592       7.597  0.00798738
          40      7.5067     7.59475  0.00810045
          41     7.52509     7.59305  0.00807906
          42     7.59401     7.59307  0.00788673
          43      7.6023     7.59329  0.00770624
          44      7.5853      7.5931  0.00753324
          45     7.51973     7.59147  0.00754024
          46     7.59158     7.59148  0.00737632
          47     7.62315     7.59215   0.0072501
          48       7.519     7.59063  0.00725744
          49     7.61364      7.5911   0.0071245
          50     7.62206     7.59171  0.00700887
