# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546  0.00225105 0.000552493
    0.937179    0.163709  0.00832088
     1.00181     1.07042    0.028893
     1.06645     1.95148   0.0394354
     1.13108     2.10555   0.0395524
     1.19571     2.01055   0.0367714
     1.26034     1.75341   0.0321012
     1.32498     1.53791    0.033842
     1.38961     1.38401   0.0292488
     1.45424     1.24899    0.025117
     1.51888     1.19265   0.0233678
     1.58351     1.15972   0.0217537
     1.64814     1.10585   0.0225591
     1.71278     1.09653    0.020748
     1.77741     1.09738   0.0162204
     1.84204     1.09003   0.0175306
     1.90667     1.09881    0.017644
     1.97131     1.08649   0.0148934
     2.03594     1.06625   0.0174138
     2.10057     1.08094   0.0164986
     2.16521     1.06717   0.0178816
     2.22984     1.05455   0.0195549
     2.29447     1.04304   0.0212204
     2.35911     1.02925   0.0175897
     2.42374     1.02495   0.0166871
     2.48837     1.04151   0.0160979
     2.55301     1.03174   0.0158101
     2.61764     1.02303   0.0129276
     2.68227     1.02453   0.0113588
      2.7469     1.00156   0.0120569
     2.81154    0.987252   0.0119337
     2.87617     1.00902   0.0115408
      2.9408     1.00118   0.0110557
     3.00544     1.00569    0.010451
     3.07007     1.01767   0.0120348
      3.1347      1.0128  0.00960631
     3.19934     1.01248   0.0101518
     3.26397     1.00524   0.0109794
      3.3286    0.996629    0.011955
     3.39323    0.992302   0.0103775
     3.45787     1.00233   0.0107844
      3.5225    0.995199  0.00901706
     3.58713     1.00416  0.00929933
     3.65177    0.988152  0.00989709
      3.7164    0.992506  0.00869708
     3.78103    0.984179  0.00748174
     3.84567    0.984864   0.0088579
      3.9103    0.984251  0.00854922
     3.97493    0.994763  0.00793654
     4.03957    0.983525  0.00785185
      4.1042    0.973498    0.006614
     4.16883    0.976722  0.00730996
     4.23346    0.984749  0.00732641
      4.2981    0.992007  0.00700718
     4.36273    0.987051  0.00841415
     4.42736       0.996  0.00764151
       4.492    0.987202  0.00680552
     4.55663    0.974469  0.00646389
     4.62126    0.976775  0.00697682
      4.6859    0.979864  0.00677729
     4.75053    0.987445   0.0054013
     4.81516    0.983892  0.00654624
     4.87979    0.985774  0.00749251
     4.94443    0.987707  0.00599014
     5.00906    0.983346  0.00628622
     5.07369    0.981212  0.00710667
     5.13833    0.975278  0.00732855
     5.20296    0.989781  0.00652562
     5.26759    0.989032  0.00721665
     5.33223    0.987654  0.00683808
     5.39686     0.98183  0.00549352
     5.46149    0.990621  0.00599704
     5.52612    0.982178  0.00560059
     5.59076    0.982471  0.00634666
     5.65539     0.99325  0.00493048
     5.72002    0.985827  0.00562083
     5.78466    0.992174  0.00548995
     5.84929    0.993993  0.00567849
     5.91392    0.995052  0.00592221
     5.97856    0.987807  0.00644014
     6.04319    0.980779  0.00540473
     6.10782    0.984781  0.00508522
     6.17246    0.984428  0.00474723
     6.23709     0.99047  0.00523197
     6.30172    0.993177   0.0055673
     6.36635    0.989061    0.004821
     6.43099    0.986507  0.00445951
