# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00140217 0.000168808
    0.910562   0.0253599  0.00105877
    0.936212    0.168451  0.00224502
    0.961861    0.576491  0.00417208
    0.987511     1.21782   0.0067895
     1.01316     1.89082  0.00928142
     1.03881     2.34216   0.0107546
     1.06446     2.56083   0.0109876
     1.09011     2.54891  0.00709982
     1.11576     2.40678  0.00780106
     1.14141     2.19829  0.00868414
     1.16706     1.96435  0.00798109
     1.19271     1.74958  0.00789844
     1.21836     1.55346  0.00779051
     1.24401     1.36885  0.00731362
     1.26966     1.22931  0.00713254
     1.29531     1.10787  0.00649743
     1.32096     1.01933  0.00647635
     1.34661    0.929677  0.00464986
     1.37226    0.865066  0.00432862
     1.39791    0.813378  0.00532661
     1.42355    0.771525  0.00459651
      1.4492    0.731167   0.0046551
     1.47485     0.70553  0.00453836
      1.5005    0.687299  0.00375373
     1.52615    0.674922  0.00442498
      1.5518    0.673363  0.00487211
     1.57745    0.680589  0.00475976
      1.6031    0.683531  0.00513336
     1.62875    0.696089  0.00457688
      1.6544    0.714737  0.00449182
     1.68005    0.737471  0.00439613
      1.7057    0.755578   0.0033921
     1.73135    0.779861  0.00333116
       1.757    0.819213   0.0034922
     1.78265    0.857036  0.00440372
      1.8083    0.899816  0.00502014
     1.83395    0.935479  0.00447561
      1.8596    0.979443  0.00408912
     1.88525     1.01813  0.00478628
      1.9109     1.06969  0.00479653
     1.93655     1.09946   0.0040902
      1.9622     1.12661   0.0036622
     1.98785     1.15961  0.00365887
      2.0135     1.18855  0.00330984
     2.03915     1.20835  0.00377368
      2.0648     1.21704  0.00384905
     2.09045     1.21833  0.00445456
      2.1161     1.20786  0.00378342
     2.14174     1.19078  0.00417026
     2.16739     1.16653  0.00399654
     2.19304     1.14446  0.00406322
     2.21869     1.11374  0.00363371
     2.24434     1.08401  0.00369192
     2.26999     1.05501  0.00314297
     2.29564     1.03313  0.00323445
     2.32129     1.00668  0.00324031
     2.34694     0.97916  0.00418688
     2.37259    0.959241  0.00337131
     2.39824    0.943206  0.00327596
     2.42389     0.92794  0.00286049
     2.44954    0.917719  0.00277253
     2.47519    0.902333  0.00292378
     2.50084    0.893054  0.00238669
     2.52649    0.890851  0.00251919
     2.55214    0.891921  0.00323736
