# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058 6.84857e-05 3.86035e-05
    0.911124  0.00335385 0.000255179
     0.93419   0.0498186  0.00124912
    0.957257    0.315008  0.00260921
    0.980323     1.05321  0.00412199
     1.00339     2.28978   0.0074413
     1.02646     3.64675  0.00859307
     1.04952      4.5642  0.00965217
     1.07259     4.81933   0.0079592
     1.09566     4.42651    0.010604
     1.11872     3.63002   0.0094621
     1.14179     2.68811  0.00865633
     1.16485     1.82488  0.00560431
     1.18792     1.14895   0.0045559
     1.21099    0.681132  0.00326646
     1.23405    0.369059  0.00244169
     1.25712     0.18925  0.00210116
     1.28019   0.0947206  0.00146099
     1.30325   0.0544207  0.00128928
     1.32632   0.0458801  0.00108364
     1.34939   0.0647731   0.0014327
     1.37245    0.112668  0.00166463
     1.39552    0.193488  0.00211205
     1.41859    0.305958  0.00245702
     1.44165    0.460471   0.0024968
     1.46472    0.626776  0.00273005
     1.48778    0.790083  0.00352686
     1.51085    0.908596  0.00450483
     1.53392    0.949454  0.00495237
     1.55698    0.909748  0.00450265
     1.58005    0.800297  0.00403816
     1.60312    0.642629  0.00209827
     1.62618    0.470856  0.00244788
     1.64925    0.324667  0.00215731
     1.67232    0.229279  0.00243022
     1.69538     0.20467  0.00188518
     1.71845     0.27184  0.00283116
     1.74152    0.454655  0.00355075
     1.76458    0.777846  0.00368189
     1.78765     1.21642  0.00339569
     1.81071     1.73089  0.00386817
     1.83378     2.21401  0.00426699
     1.85685     2.55009  0.00630723
     1.87991     2.66876  0.00580419
     1.90298      2.5216  0.00540565
     1.92605     2.16027  0.00452306
     1.94911     1.68852   0.0040398
     1.97218     1.21766  0.00355969
     1.99525    0.826537  0.00317025
     2.01831    0.568539  0.00293098
     2.04138    0.455105  0.00295911
     2.06445    0.480119  0.00282278
     2.08751    0.598491  0.00249065
     2.11058    0.756237  0.00188295
     2.13364    0.909337   0.0024468
     2.15671    0.990094  0.00301301
     2.17978    0.989789  0.00304334
     2.20284    0.911075  0.00226126
     2.22591    0.791262  0.00208485
     2.24898    0.668105  0.00296905
     2.27204    0.588788   0.0030231
     2.29511    0.591158  0.00334372
