#     STEP_SA:   ENERGY:    ERROR:      MU:      SIGMA:      BETA:      ACC_SA:      ACC_X:
           0    0.873644   0.0445717     1.33076    0.583102           1         0.5     0.51642
           1   -0.325614   0.0155178    0.800575    0.516269        1.05           1     0.48458
           2     3.97048    0.295015    0.280097    0.185697      1.1025         0.7     0.33445
           3   -0.196545   0.0204937    0.840915    0.482952     1.15763         0.5     0.39908
           4    0.153809   0.0219665    0.215601    0.610749     1.21551         0.8     0.58787
           5    0.883464   0.0765256    -1.06962    0.331261     1.27628         0.9     0.46032
           6   -0.144177    0.020991   -0.887988    0.471434      1.3401         0.8     0.32724
           7   -0.202855   0.0206496    -1.04077    0.610792      1.4071           1     0.58419
           8   -0.433115  0.00627589   -0.742356    0.608422     1.47746         0.8     0.61053
           9   -0.374582   0.0227393   -0.817422    0.713538     1.55133         0.7      0.6149
          10    0.314733   0.0379938   -0.915341    0.395858     1.62889         0.8     0.55482
          11  -0.0427091   0.0176158    0.422185    0.601492     1.71034           1     0.43584
          12   0.0902819   0.0363592    0.926923    0.424651     1.79586         0.8     0.49337
          13   -0.444437  0.00721724    0.824552    0.587437     1.88565         0.8     0.61402
          14   -0.160795   0.0184829     0.94264    0.485954     1.97993         0.5     0.48138
          15   -0.313948   0.0195625    0.963716    0.642674     2.07893         0.6     0.51109
          16    -0.23018   0.0348831    0.743155    0.894352     2.18287         0.7     0.65739
          17  -0.0798896   0.0166136    0.232123     0.74219     2.29202         0.8     0.67847
          18   -0.152588   0.0583257   0.0701158     1.16274     2.40662           1     0.60786
          19   -0.242305   0.0243894     0.18039      1.0458     2.52695         0.9     0.64971
          20    0.328255    0.101176    0.475244     1.27234      2.6533         0.9     0.64816
          21    0.041429   0.0651077    0.597663     1.12922     2.78596         0.5     0.71187
          22   0.0800689   0.0807535    0.765825    0.978954     2.92526         0.8     0.70552
          23   -0.246086      0.0292    0.282458     1.10442     3.07152         0.9     0.71186
          24   -0.283484   0.0139847   -0.191072    0.940531      3.2251         0.8     0.63834
          25   -0.254509   0.0343977   -0.624976    0.864949     3.38635         0.9     0.64675
          26   -0.284806   0.0250539   -0.496276    0.869358     3.55567         0.9     0.66948
          27   -0.280883   0.0127003   -0.442274    0.824443     3.73346         0.8     0.63366
          28    -0.27668   0.0128504   -0.404615    0.869949     3.92013         0.8     0.62262
          29   -0.266606   0.0196713    0.202816    0.998873     4.11614         0.9     0.57766
          30  0.00125326   0.0156915    0.214306    0.716735     4.32194         0.8     0.54358
          31    -0.24198   0.0148334    0.244449    0.900126     4.53804         0.9      0.5714
          32   -0.235043   0.0299379    0.284487     1.04992     4.76494         0.9     0.62866
          33  -0.0232647   0.0669807    0.192885      1.2198     5.00319           1      0.6678
          34  -0.0527375   0.0632721    0.394174     1.12467     5.25335         0.6      0.6808
          35    -0.27724   0.0141948    0.495328    0.863811     5.51602         0.7     0.64693
          36    0.199685    0.025452    0.284759    0.587551     5.79182         0.8     0.57558
          37   -0.406131   0.0123019     0.89982    0.650595     6.08141         0.4     0.59711
          38   -0.149893   0.0149139    0.308342    0.770032     6.38548         0.7     0.59346
          39   -0.251019   0.0267686    -0.33057    0.950993     6.70475         0.8     0.56783
          40   -0.265169   0.0300777   -0.590726    0.929079     7.03999         0.7     0.61492
          41   -0.213435   0.0127804    0.168848    0.891907     7.39199         0.9     0.58553
          42   -0.222593    0.031011    0.515348    0.982879     7.76159           1     0.59791
          43   -0.376913  0.00811955    0.646119     0.69494     8.14967         0.8       0.626
          44   -0.257421   0.0229778    0.263318    0.986385     8.55715         0.8     0.60709
          45   -0.259374   0.0189174    0.356866     0.97274     8.98501         0.8     0.62607
          46   -0.261233   0.0200309   -0.117808     1.12439     9.43426         0.8     0.64479
          47   -0.249743   0.0138954   -0.414081    0.832213     9.90597         0.8     0.62519
          48   -0.259745   0.0191314   -0.263892    0.932051     10.4013           1     0.63289
          49   -0.244741   0.0263545   -0.196042    0.960383     10.9213         0.7     0.60499
          50    -0.24447   0.0248121   -0.363776    0.922525     11.4674         0.9     0.62753
          51   -0.295172   0.0155583   -0.528577    0.834193     12.0408         0.4     0.66974
          52   -0.163487    0.012982   -0.241728    0.816021     12.6428         0.5     0.55305
          53   -0.164159   0.0150118   0.0437523    0.850817     13.2749         0.7     0.56275
          54    -0.25283   0.0152984   0.0725809    0.981953     13.9387         0.6     0.58091
          55   -0.265569   0.0172379   0.0593593      1.0386     14.6356         0.3      0.6519
          56  -0.0110672   0.0895208   -0.326654     1.11152     15.3674         0.5     0.64233
          57   -0.241153   0.0287982   -0.377107       1.023     16.1358         0.7     0.64517
          58   -0.252099   0.0218337   -0.334592    0.991379     16.9426         0.6     0.63635
          59   -0.246074   0.0147442    -0.13228    0.945724     17.7897         0.6     0.60974
          60    -0.25435   0.0145044   -0.319086    0.870458     18.6792         0.4     0.59885
          61    -0.28556   0.0153684   -0.238465    0.985013     19.6131         0.6     0.60594
          62   -0.224883    0.013177   0.0725584    0.928162     20.5938         0.3     0.55838
          63   -0.248204   0.0411839   -0.824126    0.779163     21.6235         0.4     0.60684
          64   -0.397367   0.0114249   -0.748292    0.762029     22.7047         0.2     0.67736
          65   -0.419025   0.0130601   -0.822572    0.641511     23.8399         0.5     0.67237
          66   -0.404529    0.006835   -0.695135    0.636366     25.0319         0.3     0.66195
          67   -0.382184   0.0107443   -0.659487    0.690105     26.2835         0.6     0.65743
          68   -0.350058   0.0216486   -0.677861    0.760873     27.5977         0.4     0.65598
          69   -0.406956   0.0070658   -0.692432    0.642238     28.9775         0.3     0.67617
          70   -0.452091  0.00671141   -0.814411    0.625656     30.4264         0.3     0.63783
          71   -0.452091  0.00671141   -0.814411    0.625656     31.9477           0     0.62942
          72   -0.379397  0.00934756   -0.880979    0.554117     33.5451         0.4     0.62146
          73   -0.382382    0.009822   -0.711859    0.551727     35.2224         0.4     0.57135
          74   -0.416976   0.0078758   -0.790242    0.572493     36.9835         0.3      0.5594
          75   -0.435158  0.00941506   -0.776262    0.577328     38.8327         0.1     0.62411
          76   -0.426063   0.0109834   -0.792001    0.616206     40.7743         0.1      0.6358
          77   -0.424933  0.00954597   -0.888205     0.63149      42.813         0.1     0.64014
          78   -0.419251   0.0105817   -0.777634    0.660623     44.9537         0.2     0.63122
          79   -0.414951  0.00855998   -0.873107    0.571956     47.2014         0.1     0.65263
          80   -0.421134   0.0150874   -0.873578    0.650947     49.5614         0.2     0.63011
          81   -0.398747  0.00709678   -0.690396    0.638046     52.0395         0.1     0.63133
          82   -0.435091   0.0112207   -0.834058    0.667102     54.6415         0.3     0.63663
          83   -0.437585   0.0135812   -0.827759    0.604188     57.3736         0.2     0.67428
          84    -0.40738  0.00708263   -0.708012    0.593441     60.2422         0.2     0.64799
          85   -0.407821  0.00903051   -0.711045    0.668307     63.2544         0.1     0.65107
          86   -0.410325  0.00817961   -0.705014    0.658944     66.4171         0.2     0.63701
          87   -0.437046   0.0101167   -0.811645    0.664025     69.7379         0.1     0.63084
          88   -0.437046   0.0101167   -0.811645    0.664025     73.2248           0     0.64723
          89   -0.441662   0.0101061   -0.821807     0.68051     76.8861         0.1     0.66674
          90    -0.45418  0.00627215   -0.772717    0.602858     80.7304         0.1     0.61969
          91    -0.45418  0.00627215   -0.772717    0.602858     84.7669           0     0.67687
          92   -0.444073  0.00843698   -0.779303     0.67235     89.0052         0.2     0.66045
          93   -0.444073  0.00843698   -0.779303     0.67235     93.4555           0     0.62721
          94   -0.444073  0.00843698   -0.779303     0.67235     98.1283           0     0.64131
          95   -0.438743   0.0113378   -0.817863    0.629732     103.035         0.3     0.65102
          96   -0.428733  0.00774881   -0.750997    0.615011     108.186         0.1     0.63119
          97    -0.44398  0.00912924   -0.803583    0.655452     113.596         0.3     0.66433
          98    -0.44398  0.00912924   -0.803583    0.655452     119.276           0     0.64964
          99    -0.44398  0.00912924   -0.803583    0.655452     125.239           0     0.63621
         100    -0.44398  0.00912924   -0.803583    0.655452     131.501           0     0.65024
         101   -0.426151  0.00908444    -0.75645     0.57988     138.076         0.1     0.61432
         102   -0.441551   0.0102159   -0.857053    0.612108      144.98         0.1     0.62761
         103   -0.442104  0.00777607   -0.765192    0.590982     152.229         0.1     0.61335
         104   -0.442104  0.00777607   -0.765192    0.590982     159.841           0     0.63508
         105   -0.442056  0.00696761   -0.737932    0.625607     167.833         0.1     0.63497
         106   -0.442056  0.00696761   -0.737932    0.625607     176.224           0     0.66299
         107   -0.442056  0.00696761   -0.737932    0.625607     185.035           0     0.62017
         108   -0.442056  0.00696761   -0.737932    0.625607     194.287           0     0.62249
