#     GENERATION:   L1:   BEST HALF <L1>:
           0     32.2151     39.8954
           1     31.6063     36.9492
           2     29.8562     35.5195
           3     29.6061     33.0184
           4     26.8639     31.3293
           5     26.8639     29.6466
           6     24.0804     28.6179
           7     24.0804     27.6131
           8     24.0804      26.671
           9     21.8943     25.3024
          10      21.424      24.748
          11     21.2047     23.5834
          12     21.2047     22.8446
          13     21.2047     22.3962
          14      20.632     21.5256
          15     19.4796     21.2682
          16     19.2602       21.01
          17     18.2803     20.4464
          18     18.2803      19.658
          19     18.1233      19.079
          20     18.1233     18.8641
          21     18.1233     18.5736
          22     17.8667      18.254
          23     17.8325     18.0969
          24      17.562     17.9961
          25     17.2481     17.8606
          26     17.2481     17.6117
          27     15.5359     17.4985
          28     15.5359     17.1819
          29     15.5359     16.6266
          30     15.2922      16.053
          31     15.2922     15.9523
          32     15.2922     15.5792
          33     15.2255      15.405
          34     15.2255     15.3564
          35     15.2255     15.3054
          36     14.8898     15.2922
          37     14.5154     15.2953
          38      14.113     15.0838
          39      14.113     14.8518
          40      14.113     14.9197
          41     14.1028      14.797
          42     14.1028      14.506
          43     14.1028     14.3764
          44     13.9549     14.4372
          45     13.9549     14.3688
          46     13.9549     14.0718
          47     13.9549     14.0263
          48     13.9549     13.9726
          49     13.9549     13.9549
          50     13.5582      13.947
          51     13.5582     13.9231
          52     13.5434     13.8038
          53     13.5434     13.6369
          54     13.5434      13.554
          55     13.5434     13.5508
          56     13.5434     13.5499
          57     13.0623     13.5425
          58     13.0623     13.5237
          59     13.0623     13.3816
          60     13.0623     13.2583
          61     13.0476     13.1748
          62     13.0476     13.0718
          63     13.0476     13.0579
          64     13.0476     13.0541
          65     13.0476     13.0517
          66     12.2714     13.0297
          67     12.2714     12.9436
          68     12.2714     12.7044
          69     12.2714     12.6352
          70      12.256     12.3466
          71      12.256      12.268
          72      12.256     12.2637
          73      12.256     12.2624
          74      12.256     12.4419
          75      12.256     12.5913
          76      12.256     12.2938
          77     11.9528     12.2598
          78     11.9528     12.2199
          79     11.4791     12.1607
          80     11.4791     11.9813
          81     10.5762     11.7969
          82     10.5762     11.4144
          83     10.1421     10.9705
          84     10.1421     10.6798
          85     10.1421     10.4649
          86     10.1421     10.2984
          87     10.1421     10.2028
          88     10.1421     10.1855
          89     10.1421     10.1421
          90     10.1421     10.1421
          91     10.1421     10.1421
          92     10.1421     10.1421
          93     10.1421     10.1421
          94     10.1421     10.1421
          95     10.1421     10.1421
          96     10.1421     10.1421
          97     10.1421     10.1421
          98     10.1421     10.1421
          99     10.1421     10.1421
         100     10.1421     10.1421
         101     10.0657     10.1405
         102     10.0657     10.1391
         103     10.0657     10.1303
         104     9.99612     10.1104
         105     9.99612     10.0882
         106     7.05197     9.98651
         107     6.97561     9.49653
         108     6.97561     7.97526
         109     6.95142     7.49659
         110     6.87506     6.97133
         111     6.87506     6.94124
         112     6.87506     6.91302
         113     6.87506      6.8827
         114     6.87506     6.87506
         115     6.87506     6.87506
         116     6.87506     6.87506
         117     6.87506     6.87506
         118     6.87506     6.87506
         119     6.87506     6.87506
         120     6.87506     6.87506
         121     6.87506     6.87506
         122     6.87506     6.87506
         123     6.87506     6.87506
         124     6.87506     6.87506
         125     6.87506     6.87506
         126     6.87506     6.87506
         127     6.87506     6.87506
         128     6.87506     6.87506
         129     6.87506     6.87506
         130     6.87506     6.87506
         131     6.87506     6.87506
         132     6.87506     6.87506
         133     6.87506     6.87506
         134     6.87506     6.87506
         135     6.87506     6.87506
         136     6.87506     6.87506
         137     6.87506     6.87506
         138     6.87506     6.87506
         139     6.87506     6.87506
         140     6.87506     6.87506
         141     6.87506     6.87506
         142     6.87506     6.87506
         143     6.87506     6.87506
         144     6.87506     6.87506
         145     6.87506     6.87506
         146     6.87506     6.87506
         147     6.87506     6.95743
         148     6.87506     6.89098
         149     6.87506     6.87506
         150     6.87506     6.87506
         151     6.87506     6.87506
         152     6.87506     6.87506
         153     6.85989     6.87475
         154     6.85989     6.87202
         155     6.62914     6.86377
         156     6.62914     6.80414
         157     6.62914     6.71682
         158     6.62914     6.66606
         159     6.62914     6.62953
         160     6.62914     6.62914
         161     6.62914     6.62914
         162     6.62914     6.62914
         163     6.62914     6.62914
         164     6.62914     6.62914
         165     6.62914     6.62914
         166     6.62914     6.62914
         167     6.62914     6.62914
         168     6.62914     6.62914
         169     6.62914     6.62914
         170     6.62914     6.62914
         171     6.62914     6.62914
         172     6.62914     6.62914
         173     6.32383     6.62303
         174     6.32383     6.59861
         175     6.32383     6.55586
         176     6.32383     6.45816
         177     6.32383      6.3971
         178     6.32383     6.32956
         179     6.32383     6.32383
         180     6.32383     6.33108
         181     6.32383     6.35346
         182     6.32383     6.32383
         183     6.32383     6.32383
         184     6.32383     6.32383
         185     6.32383     6.32383
         186     6.32383     6.32383
         187     6.32383     6.32383
         188     6.32383     6.32383
         189     6.32383     6.32383
         190     6.32383     6.32383
         191     6.32383     6.32383
         192     6.32383     6.32383
         193     6.32383     6.32383
         194     6.32383     6.32383
         195     6.32383     6.32383
         196     6.32383     6.32383
         197     6.32383     6.32383
         198     6.32383     6.32383
         199     6.32383     6.32938
         200     6.32383     6.33518
         201     6.32383     6.32383
         202     6.32383     6.32383
         203     6.32383     6.32383
         204     6.32383     6.32383
         205     6.32383     6.32383
         206     6.32383     6.32383
         207     6.32383     6.32383
         208     6.32383     6.32383
         209     6.32383     6.32383
         210     6.30636     6.32348
         211     6.30636     6.32208
         212     6.30636     6.31824
         213     6.30636     6.38593
         214     6.29878     6.31624
         215     6.29878     6.31024
         216     6.29878     6.30573
         217     6.29878     6.30257
         218     6.29878     6.30106
         219     6.29878     6.29909
         220     6.29878     6.29878
         221     6.29878     6.29878
         222     6.29878     6.32498
         223     6.29878     6.29894
         224     6.29878     6.35746
         225     6.29878     6.29878
         226     6.29878     6.29878
         227     6.29878     6.29878
         228     6.29878     6.29878
         229     6.29878     6.29878
         230     6.29878     6.29878
         231     6.29878     6.29878
         232     6.29878     6.29878
         233     6.29878     6.29878
         234     6.29878     6.29878
         235     6.29878     6.29878
         236     6.29878     6.29878
         237     6.29878     6.29878
         238     6.29878     6.29878
         239     6.29878     6.29878
         240     6.29878     6.29878
         241     6.29878     6.29878
         242     6.29878     6.29878
         243     6.29878     6.29878
         244     6.29878     6.32623
         245     6.29878     6.29878
         246     6.29878     6.29878
         247     6.29878     6.29878
         248     6.29878     6.29878
         249     6.29878     6.29878
         250     6.29878     6.29878
         251     6.29878     6.29878
         252     6.29878     6.29878
         253     6.29878     6.29878
         254     6.29878     6.29878
         255     6.29878     6.29878
         256     6.29878     6.29878
         257     6.29878     6.29878
         258     6.29878     6.29878
         259     6.29878     6.29878
         260     6.29878     6.29878
         261     6.29878     6.29878
         262     6.29878     6.29878
         263     6.29878     6.29878
         264     6.29878     6.29878
         265     6.29878     6.29878
         266     6.29878     6.29878
         267     6.29878     6.29878
         268     6.29878     6.29878
         269     6.29878     6.29878
         270     6.29878     6.29878
         271     6.29878     6.29878
         272     6.29878     6.29878
         273     6.29878     6.29878
         274     6.29878     6.29878
         275     6.29878     6.29878
         276     6.24306     6.29767
         277     6.24306     6.30232
         278     6.24306     6.27538
         279     6.24306      6.2564
         280     6.24306     6.25532
         281     6.24306     6.24974
         282     6.24306     6.24306
         283     6.24306     6.24306
         284     6.24306     6.24306
         285     6.24306     6.24306
         286     6.24306     6.24306
         287     6.24306     6.24306
         288     6.24306     6.24306
         289     6.24306     6.24306
         290     6.24306     6.41211
         291     6.24306      6.3575
         292     6.24306     6.28882
         293     6.24306     6.29184
         294     6.24306     6.33101
         295     6.24306     6.24875
         296     6.24306     6.24306
         297     6.24306     6.24306
         298     6.24306     6.24306
         299     6.24306     6.24306
         300     6.24306     6.24306
         301     6.24306     6.24306
         302     6.24306     6.25509
         303     6.24306     6.24306
         304     6.24306     6.24306
