#     GENERATION:   L1:   BEST HALF <L1>:
           0     15.9523     18.6251
           1     15.3473     17.6863
           2     14.6033     16.9949
           3     14.6033     16.3783
           4     14.1171     15.3874
           5     14.1171     15.1937
           6     14.1171     14.8835
           7     14.1171     14.6483
           8     13.7191     14.2925
           9     13.0479     14.1156
          10      13.008     13.8021
          11     12.8215     13.5375
          12     12.5375     13.3196
          13     11.9383     13.0998
          14     11.7251      12.801
          15     11.7251     12.4632
          16     11.5654     12.4036
          17     11.5654     12.0515
          18     11.5654     11.8022
          19     11.3039     11.7298
          20     10.8604     11.6904
          21     10.8604     11.5725
          22     10.8465     11.1832
          23     10.3693     11.1438
          24     10.3693     11.0615
          25     10.3693     11.1211
          26     10.0332     10.8707
          27     9.79096     10.7095
          28     9.79096     10.3735
          29     9.79096     10.2151
          30     9.73304     9.96578
          31     9.67045      9.8699
          32     9.67045     9.80155
          33     9.50828     9.72923
          34     9.48649     9.68856
          35     9.13534     9.56374
          36     9.00885     9.51185
          37     9.00885      9.3466
          38     9.00885     9.21164
          39       8.883     9.12674
          40     8.80612     9.12045
          41     8.43928     9.08799
          42     8.43928     8.95816
          43     8.27743     8.75114
          44     8.27743     8.55776
          45       8.202     8.47076
          46       8.202     8.37388
          47       8.202     8.26104
          48     8.15432     8.26671
          49     7.95728     8.23255
          50     7.95728     8.16724
          51     7.94853     8.10151
          52     7.94853     8.06033
          53     7.94853      8.0087
          54     7.94853     7.96169
          55     7.94853      7.9494
          56     7.94853     7.94853
          57     7.94853     7.94853
          58     7.94853     7.94853
          59     7.94853     7.94853
          60     7.94853     7.94853
          61     7.94853     7.94853
          62     7.94853     7.94853
          63     7.94853     7.94853
          64     7.94853     7.94853
          65     7.94633     7.94848
          66     7.94633     7.94826
          67     7.94633      7.9476
          68     7.93339     7.94638
          69     7.93339     7.94504
          70     7.86246     7.94051
          71     7.86246      7.9267
          72     7.86246      7.9018
          73     7.84448     7.89577
          74     7.84448     7.97999
          75     7.74294      7.8567
          76     7.74294      7.8357
          77     7.74294     7.82776
          78     7.68132     7.85405
          79     7.51812     7.78903
          80     7.51812     7.73584
          81     7.51812     7.68101
          82     7.48866     7.60241
          83     7.45856     7.55203
          84     7.45856     7.49443
          85     7.45856     7.48789
          86     7.45856     7.46981
          87     7.45856     7.46277
          88     7.45856     7.46276
          89     7.45856     7.46155
          90     7.45856     7.45916
          91     7.45856     7.45856
          92     7.43385     7.45806
          93     7.43385     7.45263
          94     7.43385     7.44733
          95     7.43385     7.43879
          96     7.43385     7.43385
          97     7.43385     7.43385
          98     7.43385     7.43385
          99     7.43385     7.43385
         100     7.43385     7.43385
         101     7.43385     7.43385
         102     7.28715     7.43092
         103     7.28715     7.40518
         104     7.28715     7.37917
         105     7.28715     7.33684
         106     7.28715     7.32013
         107     7.28715     7.29595
         108     7.28715     7.28715
         109     7.28715     7.28715
         110     7.28715     7.28715
         111     7.28715     7.28715
         112     7.28715     7.28715
         113     7.28715     7.28715
         114     7.28715     7.28715
         115     7.28715     7.28715
         116     7.15114     7.28443
         117     7.15114     7.27083
         118     7.12589     7.24611
         119     7.12589     7.21538
         120     7.12589     7.15169
         121     7.12589     7.14916
         122     7.12589     7.15363
         123     7.12589     7.21255
         124     7.12589     7.12589
         125     7.12589     7.12589
         126     7.12589     7.12589
         127     7.12589     7.12589
         128     7.04146      7.1242
         129     7.04146     7.10731
         130     7.02898     7.07667
         131     6.94455     7.04145
         132     6.94455     7.03549
         133     6.89294     6.99932
         134     6.89294     6.95884
         135     6.89294     6.92972
         136     6.89294     6.91668
         137     6.74133     6.91026
         138     6.74133     6.87769
         139     6.64926     6.85652
         140     6.64926     6.79753
         141     6.64926     6.72493
         142     6.64926     6.69337
         143     6.64926     6.69105
         144     6.64926     6.68143
         145     6.64926     6.64926
         146     6.64926     6.64926
         147     6.64643      6.6492
         148     6.64643      6.6487
         149     6.64477      6.6481
         150     6.64477     6.64733
         151     6.64477     6.64636
         152     6.64477     6.64576
         153     6.64477     6.64497
         154     6.64477     6.64493
         155     6.64477      6.6448
         156     6.64477     6.64477
         157     6.64477     6.64477
         158     6.64477     6.64477
         159     6.64477     6.64477
         160     6.64477     6.64477
         161     6.64477     6.64477
         162     6.29369     6.63775
         163     6.29369      6.5485
         164     6.29369     6.37499
         165     6.29369     6.29776
         166     6.28379     6.29349
         167     6.28379      6.2927
         168     6.28379     6.29013
         169     6.28379     6.28735
         170     6.28379     6.28379
         171     6.28379     6.28399
         172     6.28379     6.28379
         173     6.28379     6.28379
         174     6.16837     6.28072
         175     6.16837     6.26386
         176     6.16837      6.2225
         177     6.16837     6.22923
         178     6.16837     6.20739
         179     6.16837     6.17794
         180     6.16837     6.16993
         181     6.16837     6.16837
         182     6.16837     6.16837
         183     6.16837     6.16837
         184     6.16837     6.16837
         185     6.16837     6.16837
         186     6.16837     6.16837
         187     6.16837     6.16837
         188     6.16837     6.16837
         189     6.16837     6.16837
         190     6.12889     6.16758
         191     6.12889     6.16205
         192     6.12889     6.15021
         193     6.12889     6.14231
         194     6.12889       6.136
         195     6.12889       6.136
         196     6.12889     6.13898
         197     6.12889     6.12889
         198     6.12889     6.12889
         199     6.12889     6.12889
         200     6.12889     6.12889
         201     6.12889     6.12889
         202     6.12889     6.12889
         203     6.12889     6.12889
         204     6.12889     6.12889
         205     6.12889     6.12889
         206     6.12889     6.12889
         207     6.12889     6.12889
         208     6.12889     6.12889
         209     6.12889     6.12889
         210     6.12889     6.12889
         211     6.12889     6.12889
         212     6.12889     6.12889
         213     6.12889     6.12889
         214     6.12889     6.12889
         215     6.12889     6.12889
         216     6.12889     6.12889
