#     GENERATION:   L1:   BEST HALF <L1>:
           0     461.043     494.592
           1     449.767     479.475
           2     449.767     465.609
           3     437.669     459.765
           4     437.669     454.106
           5     437.669      445.29
           6     426.967     439.562
           7     426.967     435.169
           8     413.717     431.005
           9     408.665     423.586
          10     401.638     419.259
          11     401.253     413.917
          12     397.669     410.776
          13     394.203     404.362
          14     394.203     400.596
          15     393.305      398.69
          16     386.273     397.282
          17     385.724     393.079
          18     383.584     389.265
          19     381.483     387.355
          20      347.45     383.988
          21      347.45     379.583
          22     345.693      371.02
          23     345.693     362.276
          24       339.3     352.084
          25       339.3     348.339
          26      338.22     344.664
          27     334.484     341.512
          28         331      338.97
          29     330.505     337.113
          30     330.505     333.348
          31     327.389     332.168
          32     326.044     330.198
          33     326.044     328.987
          34      325.35     328.361
          35      318.76     326.646
          36     316.727     325.076
          37     316.727     322.764
          38     316.467     320.123
          39     314.485     318.134
          40      310.54     316.421
          41     307.661     316.516
          42     307.661     316.881
          43     307.591     315.089
          44     307.109     316.456
          45     307.109     310.235
          46     299.394     311.521
          47     298.467     307.118
          48     296.235     305.127
          49     296.235     302.756
          50     296.235     301.632
          51     296.235     299.792
          52     290.477     297.268
          53     290.477      295.65
          54     285.122     293.587
          55     285.122     290.091
          56     283.659     289.934
          57     281.477     286.381
          58     281.477      284.15
          59     280.978     283.699
          60     260.306     282.395
          61     260.306     280.687
          62     257.123     280.592
          63     257.123     276.494
          64     257.123      272.05
          65     257.123     270.367
          66      256.94     262.939
          67     254.366     259.835
          68     254.366     258.157
          69     254.366      257.03
          70     252.808     256.138
          71     250.797     254.876
          72     246.281      253.04
          73     246.281     251.807
          74     245.822     249.014
          75     243.852     248.433
          76     243.852      246.96
          77     243.852     245.384
          78     243.852     244.028
          79     243.388     243.843
          80     241.822     243.663
          81     241.822     243.289
          82     238.719     242.922
          83     236.689     242.134
          84     232.519     241.379
          85     232.519     241.011
          86     232.519     239.098
          87     229.697     235.416
          88     229.697     233.422
          89     229.418     231.541
          90     229.418     231.249
          91     229.149     230.556
          92     229.027     229.896
          93      228.13     229.428
          94      228.13     229.102
          95      227.17      229.04
          96     221.586     228.772
          97     221.586     228.024
          98     221.586     226.471
          99     220.333     224.704
         100     220.333     223.412
         101     220.333      221.86
         102     220.333     221.041
         103     217.126     220.266
         104     217.126     219.597
         105     216.464     218.319
         106     216.464     217.385
         107     213.731     216.831
         108     213.261     215.927
         109     209.113     214.704
         110     209.113     213.756
         111     209.113     212.681
         112     209.113     210.874
         113     208.438     209.533
         114     208.438     209.068
         115     208.438     208.803
         116      205.32     208.565
         117      205.32     208.043
         118     202.324     207.406
         119     202.324     206.338
         120     202.324     205.344
         121     202.324     204.343
         122     200.519     202.798
         123     200.519     202.036
         124     200.216     201.497
         125     200.014     200.908
         126      199.71     200.491
         127     199.029     200.328
         128     198.209     199.958
         129     198.209     199.934
         130     197.539     199.935
         131     197.539     200.317
         132     197.539     199.313
         133     197.539       199.2
         134      196.19     197.974
         135     193.978     197.233
         136     193.978     196.413
         137     192.629     195.773
         138     192.629     194.687
         139     192.629     193.403
         140     191.365     193.377
         141     191.365     192.868
         142     191.365     193.287
         143     191.365      193.58
         144     191.365     195.279
         145     190.782     197.502
         146     190.782     195.729
         147     189.809     194.325
         148     188.788     191.312
         149     188.788     190.585
         150     188.788     189.836
         151     188.788     189.283
         152     188.788     188.918
         153     187.583     188.752
         154     187.583     188.625
         155     187.583     188.267
         156     183.721      187.88
         157     183.721     186.965
         158     183.721     185.985
         159     183.146     185.468
         160     179.624     183.547
         161     180.266     183.658
         162     180.266      183.32
         163     180.266     182.955
         164     180.266      183.63
         165     180.266     183.148
         166     180.266     183.734
         167     180.266      182.61
         168     178.928     180.641
         169     178.928     180.758
         170     178.928     180.375
         171     178.928     179.669
         172     177.972     179.632
         173     176.061     178.706
         174     176.061     178.171
         175     176.061     177.245
         176     175.649     176.613
         177     175.649     176.254
         178     174.147     176.342
         179     174.147     175.791
         180     166.311     175.436
         181     166.311     174.526
         182     166.311     173.363
         183     164.357     172.869
         184     164.357     170.937
         185     162.813     169.768
         186     162.813     167.659
         187     162.813      166.41
         188     162.813     165.349
         189     159.277     163.744
         190     159.277     164.395
         191     157.563     163.905
         192     157.563     162.953
         193     157.563     161.433
         194     157.563     159.373
         195     157.563     157.727
         196     153.265     157.464
         197     153.265     156.459
         198     153.265     155.659
         199     153.265     154.291
         200     151.921     154.337
         201     151.921     154.228
         202     151.921     154.291
         203     151.257     153.414
         204     151.257     153.078
         205     150.079     152.879
         206     150.079     155.516
         207     150.079     153.699
         208     150.079     153.394
         209     149.559     151.147
         210     148.881     149.967
         211     148.881     149.771
         212     148.361     149.428
         213     148.361     149.449
         214     147.983      149.47
         215     147.983     148.853
         216     147.983     148.864
         217     147.983     148.361
         218     147.967      148.14
         219     147.672     148.026
         220     146.553      147.91
         221      145.23     147.597
         222     144.195     147.115
         223     142.547     146.344
         224     142.547     145.225
         225     142.547     144.551
         226     142.547      143.14
         227     142.547     142.691
         228     142.227     142.541
         229     142.227     142.512
         230     142.227     142.426
         231     141.316     142.413
         232     141.316     142.185
         233     141.316      142.07
         234     141.316     141.801
         235     141.316     141.578
         236     141.316     141.467
         237     141.316     141.333
         238     141.316     141.352
         239     141.316     141.316
         240     138.446     141.259
         241     137.078      140.99
         242     136.946     140.541
         243     136.792     139.735
         244     135.482     139.078
         245     135.482     137.898
         246     135.482     137.399
         247     135.482     136.519
         248     135.482     135.977
         249     135.482     135.716
         250     135.482     135.482
         251     135.482     135.482
         252     135.482     135.482
         253     135.482     135.482
         254     135.482     135.482
         255     135.482     135.482
         256     135.482     135.482
         257     135.482     135.482
         258     135.482     135.482
         259     133.913     135.451
         260     133.913       135.2
         261     133.913      134.76
         262      132.88     134.214
         263      132.88     133.728
         264      131.89     133.412
         265     131.465     133.005
         266     131.465     132.581
         267     127.067     132.009
         268     126.034     131.319
         269     126.034     129.553
         270     126.034     128.348
         271     126.034     126.644
         272     126.034     126.216
         273     125.707      126.11
         274     125.707     126.141
         275     125.707     125.942
         276     125.707     125.792
         277     125.707     125.759
         278     125.223     125.697
         279     125.223     125.678
         280     125.223     125.617
         281     123.722      125.49
         282     123.722     126.278
         283     123.722     125.218
         284     123.722     125.268
         285     123.722     124.853
         286     123.722     124.057
         287     123.722     124.009
         288     123.722     123.722
         289     123.722     123.722
         290     123.722     123.722
         291     123.451     123.717
         292      121.45     123.633
         293     120.861     123.362
         294     120.861     122.882
         295     120.861     121.965
         296     119.003     121.425
         297     119.003     121.176
         298     119.003     120.953
         299     119.003     121.299
         300     118.839     120.374
         301     118.839     119.707
         302     118.839     118.987
         303     118.428     119.153
         304     118.428     119.083
         305     118.428     118.735
         306     118.428     118.609
         307     118.428     118.485
         308     118.428     118.428
         309     118.428     118.428
         310     118.428     118.428
         311     118.428     118.428
         312     117.541      118.41
         313     117.397     118.283
         314     117.397     118.186
         315     117.397     118.092
         316     117.397     117.805
         317     117.397     117.743
         318     116.244      117.44
         319     116.244     117.383
         320     112.349     117.086
         321     112.349     116.689
         322     112.112     116.047
         323     112.112     116.628
         324     112.112      118.03
         325     112.112     116.976
         326     109.697      116.92
         327     109.454     116.924
         328     109.454     115.774
         329     109.454       112.4
         330     109.454     111.867
         331     109.454     110.455
         332     109.454     109.492
         333     109.454     109.474
         334     109.266      109.45
         335     108.364     109.383
         336     108.176     109.125
         337     108.176       108.9
         338     108.176     108.428
         339     108.176     108.211
         340     107.859      108.17
         341     107.859     108.163
         342      106.84     108.118
         343      106.84     107.966
         344      106.84     107.902
         345      106.84     107.444
         346      106.84     107.146
         347      106.84     106.853
         348      106.84     106.875
         349      106.84      106.84
         350      106.84      106.84
         351      106.84      106.84
         352      106.84      106.84
         353      106.84      106.84
         354      106.84      106.84
         355      106.84      106.84
         356      106.84      106.84
         357      106.84      106.84
         358      106.84      106.84
         359      106.84      106.84
         360     105.453     106.812
         361      104.75     106.681
         362      104.75     106.356
         363     104.679      105.87
         364     104.679     105.492
         365     104.679     105.156
         366     104.147     104.775
         367     104.147     104.931
         368     104.147     104.759
         369     104.147     104.339
         370     104.147     104.256
         371     104.147     104.171
         372     104.147     104.192
         373     103.987     104.144
         374     103.269     104.105
         375     103.108      103.95
         376     102.586     103.753
         377     102.586     103.104
         378     102.586     102.775
         379     102.586     102.634
         380     102.586     102.589
         381     102.586     102.586
         382     102.586     102.593
         383     102.586     102.595
         384     102.586     102.586
         385     102.586     102.586
         386     102.586     102.586
         387     102.586     102.586
         388     102.586     102.586
         389     102.586     102.586
         390     102.586     102.586
         391     102.586     102.586
         392     102.586     102.674
         393     102.586     102.665
         394     102.586     102.586
         395     102.586     102.586
         396     102.586     102.586
         397     102.586     102.586
         398     102.586     102.586
         399     102.586     102.586
         400     101.615     102.566
         401     101.615     102.488
         402     101.615     102.287
         403     101.615     102.034
         404     101.615     101.786
         405     101.615     101.654
         406     101.615     101.615
         407     101.615     101.615
         408     101.615     101.615
         409     101.615     101.615
         410     101.615     101.615
         411     101.615     101.615
         412     101.615     102.074
         413     101.615     101.924
         414     101.615     104.452
         415     100.817     103.551
         416     100.817     105.532
         417     100.817     102.542
         418     100.817     101.361
         419     100.817     101.081
         420     99.5687     100.828
         421     99.5687     100.684
         422     99.5687     100.553
         423     99.3718     100.551
         424     99.3718      100.29
         425     99.3718     100.782
         426     99.3718     100.153
         427     99.3498     99.9406
         428     99.3498     99.4711
         429     99.3498     100.387
         430     99.3498     99.8058
         431     99.3498      99.384
         432     99.3498     99.3498
         433     99.3498     99.3498
         434     99.3498     99.3498
         435     99.3498     99.3498
         436     99.3498     99.3498
         437     99.3498     99.3498
         438     99.3498     99.3498
         439     99.3498     99.3498
         440     98.9152     99.3412
         441     97.3982     99.9695
         442     97.3982      100.01
         443     97.3982     99.1127
         444     96.8851     98.8096
         445     96.8851     98.1877
         446     96.8851      97.504
         447     96.8851     97.1682
         448     96.8851     97.2641
         449     96.8851      97.866
         450     96.8851     98.2825
         451     96.8851     98.3005
         452     96.8851     97.1109
         453     96.8851     96.8851
         454     96.8851     96.8851
         455     96.8851     96.8851
         456     96.8851     96.8851
         457     96.8851     96.8851
         458     96.8851     96.8851
         459     96.8851     96.8851
         460     96.8851     96.8851
         461     96.8851     96.8851
         462     96.8851     96.8851
         463     96.8851      96.952
         464     96.8851     96.8851
         465     96.8851     97.1187
         466     96.8851     96.8851
         467     96.8851     96.8851
         468     96.8851     96.8851
         469     96.8851     96.8851
         470     96.8851     96.9174
         471     96.8851     96.8851
         472     96.8851     96.8851
         473     96.8851     96.8851
         474     96.8049     96.8835
         475     96.8049     96.8787
         476     96.8049     96.8643
         477     96.8049      97.296
         478     96.8049     97.3127
         479     96.8049     97.4114
         480     94.1476     97.3035
         481     94.1476      96.885
         482     94.1476     96.2814
         483     94.1476     95.6663
         484     94.1476     95.8439
         485     94.1476     95.1796
         486     94.1476      94.327
         487     94.1476     94.1576
         488     94.1476     94.1501
         489     94.1476     94.1476
         490     94.1476     94.1476
         491     94.1476     94.1476
         492     94.1476     94.1476
         493     94.1476     94.2994
         494     94.1476     94.3442
         495     94.1476     94.1722
         496     94.1476     94.1476
         497     94.1476     94.2322
         498      93.865      94.142
         499      93.865     94.0911
         500      93.865     94.0459
         501      93.865     93.9441
         502      93.865     93.9046
         503      93.865     93.8707
         504      93.865      93.865
         505      93.865      93.865
         506      93.865      93.865
         507      93.482     93.8574
         508      93.482     93.8191
         509      93.482     93.7425
         510      93.482     93.6607
         511      93.482     93.6147
         512      93.482      93.482
         513      93.482      93.482
         514      93.482      93.482
         515      93.482      93.482
         516      93.482      93.482
         517      93.482      93.482
         518      93.482      93.482
         519      93.482      93.482
         520     92.8936     93.4703
         521      92.882       93.58
         522      92.882     93.4055
         523     92.5312     93.2067
         524     92.5312     93.0451
         525     92.5312     92.7569
         526     92.4038     92.5899
         527     92.3539     92.5012
         528     92.3539      92.452
         529     92.3539     92.3816
         530     92.3539     92.3614
         531     92.3539     92.3539
         532     92.3539     92.3539
         533     92.3539     92.3539
         534     92.3539     92.3539
         535     92.3539     92.3539
         536     92.3539     92.3539
         537     92.3539     92.3539
         538     92.3539     92.3539
         539     92.3539     92.3539
         540     92.1385     92.3496
         541     92.1385     92.3308
         542     92.0969     92.2869
         543     92.0969     92.2894
         544     91.8627     94.0602
         545     91.8627     94.0173
         546     91.8627     92.6799
         547     91.8627     93.3678
         548     91.8365     92.9873
         549     91.8365     93.0665
         550     91.8365     91.8486
         551     91.8365     91.8402
         552     91.8365     91.8365
         553     91.8365     91.8365
         554     91.8365     91.8365
         555     91.8365     91.8365
         556     91.8365     91.8365
         557     91.4691     91.8292
         558     91.4691     91.7777
         559     91.4691     91.6087
         560     91.0383     91.5417
         561     91.0383     91.4321
         562     91.0383     91.3366
         563     91.0383     91.2901
         564     90.4425     91.1674
         565     90.1535     91.0521
         566     90.1535     90.9501
         567     90.1535     90.6691
         568     90.1535     90.4889
         569     90.1535     90.2468
         570     90.1535     90.3496
         571     90.1535     90.3731
         572     90.1535     90.1902
         573     90.0966     90.1524
         574     90.0966     90.1456
         575     90.0966     90.1353
         576     90.0966      90.124
         577     90.0966     90.1137
         578     90.0966     90.0966
         579     90.0966     90.0966
         580     90.0966     90.0966
         581     90.0966     90.0966
         582     90.0966     90.0966
         583     90.0839     90.0964
         584     89.5947     90.0848
         585     89.5947     90.0627
         586     89.5947     89.9714
         587     89.5947     89.8707
         588     89.5947     89.7023
         589     89.5947     89.6045
         590     89.5947     89.7342
         591     89.5947     89.6239
         592     89.5947     89.5947
         593     89.5947     89.5947
         594     89.5947     89.5947
         595     89.5947     89.5947
         596     89.5947     89.5947
         597      89.564     89.6302
         598      89.564     90.1143
         599      89.564     89.5865
         600      89.564     89.5768
         601      89.564     89.5651
         602      89.564     89.5668
         603      89.564      89.564
         604      89.564      89.564
         605      89.564      89.564
         606      89.564      89.564
         607      89.564      89.564
         608      89.564      89.564
         609      89.564      89.564
         610      89.564      89.564
         611      89.564      89.564
         612      89.564      89.564
         613      89.564      89.564
         614      89.564      89.564
         615      89.564      89.564
         616      89.564      89.564
         617      89.564      89.564
         618      89.564      89.564
         619      89.564      89.564
         620     88.8687     89.5501
         621     88.8687     89.4945
         622     88.8687     89.2998
         623     88.3668     89.1646
         624     88.3668     88.7683
         625     88.3668     88.6579
         626     88.3668     88.4772
         627     88.3668     88.4392
         628     88.3668     88.3668
         629     88.2796     88.4658
         630     88.2796     88.6213
         631     88.2796     88.3563
         632     88.2796     88.3319
         633     88.2796     88.3075
         634     88.2796     88.2831
         635     88.2796     88.2796
         636     88.2796     88.2796
         637     88.2796     88.2796
         638     88.2796     88.2796
         639     88.2796     88.2796
         640     88.2796     88.2796
         641     88.2796     88.2796
         642     88.2796     88.2796
         643     88.2796     88.2796
         644     88.2796     88.2796
         645     88.2796     88.2796
         646     88.2796     88.2796
         647     88.2796     88.2796
         648     88.2796     88.2796
         649     88.2796     88.2796
         650     88.2796     88.2796
         651     88.2796     88.2796
         652     88.2796     88.2796
         653     88.2796     88.2796
         654     88.2796     88.2796
         655     88.2796     88.2796
         656     88.2796     88.2796
         657     88.2796     88.2796
         658     88.2796     88.2796
         659     88.2796     88.2796
         660     87.8376     88.2707
         661     87.6348     88.2288
         662     87.6348      88.136
         663     87.6348     87.9984
         664     87.6348     87.8596
         665     87.6348      87.644
         666     87.6348     87.6348
         667     87.6348     87.6348
         668     87.6348     87.6348
         669     87.6348     87.6348
         670     87.6348     87.6348
         671     87.6348     87.6348
         672     87.6348     87.6348
         673     87.6348     87.6348
         674     87.6348     87.6348
         675     87.6348     87.6348
         676     87.6348     87.6348
         677     87.6348     87.6348
         678     87.6348     87.6348
         679     87.6348     87.6348
         680     87.5045     87.6322
         681     87.5045     87.6218
         682     87.5045     87.6114
         683     87.5045     87.5749
         684     87.5045      87.541
         685     87.5045     87.5124
         686     87.5045     87.5045
         687     87.5045     87.5045
         688     87.5045     87.5045
         689     87.5045     87.5045
