#     GENERATION:   L1:   BEST HALF <L1>:
           0     451.466      491.63
           1     436.195     472.274
           2     430.953     455.501
           3     426.686      444.99
           4     422.548     437.146
           5     416.594     428.308
           6      410.85     424.693
           7     404.895     418.142
           8     400.168     413.518
           9     400.168     409.309
          10     395.978     404.468
          11     392.978     399.591
          12     383.834     395.824
          13     382.917     390.836
          14     381.208     386.777
          15     378.279     384.526
          16     374.763     382.645
          17     368.556     379.327
          18     367.396       376.2
          19     364.749      371.28
          20      352.59     368.373
          21     351.445     364.458
          22     351.445     361.094
          23     351.445     356.215
          24     351.192     352.686
          25     348.918     351.719
          26      346.11     351.438
          27     345.736     351.365
          28     342.761     350.885
          29     342.314     348.168
          30     342.314     346.942
          31     342.291     346.217
          32     335.696     344.458
          33     335.696     341.143
          34     335.696     338.774
          35     334.669     336.441
          36     331.751       335.5
          37       316.1      334.56
          38       316.1     333.181
          39       316.1     329.826
          40       316.1     324.454
          41       316.1     320.829
          42       316.1     318.674
          43     310.166     315.982
          44     310.166     315.041
          45      306.46     312.602
          46      306.46     309.914
          47     305.096     307.791
          48     297.172     306.092
          49     297.172     303.416
          50     296.984     300.469
          51     296.273     297.155
          52     294.817     296.783
          53      294.51     296.431
          54     292.618     295.671
          55     292.341     295.047
          56     288.441      294.75
          57     285.664     292.817
          58      280.99     291.285
          59      280.99     289.656
          60      280.99     285.494
          61      280.99     282.862
          62     279.954     281.966
          63     279.015     281.274
          64     279.015     281.004
          65     276.389     281.193
          66     276.389     280.163
          67     276.389     278.361
          68     276.389     278.209
          69     276.389     278.415
          70     275.708     277.073
          71     274.748     276.737
          72     273.993     276.235
          73     273.993     275.578
          74     271.528     274.832
          75     270.089     273.721
          76     267.143     272.541
          77     267.143     271.285
          78     264.947     269.286
          79     260.941     267.784
          80     260.941     265.717
          81     260.832     264.704
          82     258.491     263.547
          83     258.491     263.016
          84     258.062     261.698
          85      254.34      260.06
          86      254.34     258.758
          87     253.911     257.849
          88     253.911     255.986
          89     252.353     254.626
          90     250.312     253.645
          91     249.343     252.706
          92     249.343     251.707
          93     246.837     250.523
          94     246.349     249.874
          95     243.842     249.061
          96      243.72     246.614
          97     243.269     245.354
          98     240.274     244.349
          99      240.18     243.528
         100      240.18     242.806
         101     237.872     241.189
         102     235.626      240.09
         103     229.006     238.492
         104     229.006     235.561
         105     229.006     233.266
         106     228.319     231.002
         107     225.156     229.118
         108     220.094     228.506
         109     220.094     225.542
         110     218.933      222.15
         111     217.014     221.721
         112     215.852     219.268
         113     215.852     218.441
         114     215.635     217.453
         115     214.473     216.587
         116     214.473     215.533
         117     213.668     215.074
         118     212.039     214.719
         119     212.003     213.889
         120     211.429     212.942
         121     211.429     212.197
         122     211.429     211.931
         123     210.929     211.506
         124     209.503     211.252
         125     209.003     210.797
         126     209.003     210.137
         127     208.352     209.652
         128     207.704     209.048
         129     207.022     208.672
         130     205.721     208.454
         131     205.721     208.173
         132     205.721     207.229
         133     205.721     206.483
         134     205.721     206.153
         135     204.641       205.7
         136     204.092     205.376
         137     203.031     205.002
         138     202.301     204.745
         139     202.301     203.956
         140     201.574     203.471
         141     200.636     202.517
         142     200.636     201.854
         143     200.636     201.552
         144     200.636     201.174
         145     199.844     200.979
         146     196.228      200.69
         147     196.228     200.084
         148     195.315     198.857
         149     195.315     198.923
         150     195.192     198.253
         151      195.02     196.237
         152     194.559     195.599
         153     194.264     195.112
         154     193.905     195.021
         155      193.61     194.773
         156     192.237     194.324
         157     191.857     193.475
         158     191.857      192.95
         159     191.857     192.462
         160     191.857     191.892
         161     191.857     191.875
         162     191.857     191.864
         163     191.709     191.854
         164     191.009     191.803
         165     189.894     191.596
         166     189.045     191.098
         167     189.045     190.638
         168     189.045     189.805
         169     189.045      189.37
         170      188.88     189.317
         171     187.114      188.96
         172     186.821     188.656
